feature,mean_importance
num_buildings,0.0
category_list_pet_groomer,0.0
category_list_pet_hospice,0.0
category_list_pet_services,0.0
category_list_pet_sitting,0.0
category_list_pet_store,0.0
category_list_pharmaceutical_companies,0.0
category_list_pharmaceutical_products_wholesaler,0.0
category_list_pharmacy,0.0
category_list_photo_booth_rental,0.0
category_list_photography_store_and_services,0.0
category_list_physical_therapy,0.0
category_list_piano_services,0.0
category_list_piercing,0.0
category_list_pilates_studio,0.0
category_list_pizza_delivery_service,0.0
category_list_pizza_restaurant,0.0
category_list_plasterer,0.0
category_list_powder_coating_service,0.0
category_list_post_office,0.0
category_list_portuguese_restaurant,0.0
category_list_pop_up_shop,0.0
category_list_pool_cleaning,0.0
category_list_pool_billiards,0.0
category_list_pet_boarding,0.0
category_list_political_party_office,0.0
category_list_police_department,0.0
category_list_podiatrist,0.0
category_list_plumbing,0.0
category_list_plastic_surgeon,0.0
category_list_plastic_manufacturer,0.0
category_list_plastic_fabrication_company,0.0
category_list_political_organization,0.0
category_list_prenatal_perinatal_care,0.0
category_list_pest_control_service,0.0
category_list_personal_injury_law,0.0
category_list_outdoor_gear,0.0
category_list_outlet_store,0.0
category_list_packing_services,0.0
category_list_packing_supply,0.0
category_list_pain_management,0.0
category_list_paint_store,0.0
category_list_paint_your_own_pottery,0.0
category_list_painting,0.0
category_list_pakistani_restaurant,0.0
category_list_pan_asian_restaurant,0.0
category_list_pancake_house,0.0
category_list_paper_mill,0.0
category_list_park,0.0
category_list_parking,0.0
category_list_party_and_event_planning,0.0
category_list_party_equipment_rental,0.0
category_list_party_supply,0.0
category_list_personal_chef,0.0
category_list_personal_care_service,0.0
category_list_persian_iranian_restaurant,0.0
category_list_periodontist,0.0
category_list_perfume_store,0.0
category_list_performing_arts,0.0
category_list_peruvian_restaurant,0.0
category_list_pentecostal_church,0.0
category_list_payroll_services,0.0
category_list_pawn_shop,0.0
category_list_paving_contractor,0.0
category_list_patisserie_cake_shop,0.0
category_list_patent_law,0.0
category_list_passport_and_visa_services,0.0
category_list_pediatric_dentist,0.0
category_list_osteopathic_physician,0.0
category_list_preschool,0.0
category_list_printing_equipment_and_supply,0.0
category_list_real_estate_service,0.0
category_list_record_label,0.0
category_list_recording_and_rehearsal_studio,0.0
category_list_recycling_center,0.0
category_list_refinishing_services,0.0
category_list_rehabilitation_center,0.0
category_list_reiki,0.0
category_list_religious_items,0.0
category_list_religious_organization,0.0
category_list_religious_school,0.0
category_list_rental_service,0.0
category_list_rental_services,0.0
category_list_reptile_shop,0.0
category_list_research_institute,0.0
category_list_resort,0.0
category_list_restaurant,0.0
category_list_restaurant_equipment_and_supply,0.0
category_list_school,0.0
category_list_saw_mill,0.0
category_list_sandwich_shop,0.0
category_list_salsa_club,0.0
category_list_salad_bar,0.0
category_list_safety_equipment,0.0
category_list_real_estate_law,0.0
category_list_roofing,0.0
category_list_rock_climbing_spot,0.0
category_list_road_contractor,0.0
category_list_river,0.0
category_list_retirement_home,0.0
category_list_retail,0.0
category_list_restaurant_wholesale,0.0
category_list_roller_skating_rink,0.0
category_list_print_media,0.0
category_list_real_estate_investment,0.0
category_list_real_estate,0.0
category_list_printing_services,0.0
category_list_private_association,0.0
category_list_private_investigation,0.0
category_list_private_jet_charters,0.0
category_list_private_school,0.0
category_list_private_tutor,0.0
category_list_process_servers,0.0
category_list_produce_wholesaler,0.0
category_list_professional_services,0.0
category_list_professional_sports_team,0.0
category_list_promotional_products_and_services,0.0
category_list_property_management,0.0
category_list_psychic,0.0
category_list_psychic_medium,0.0
category_list_psychologist,0.0
category_list_psychotherapist,0.0
category_list_pub,0.0
category_list_railroad_freight,0.0
category_list_radiologist,0.0
category_list_radio_station,0.0
category_list_radio_and_television_commercials,0.0
category_list_race_track,0.0
category_list_publicity_service,0.0
category_list_real_estate_agent,0.0
category_list_public_utility_company,0.0
category_list_public_service_and_government,0.0
category_list_public_school,0.0
category_list_public_relations,0.0
category_list_public_plaza,0.0
category_list_public_health_clinic,0.0
category_list_public_and_government_association,0.0
category_list_public_transportation,0.0
category_list_osteopath,0.0
category_list_orthodontist,0.0
category_list_organization,0.0
category_list_lodge,0.0
