feature,mean_importance
population_633,-0.010975959435149696
category_list_international_business_and_trade_services,-0.010595267875272197
population_576,-0.009376352036202818
population_571,-0.007482016072692732
category_list_caterer,-0.00735942979362203
category_list_garbage_collection_service,-0.006682497094043593
category_list_carpenter,-0.005303241209848953
category_list_convenience_store,-0.00508523585908136
category_list_animal_shelter,-0.004395942786504292
category_list_retirement_home,-0.004350134067267442
category_list_beach,-0.004342596653934605
category_list_landscaping,-0.003681268186559472
category_list_key_and_locksmith,-0.0034438438872637423
population_631,-0.003194625314049426
num_buildings,-0.0026788491130962377
category_list_b2b_science_and_technology,-0.0024550449124033924
category_list_hobby_shop,-0.00219829939845112
category_list_contractor,-0.0021092417782279994
category_list_arts_and_entertainment,-0.002080248031527188
category_list_music_production,-0.001999914040084072
category_list_hair_removal,-0.0019899977833063966
category_list_naturopathic_holistic,-0.0018528439955235454
category_list_beauty_and_spa,-0.001825591855364117
category_list_web_designer,-0.0018133816008697456
category_list_movers,-0.0017062474593064758
category_list_builders,-0.0016469776208380637
category_list_security_services,-0.00151014524688039
category_list_it_service_and_computer_repair,-0.0014367005038615987
category_list_fish_and_chips_restaurant,-0.0014222995460352438
category_list_gutter_service,-0.0013483237387546866
category_list_kitchen_remodeling,-0.0013158519882718433
category_list_software_development,-0.0012693202085445666
category_list_pediatric_dentist,-0.0011733482280995022
category_list_bakery,-0.001164869904852528
category_list_saw_mill,-0.0011251176532346197
category_list_jewelry_store,-0.0010657005598221692
population_439,-0.0010616470997230842
category_list_women's_health_clinic,-0.0010037315468557572
category_list_discount_store,-0.000981544352479391
category_list_shoe_store,-0.0009290730173066364
category_list_women's_clothing_store,-0.00091539306216748
category_list_delicatessen,-0.0009097261215489594
category_list_broadcasting_media_production,-0.0009092592998680704
category_list_engine_repair_service,-0.0009088952197701672
population_822,-0.0008966613224929531
category_list_baptist_church,-0.0008961667341559676
category_list_community_center,-0.0008782476957521657
category_list_golf_course,-0.0008474606682000174
category_list_home_security,-0.0007752628847728204
category_list_tire_dealer_and_repair,-0.000768734079702571
category_list_mortgage_lender,-0.0007599913473671394
category_list_human_resource_services,-0.0007298667999258157
category_list_portuguese_restaurant,-0.0007088452998320171
population_634,-0.0007067963578345493
category_list_auto_electrical_repair,-0.0006449514817869594
category_list_language_school,-0.0006446890276979866
category_list_motorcycle_repair,-0.0006327604317275193
category_list_vegetarian_restaurant,-0.0006320273599896731
category_list_laser_hair_removal,-0.00062512132955439
category_list_bank_credit_union,-0.0005995830501539845
category_list_korean_grocery_store,-0.0005855589476128409
category_list_business_equipment_and_supply,-0.0005586777773176843
category_list_newspaper_and_magazines_store,-0.0005492559842417255
category_list_seafood_restaurant,-0.000541846929304779
category_list_fruits_and_vegetables,-0.0005302084290011889
category_list_pakistani_restaurant,-0.0005198087123620465
category_list_breakfast_and_brunch_restaurant,-0.0005153217299355029
category_list_boutique,-0.0005043744586708976
category_list_chiropractor,-0.0004995398506995929
category_list_antique_store,-0.0004953552545695628
category_list_sewing_and_alterations,-0.0004945569407728389
category_list_religious_organization,-0.00047246006703853815
category_list_e_cigarette_store,-0.0004631021175217187
category_list_gas_station,-0.00044970467693380425
category_list_office_equipment,-0.0004490246686032262
category_list_indian_restaurant,-0.0004240782336398796
category_list_junk_removal_and_hauling,-0.0004162760018907474
population_674,-0.00041554095982535564
category_list_television_station,-0.00041035677536225277
category_list_african_restaurant,-0.00040802778142093874
category_list_fire_department,-0.0004012705149271767
category_list_tea_room,-0.00040038978707001015
category_list_e_commerce_service,-0.0003916933537779999
category_list_electronics,-0.0003870522894303341
category_list_health_food_store,-0.0003764706721631983
category_list_prenatal_perinatal_care,-0.00035969490699211404
category_list_tutoring_center,-0.0003568216076755282
category_list_pharmaceutical_products_wholesaler,-0.0003528428680844353
category_list_passport_and_visa_services,-0.00035089266865764304
category_list_superstore,-0.00034511816095064154
category_list_middle_school,-0.00033915697784777656
category_list_real_estate_investment,-0.0003340970108043018
category_list_home_decor,-0.0003312467959646015
category_list_advertising_agency,-0.00032946435074084903
category_list_vietnamese_restaurant,-0.00032895325761773676
category_list_art_museum,-0.0003251050459252669
category_list_swimming_instructor,-0.000320205552888142
category_list_videographer,-0.00031119067811228305
category_list_framing_store,-0.0003110211817060504
category_list_shipping_center,-0.00030904342024737905
category_list_bookkeeper,-0.00030826365381173557
category_list_thai_restaurant,-0.00030598148208244025
category_list_brake_service_and_repair,-0.000301914068079645
category_list_specialty_school,-0.0003002197992748812
category_list_art_gallery,-0.00029953332026992906
category_list_land_surveying,-0.00029833422497880233
category_list_business_to_business_services,-0.0002971092077937998
