feature,mean_importance
category_list_caterer,-0.010663956788790197
category_list_garbage_collection_service,-0.003997943820246097
all_lsoa_area_ratio,-0.0012720989788453374
category_list_retirement_home,-0.0007670672839451331
category_list_clothing_store,-0.00031516506523595613
category_list_auto_electrical_repair,-0.0002968651204801498
category_list_coffee_shop,-0.0002007332247735638
category_list_it_service_and_computer_repair,-0.00019367244222412427
category_list_janitorial_services,-0.00015120872546661168
category_list_department_store,-0.00011437681704518088
category_list_metals,-0.00010799736496489576
category_list_hardware_store,-0.00010674618146834236
category_list_patisserie_cake_shop,-0.00010661007232726227
population_439,-0.00010012850813407858
category_list_attractions_and_activities,-9.791908870528942e-05
category_list_kitchen_remodeling,-7.26382823346694e-05
category_list_home_service,-6.660150131188036e-05
category_list_convenience_store,-4.558226110108476e-05
category_list_kiosk,-4.445870895711801e-05
category_list_lighting_store,-3.758603756578438e-05
category_list_business_consulting,-3.696735190787948e-05
category_list_naturopathic_holistic,-3.6158490506854604e-05
category_list_women's_clothing_store,-2.5888613857305563e-05
category_list_post_office,-2.4074486761327395e-05
category_list_car_dealer,-2.3043607038142344e-05
category_list_tours,-2.0767632658735824e-05
category_list_automotive,-1.8459496750322656e-05
commercial_avg_building_area,-1.8168642021776372e-05
category_list_beverage_supplier,-1.6742200401242967e-05
category_list_specialty_school,-1.5320007682784187e-05
category_list_pizza_restaurant,-1.4643422130011796e-05
category_list_self_storage_facility,-9.5221402507506e-06
category_list_spas,-4.927818939792772e-06
category_list_rental_services,-3.4799637969595842e-06
category_list_pakistani_restaurant,-1.3277286204260718e-06
category_list_food,-9.230827944239905e-07
category_list_car_auction,-7.771561172376095e-17
category_list_skate_park,-7.771561172376095e-17
category_list_graphic_designer,-7.771561172376095e-17
category_list_pet_hospice,-6.661338147750939e-17
population_749,-6.661338147750939e-17
category_list_metal_plating_service,-6.661338147750939e-17
category_list_american_restaurant,-6.661338147750939e-17
category_list_hostel,-6.661338147750939e-17
category_list_internet_service_provider,-6.661338147750939e-17
category_list_flowers_and_gifts_shop,-6.661338147750939e-17
category_list_laundry_services,-6.661338147750939e-17
category_list_tea_room,-6.661338147750939e-17
population_658,-6.661338147750939e-17
category_list_electrician,-5.551115123125783e-17
category_list_media_agency,-5.551115123125783e-17
category_list_currency_exchange,-5.551115123125783e-17
category_list_carpet_store,-5.551115123125783e-17
category_list_medical_center,-5.551115123125783e-17
category_list_fertility,-5.551115123125783e-17
category_list_tutoring_center,-5.551115123125783e-17
category_list_business_equipment_and_supply,-5.551115123125783e-17
category_list_choir,-5.551115123125783e-17
population_064,-5.551115123125783e-17
category_list_sign_making,-5.551115123125783e-17
population_638,-5.551115123125783e-17
category_list_telemarketing_services,-5.551115123125783e-17
category_list_eyewear_and_optician,-5.551115123125783e-17
category_list_appliance_repair_service,-5.551115123125783e-17
category_list_internet_cafe,-5.551115123125783e-17
category_list_canoe_and_kayak_hire_service,-5.551115123125783e-17
category_list_ambulance_and_ems_services,-5.551115123125783e-17
population_631,-5.551115123125783e-17
category_list_photo_booth_rental,-5.551115123125783e-17
category_list_aquatic_pet_store,-5.551115123125783e-17
category_list_cottage,-5.551115123125783e-17
category_list_moroccan_restaurant,-5.551115123125783e-17
category_list_aluminum_supplier,-5.551115123125783e-17
category_list_bar_and_grill_restaurant,-5.551115123125783e-17
category_list_dry_cleaning,-5.551115123125783e-17
category_list_fashion,-4.4408920985006264e-17
category_list_fast_food_restaurant,-4.4408920985006264e-17
category_list_cleaning_products_supplier,-4.4408920985006264e-17
category_list_outlet_store,-4.4408920985006264e-17
category_list_farmers_market,-4.4408920985006264e-17
category_list_cosmetology_school,-4.4408920985006264e-17
category_list_british_restaurant,-4.4408920985006264e-17
category_list_books_mags_music_and_video,-4.4408920985006264e-17
category_list_temp_agency,-4.4408920985006264e-17
category_list_tattoo_and_piercing,-4.4408920985006264e-17
category_list_civic_center,-4.4408920985006264e-17
category_list_b2b_science_and_technology,-4.4408920985006264e-17
category_list_logging_services,-4.4408920985006264e-17
category_list_b2b_sporting_and_recreation_goods,-4.4408920985006264e-17
category_list_legal_services,-4.4408920985006264e-17
category_list_strip_club,-4.4408920985006264e-17
category_list_burger_restaurant,-4.4408920985006264e-17
category_list_construction_services,-4.4408920985006264e-17
category_list_bakery,-4.4408920985006264e-17
category_list_lighting_fixture_manufacturers,-4.4408920985006264e-17
category_list_sports_wear,-4.4408920985006264e-17
