feature,mean_importance
land_surveying,-0.008272938226961646
fashion,-0.004302009026188569
arts_and_crafts,-0.00403381390542118
all_lsoa_area_ratio,-0.003753444503538872
armed_forces_branch,-0.00372079121415293
all_market,-0.0035360768212663873
all_law,-0.003533889428821613
sports_club_and_league,-0.0033499833490318043
all_house,-0.003282829444455937
residential_avg_building_area,-0.0024216793709384565
race_track,-0.0024161869839437466
all_estate,-0.0023580235971434327
barber,-0.002347065979328189
all_apartments,-0.00216662279063663
carpenter,-0.002165848382800717
all_office,-0.002107361353727266
sewing_and_alterations,-0.002075950465715748
bookstore,-0.0020556997791289834
church_cathedral,-0.0018526933939673196
all_entertainment,-0.001819530302240302
electrician,-0.0017517688673799215
painting,-0.0016815498461185574
num_buildings,-0.0016336746421355408
all_team,-0.0015083389754230515
auto_detailing,-0.0014330237065622088
all_designer,-0.00143083174601083
all_architect,-0.0014165370962041179
office_lsoa_area_ratio,-0.0013901295560488024
all_facility,-0.0013045384745112188
all_rental,-0.0011967169378883757
all_supplier,-0.0010651923212076752
desserts,-0.0010189956605631489
all_accessories,-0.0010139378555193868
doctor,-0.000999485426941682
all_repair,-0.0009913610293499464
junk_removal_and_hauling,-0.0009464103327650686
supermarket,-0.000905333785059248
all_engineers,-0.0009007647625925208
all_agencies,-0.0008950116002212294
all_preschool,-0.0008341748185024089
population_564,-0.0007993889850029356
financial_advising,-0.0007970298275699506
retail_avg_building_area,-0.0007360129254666004
metal_fabricator,-0.0006954233349568018
nutritionist,-0.0006316262026878183
all_organizations,-0.0006104873512168373
spas,-0.0005728806987598589
all_spa,-0.0005393369066683418
all_equipment,-0.0005389642084884239
all_contractors,-0.0005238899677047603
business_advertising,-0.00047989726859486436
public_service_and_government,-0.00046798552558309227
caterer,-0.0004024903519513678
delicatessen,-0.0004005537861255681
all_dealer,-0.0003678619107565395
food,-0.00036494569476531736
builders,-0.00035837092382463577
all_studio,-0.00035773137678479783
nurse_practitioner,-0.0003365291210515542
all_room,-0.00033389896553738253
theatre,-0.00033173998098418034
all_center,-0.00033168177856450763
hotel,-0.00033097488295874555
all_medicine,-0.0003058827509060502
all_club,-0.0002286121331378177
all_park,-0.00013807635833802402
college_university,-0.00013184005763411388
population_471,-0.0001290599852676433
all_institute,-0.00012364848726372779
population_452,-7.01792973523463e-05
all_clinic,-6.576747973824348e-05
all_temple,-4.906913979583205e-05
library,-4.8735102500729875e-05
telecommunications,-4.6903363233152806e-05
all_transportation,-4.525508009265433e-05
population_571,-2.850183793285943e-05
automotive,-2.267209323977282e-05
all_course,-1.853449554639619e-05
courthouse,-1.5105177618424114e-05
all_manufacturers,-1.193643597925398e-05
massage,-1.183792654778637e-05
all_testing,-6.330147604960424e-06
all_stadium,-4.314384162662499e-06
all_church,-3.2283220178452866e-06
counseling_and_mental_health,-2.3338307937326164e-06
shades_and_blinds,0.0
population_680,0.0
population_690,0.0
population_693,0.0
security_systems,0.0
screen_printing_t_shirt_printing,0.0
roofing,0.0
river,0.0
resort,0.0
real_estate_investment,0.0
population_701,0.0
railroad_freight,0.0
sign_making,0.0
population_678,0.0
population_601,0.0
radio_and_television_commercials,0.0
population_654,0.0
population_657,0.0
population_658,0.0
swimming_pool,0.0
swimming_instructor,0.0
population_662,0.0
population_677,0.0
superstore,0.0
structure_and_geography,0.0
steel_fabricators,0.0
stadium_arena,0.0
population_669,0.0
specialty_foods,0.0
population_673,0.0
population_668,0.0
population_675,0.0
population_711,0.0
public_plaza,0.0
population_794,0.0
notary_public,0.0
all_association,0.0
naturopathic_holistic,0.0
nature_reserve,0.0
movers,0.0
population_777,0.0
population_801,0.0
mosque,0.0
mortgage_lender,0.0
population_816,0.0
monument,0.0
all_metals,0.0
population_838,0.0
motor_freight_trucking,0.0
population_775,0.0
occupational_safety,0.0
optometrist,0.0
psychologist,0.0
psychic_medium,0.0
psychic,0.0
pool_billiards,0.0
podiatrist,0.0
plasterer,0.0
pet_boarding,0.0
performing_arts,0.0
all_mill,0.0
population_747,0.0
outdoor_gear,0.0
osteopathic_physician,0.0
population_767,0.0
osteopath,0.0
orthodontist,0.0
population_720,0.0
population_652,0.0
topic_publisher,0.0
travel_agents,0.0
population_531,0.0
population_529,0.0
population_522,0.0
population_609,0.0
population_520,0.0
