feature,mean_importance
all_avg_building_area,-0.002288772452904042
beach,-0.0022868711171256995
32_Xgboost_prediction,-0.0012066176617959612
all_entertainment,-0.001143072019046476
caterer,-0.000775600105656149
sports_club_and_league,-0.0006546107758556464
commercial_lsoa_area_ratio,-0.0006398206441145416
commercial_avg_building_area,-0.00048324625468946223
electrician,-0.00043845856342180636
home_developer,-0.000422932417762456
all_bar,-0.00033036611244620097
retail_lsoa_area_ratio,-0.00030371828553225064
all_lsoa_area_ratio,-0.00024310586395095423
community_services_non_profits,-0.00022832436264578205
pharmacy,-0.00022425333674187532
office_total_area,-0.00021451559431102664
all_business,-0.00016004318036947352
office_lsoa_area_ratio,-0.00013182465660481756
brewery,-8.674684655117782e-05
automotive,-8.513756131716122e-05
casino,-7.688823890596996e-05
41_CatBoost_prediction,-7.370547060527865e-05
all_transportation,-5.9368628775047225e-05
all_spa,-5.1309206110583536e-05
all_supplier,-4.393203302430759e-05
all_consultant,-1.8107879241524573e-05
3_Default_RandomForest_prediction,-9.205330907624543e-06
swimming_instructor,-5.961137348620138e-06
all_garden,-5.34652867295593e-06
food_stand,-7.270811831272539e-07
landscaping,-2.870256219811296e-07
sewing_and_alterations,0.0
specialty_foods,0.0
spas,0.0
real_estate_agent,0.0
real_estate_investment,0.0
retail,0.0
sign_making,0.0
river,0.0
all_space,0.0
shades_and_blinds,0.0
screen_printing_t_shirt_printing,0.0
security_systems,0.0
roofing,0.0
library,0.0
steakhouse,0.0
window_washing,0.0
warehouses,0.0
vitamins_and_supplements,0.0
videographer,0.0
veterinarian,0.0
used_vintage_and_consignment,0.0
university_housing,0.0
stadium_arena,0.0
travel_agents,0.0
topic_publisher,0.0
theatre,0.0
telecommunications,0.0
superstore,0.0
supermarket,0.0
structure_and_geography,0.0
steel_fabricators,0.0
travel,0.0
swimming_pool,0.0
psychologist,0.0
radio_and_television_commercials,0.0
nature_reserve,0.0
all_venue,0.0
movers,0.0
motor_freight_trucking,0.0
mosque,0.0
mortgage_lender,0.0
monument,0.0
all_metals,0.0
metal_fabricator,0.0
all_development,0.0
all_wear,0.0
all_therapy,0.0
massage,0.0
all_media,0.0
masonry_concrete,0.0
makeup_artist,0.0
lodge,0.0
linen,0.0
population_826,0.0
lawyer,0.0
laundromat,0.0
naturopathic_holistic,0.0
notary_public,0.0
nurse_practitioner,0.0
nutritionist,0.0
public_service_and_government,0.0
public_relations,0.0
public_plaza,0.0
psychotherapist,0.0
30_CatBoost_prediction,0.0
psychic_medium,0.0
private_investigation,0.0
pool_billiards,0.0
podiatrist,0.0
plumbing,0.0
railroad_freight,0.0
plasterer,0.0
