feature,mean_importance
all_hospital,-0.01575704115888089
dog_walkers,-0.012832378665720201
residential_total_area,-0.005520921146625346
28_CatBoost_prediction,-0.004236513549415355
residential_lsoa_area_ratio,-0.003988628469078692
community_services_non_profits,-0.0030443142885323016
all_preschool,-0.003025168163119285
all_cleaning,-0.0027357862316042094
all_building,-0.002649650613578669
all_agency,-0.002463957810548012
35_RandomForest_prediction,-0.0018972142513307034
all_contractor,-0.0018460836115504863
14_RandomForest_prediction,-0.0018221722083696101
39_Xgboost_prediction,-0.0017166400358157197
college_university,-0.0015933260131815396
21_Xgboost_prediction,-0.0012876194657401308
31_CatBoost_prediction,-0.0010831564121221659
all_shop,-0.000988653368082204
2_Default_CatBoost_prediction,-0.0009444303376865748
all_planning,-0.0007832386589824658
3_Default_RandomForest_prediction,-0.0007032347159576346
24_RandomForest_prediction,-0.0006102881464914445
accountant,-0.0005395428436619554
all_park,-0.0004588256941740032
all_clothing,-0.000433618224711485
all_organizations,-0.0003648250201084613
parking,-0.00034966211015238227
all_venue,-0.000310543800187435
retail_lsoa_area_ratio,-0.0002534831218629852
shopping,-0.00023686938115730083
family_practice,-0.0002357755029156694
all_distribution,-0.00020854937815971696
church_cathedral,-0.0001929498135806895
all_education,-0.00018862439353797277
all_architect,-0.0001839076915165605
gym,-0.00018285928291916775
all_repair,-0.00018229802525487893
all_apartments,-0.00017817903864671968
12_RandomForest_prediction,-0.00016994996304853238
retail_total_area,-0.00016359171067759082
barber,-0.00015967757838354358
florist,-0.00013838960849846816
all_therapy,-0.000136342984943727
accommodation,-0.00012696256560504882
all_care,-0.0001206109007067635
builders,-0.00011162900503457474
doctor,-9.660533460406073e-05
library,-9.306827642013848e-05
all_cafe,-6.999567574895726e-05
food_stand,-6.37735966685371e-05
kiosk,-6.324295234885202e-05
currency_exchange,-6.26136486125084e-05
22_RandomForest_prediction,-5.1808595640823186e-05
all_department,-4.986820369211609e-05
funeral_services_and_cemeteries,-3.932154391586007e-05
embassy,-3.501968815040612e-05
chiropractor,-3.265389770849003e-05
