feature,mean_importance
office_avg_building_area,-0.0032263366250232183
all_contractor,-0.002929186511232229
all_shelter,-0.00230027229837203
office_total_area,-0.00226399866014283
office_lsoa_area_ratio,-0.0021394947795040143
all_restaurant,-0.0021031071004763645
all_church,-0.001921114010149405
key_and_locksmith,-0.0013927048424567379
all_planning,-0.001387537135948591
all_facility,-0.0013442418179616445
attractions_and_activities,-0.0012784575953635469
all_store,-0.0012022239075800245
mosque,-0.0009543748554080688
all_station,-0.0009505162105249765
all_testing,-0.0008742829708795252
retail_avg_building_area,-0.0007021408396386319
all_park,-0.0006775243616558235
emissions_inspection,-0.0005946905346998266
performing_arts,-0.0005391237246499036
family_practice,-0.0005258071610097726
all_management,-0.0005233251562823393
all_center,-0.000509513408605533
all_company,-0.0004933081401243489
desserts,-0.00047954857890353253
all_remodeling,-0.00035029790497007605
all_development,-0.00033402451909217976
all_wholesaler,-0.0003211289352737623
land_surveying,-0.00031875092742914555
shopping,-0.0003038748249468037
all_photography,-0.00024658489776907544
all_studio,-0.00022732070498023837
travel_agents,-0.00022419600452120437
theatre,-0.00022046549296838024
plasterer,-0.00018653881429754328
currency_exchange,-0.0001592864472837907
public_service_and_government,-0.00015721513117108454
casino,-0.00013050938680543301
all_media,-0.00012377841531775459
population_631,-0.00011913772778507914
hair_replacement,-0.00011185314086312737
lake,-0.00011033240762882146
all_department,-0.00010182260825836176
all_equipment,-9.980166294923932e-05
all_organizations,-9.725931050200698e-05
kids_recreation_and_party,-9.130398046153232e-05
automotive,-8.384700842160032e-05
all_union,-8.255126415043223e-05
all_entertainment,-7.99759034141978e-05
barber,-7.660474798684147e-05
auto_detailing,-7.311671558971611e-05
hair_stylist,-7.021960798586635e-05
caterer,-5.448758900926665e-05
electrician,-5.082590457079483e-05
all_cleaning,-4.985621511958138e-05
metal_fabricator,-4.9200173331176435e-05
arcade,-4.8645997896790136e-05
all_spa,-2.9593327668830938e-05
linen,-2.8626683155330567e-05
sign_making,-2.697266341722404e-05
all_temple,-2.6885070001347876e-05
real_estate_agent,-2.5396856403125945e-05
all_piercing,-2.3582016821932504e-05
all_building,-2.2447711960316142e-05
all_goods,-1.5652080708550288e-05
all_trainer,-1.4113337723176134e-05
university_housing,-1.3841671244563258e-05
all_production,-1.1330947127297097e-05
makeup_artist,-1.0613832390160561e-05
population_678,-1.0465230984046947e-05
all_therapy,-1.0187683692663985e-05
library,-9.458807262596735e-06
all_venue,-9.315495382844485e-06
doctor,-8.654612442426934e-06
fashion,-6.586486568960215e-06
all_association,-3.74457650358373e-06
all_dentist,-2.7214046290913174e-06
all_supply,-2.57146900354277e-06
population_626,-2.092389130481376e-06
all_business,-1.5361377730171987e-06
delicatessen,-1.440307724487333e-06
veterinarian,-1.326420491354341e-06
retail,-2.6512035251613496e-07
furniture_assembly,-1.8658656342207536e-07
active_life,-1.1940096785734156e-07
population_669,0.0
private_investigation,0.0
psychic_medium,0.0
psychologist,0.0
steel_fabricators,0.0
public_plaza,0.0
public_relations,0.0
population_657,0.0
population_705,0.0
steakhouse,0.0
race_track,0.0
population_700,0.0
railroad_freight,0.0
population_662,0.0
population_691,0.0
population_658,0.0
population_686,0.0
pool_billiards,0.0
population_680,0.0
population_674,0.0
real_estate_investment,0.0
population_673,0.0
screen_printing_t_shirt_printing,0.0
shades_and_blinds,0.0
specialty_foods,0.0
population_670,0.0
radio_and_television_commercials,0.0
population_707,0.0
population_716,0.0
pet_boarding,0.0
all_metals,0.0
population_756,0.0
population_777,0.0
all_wear,0.0
population_780,0.0
massage,0.0
mortgage_lender,0.0
population_794,0.0
population_801,0.0
masonry_concrete,0.0
population_803,0.0
population_812,0.0
population_838,0.0
lodge,0.0
population_800,0.0
population_712,0.0
population_752,0.0
movers,0.0
superstore,0.0
parking,0.0
all_mill,0.0
osteopathic_physician,0.0
osteopath,0.0
orthodontist,0.0
motor_freight_trucking,0.0
optometrist,0.0
population_729,0.0
population_749,0.0
nutritionist,0.0
nurse_practitioner,0.0
notary_public,0.0
nature_reserve,0.0
occupational_safety,0.0
swimming_instructor,0.0
population_618,0.0
swimming_pool,0.0
population_581,0.0
population_575,0.0
population_571,0.0
population_564,0.0
population_554,0.0
population_629,0.0
population_593,0.0
population_551,0.0
population_550,0.0
population_633,0.0
population_548,0.0
population_541,0.0
population_538,0.0
population_635,0.0
population_632,0.0
population_537,0.0
population_596,0.0
population_600,0.0
population_614,0.0
population_613,0.0
population_622,0.0
population_611,0.0
population_610,0.0
population_623,0.0
population_597,0.0
population_609,0.0
population_608,0.0
population_607,0.0
population_605,0.0
population_604,0.0
population_603,0.0
population_602,0.0
population_624,0.0
population_536,0.0
population_533,0.0
population_636,0.0
population_000,0.0
window_washing,0.0
vitamins_and_supplements,0.0
videographer,0.0
used_vintage_and_consignment,0.0
population_646,0.0
population_147,0.0
population_648,0.0
population_650,0.0
topic_publisher,0.0
population_651,0.0
population_652,0.0
telecommunications,0.0
population_615,0.0
trusts,0.0
population_374,0.0
population_385,0.0
population_412,0.0
population_527,0.0
population_518,0.0
population_511,0.0
population_510,0.0
population_485,0.0
population_479,0.0
population_638,0.0
population_640,0.0
population_642,0.0
population_475,0.0
population_471,0.0
population_470,0.0
population_439,0.0
population_426,0.0
population_415,0.0
population_654,0.0
housing_authorities,0.0
population_889,0.0
fair,0.0
dog_walkers,0.0
all_hall,0.0
all_garden,0.0
donuts,0.0
bed_and_breakfast,0.0
eat_and_drink,0.0
all_institute,0.0
beach,0.0
electronics,0.0
all_stores,0.0
embassy,0.0
all_room,0.0
b2b_textiles,0.0
b2b_science_and_technology,0.0
escape_rooms,0.0
b2b_machinery_and_tools,0.0
all_market,0.0
financial_advising,0.0
firework_retailer,0.0
all_course,0.0
all_training,0.0
books_mags_music_and_video,0.0
all_clinic,0.0
car_window_tinting,0.0
chemical_plant,0.0
all_broker,0.0
canal,0.0
chiropractor,0.0
cafetaria,0.0
all_engineers,0.0
all_supplies,0.0
business_consulting,0.0
all_contractors,0.0
bubble_tea,0.0
brewery,0.0
computer_coaching,0.0
all_surgeon,0.0
bowling_alley,0.0
boutique,0.0
courthouse,0.0
all_clothing,0.0
bookstore,0.0
dermatologist,0.0
bridge,0.0
auto_manufacturers_and_distributors,0.0
all_counseling,0.0
all_provider,0.0
all_restoration,0.0
florist,0.0
hearing_aids,0.0
all_companies,0.0
armed_forces_branch,0.0
home_decor,0.0
home_developer,0.0
all_medicine,0.0
general_festivals,0.0
hostel,0.0
population_881,0.0
housing_cooperative,0.0
interior_design,0.0
investing,0.0
airport,0.0
junk_removal_and_hauling,0.0
retail_total_area,0.0
kitchen_and_bath,0.0
all_lounge,0.0
arts_and_crafts,0.0
all_museum,0.0
all_house,0.0
gardener,0.0
all_rental,0.0
all_stadium,0.0
audiologist,0.0
auto_customization,0.0
fountain,0.0
all_insurance,0.0
furniture_wholesalers,0.0
food_stand,0.0
all_manufacturer,3.9182287192573995e-08
all_gardening,1.52625356519831e-07
all_distribution,2.514445806789389e-07
commercial_lsoa_area_ratio,3.4586302323225125e-07
funeral_services_and_cemeteries,3.6333708430813516e-07
laundromat,8.064875285707096e-07
commercial_industrial,8.289818486439948e-07
river,1.186527611063415e-06
lawyer,1.3744927930048333e-06
cinema,1.6324668888789695e-06
security_systems,2.038308905905062e-06
population_634,2.1958757837503564e-06
roofing,2.4871990337294037e-06
atms,3.0903694704043084e-06
outdoor_gear,3.5124132277686293e-06
all_transportation,3.752517842026126e-06
all_removal,4.056316020140116e-06
all_consultant,4.642700751034123e-06
all_manufacturers,5.631574033393427e-06
monument,8.893364315343267e-06
all_installation,9.335581709002393e-06
all_coach,9.635150243747504e-06
population_508,9.875557133842695e-06
fruits_and_vegetables,1.0585980195987332e-05
chocolatier,1.1001303769153647e-05
sewing_and_alterations,1.6030234183594948e-05
art_gallery,1.6429533403494735e-05
accommodation,1.7246423620220774e-05
all_pub,2.026487532799104e-05
all_preschool,2.03301696410918e-05
eyewear_and_optician,2.0455113728390373e-05
acupuncture,2.2334379968991235e-05
pet_groomer,2.392383988184532e-05
pharmacy,2.904366734560737e-05
