feature,mean_importance
all_hospital,-0.012546080853063735
dog_walkers,-0.005749807677970997
10_CatBoost_prediction,-0.004291755799665476
28_CatBoost_prediction,-0.004184928593426951
residential_total_area,-0.0038984429439892997
all_cleaning,-0.003574126474323902
all_avg_building_area,-0.003426578829008009
all_agency,-0.0025308630130613683
26_RandomForest_prediction,-0.0024456173672193103
all_building,-0.002241332829551068
college_university,-0.002220806386337382
all_repair,-0.0022039060936082876
all_park,-0.0019588566048146516
all_contractor,-0.0017768120627445927
40_Xgboost_prediction,-0.001309285696117568
35_RandomForest_prediction,-0.0013088966259243607
39_Xgboost_prediction,-0.0010333393644702316
all_shop,-0.0009189114116429197
florist,-0.0008193290446845581
all_store,-0.0008141106787532548
all_supplies,-0.0007283555222365346
accountant,-0.0006875121137611906
12_RandomForest_prediction,-0.0006504063684881322
health_and_medical,-0.0006247505856053825
all_salon,-0.0005944093740949174
all_spa,-0.0005645904919069688
all_planning,-0.0005046096219026075
community_services_non_profits,-0.0004982589504368362
commercial_total_area,-0.0004665472822361627
all_venue,-0.00043828651814805666
currency_exchange,-0.0004105852716453251
3_Default_RandomForest_prediction,-0.0003447104489883057
all_care,-0.0003260025667942146
retail_avg_building_area,-0.0002685415588458806
all_pub,-0.0002355990110255779
19_Xgboost_prediction,-0.00022607776371400546
caterer,-0.00021343599067067399
all_organization,-0.00021144919642102078
all_club,-0.00015374593960995053
all_cafe,-0.00014305805065273347
library,-0.0001417954854528114
barber,-0.00012710628391480184
gym,-0.00012317504657125556
shopping,-0.00011816751761386523
retail_total_area,-0.00010876387808106402
22_RandomForest_prediction,-0.00010562500388785478
all_church,-7.579192282530789e-05
parking,-6.585583425692266e-05
all_installation,-5.9380580012224905e-05
all_law,-5.874493521987878e-05
all_supplier,-5.8497349558572774e-05
business_advertising,-5.190701609565362e-05
all_training,-4.333756739112182e-05
embassy,-4.2688750918229434e-05
all_organizations,-4.2617905411690414e-05
all_development,-4.020598329943503e-05
automotive,-3.945789293303692e-05
all_center,-3.352196507074856e-05
active_life,-3.321884328947311e-05
office_avg_building_area,-2.8817496931698995e-05
all_temple,-2.5914817881345088e-05
art_gallery,-2.180220295694424e-05
all_apartments,-1.740619847172553e-05
church_cathedral,-1.4314014330829572e-05
all_transportation,-9.843818793120462e-06
sewing_and_alterations,-7.188110696976225e-06
auto_detailing,-2.750938619500154e-06
all_supply,-6.049759760928808e-07
population_760,0.0
stadium_arena,0.0
population_777,0.0
sports_club_and_league,0.0
population_759,0.0
videographer,0.0
population_749,0.0
spas,0.0
sign_making,0.0
population_747,0.0
all_space,0.0
specialty_foods,0.0
steakhouse,0.0
steel_fabricators,0.0
structure_and_geography,0.0
veterinarian,0.0
used_vintage_and_consignment,0.0
vitamins_and_supplements,0.0
university_housing,0.0
trusts,0.0
travel_agents,0.0
17_Xgboost_prediction,0.0
population_770,0.0
telecommunications,0.0
swimming_pool,0.0
swimming_instructor,0.0
warehouses,0.0
superstore,0.0
window_washing,0.0
theatre,0.0
topic_publisher,0.0
population_670,0.0
screen_printing_t_shirt_printing,0.0
pharmacy,0.0
pet_sitting,0.0
pet_groomer,0.0
pet_boarding,0.0
performing_arts,0.0
all_mill,0.0
painting,0.0
outdoor_gear,0.0
osteopathic_physician,0.0
all_piercing,0.0
osteopath,0.0
optometrist,0.0
occupational_safety,0.0
nutritionist,0.0
nurse_practitioner,0.0
notary_public,0.0
all_association,0.0
naturopathic_holistic,0.0
nature_reserve,0.0
population_816,0.0
orthodontist,0.0
shades_and_blinds,0.0
population_801,0.0
plumbing,0.0
roofing,0.0
river,0.0
population_742,0.0
resort,0.0
real_estate_investment,0.0
real_estate_agent,0.0
railroad_freight,0.0
population_790,0.0
radio_and_television_commercials,0.0
plasterer,0.0
race_track,0.0
public_relations,0.0
public_plaza,0.0
psychotherapist,0.0
psychologist,0.0
psychic_medium,0.0
psychic,0.0
private_investigation,0.0
pool_billiards,0.0
podiatrist,0.0
public_service_and_government,0.0
retail,0.0
population_411,0.0
population_716,0.0
population_633,0.0
population_632,0.0
population_631,0.0
population_629,0.0
population_626,0.0
population_624,0.0
population_622,0.0
population_618,0.0
population_634,0.0
population_616,0.0
population_613,0.0
population_611,0.0
population_607,0.0
population_677,0.0
population_606,0.0
population_605,0.0
population_604,0.0
population_599,0.0
population_615,0.0
population_595,0.0
population_635,0.0
population_637,0.0
population_669,0.0
population_668,0.0
population_662,0.0
population_658,0.0
population_657,0.0
population_652,0.0
population_651,0.0
population_650,0.0
population_636,0.0
population_649,0.0
population_646,0.0
population_644,0.0
population_642,0.0
population_641,0.0
population_674,0.0
population_640,0.0
population_638,0.0
population_675,0.0
population_648,0.0
population_586,0.0
population_578,0.0
population_576,0.0
population_481,0.0
population_691,0.0
population_693,0.0
population_475,0.0
population_471,0.0
population_470,0.0
population_452,0.0
population_701,0.0
population_682,0.0
population_439,0.0
population_437,0.0
population_427,0.0
population_426,0.0
population_412,0.0
population_385,0.0
population_341,0.0
population_147,0.0
population_712,0.0
population_711,0.0
population_483,0.0
population_679,0.0
population_484,0.0
population_571,0.0
population_564,0.0
population_558,0.0
population_554,0.0
population_538,0.0
population_537,0.0
population_536,0.0
population_531,0.0
population_529,0.0
population_527,0.0
population_522,0.0
population_518,0.0
population_678,0.0
population_514,0.0
population_510,0.0
population_508,0.0
population_486,0.0
population_485,0.0
movers,0.0
population_729,0.0
motor_freight_trucking,0.0
population_889,0.0
mortgage_lender,0.0
all_house,0.0
audiologist,0.0
all_rental,0.0
auto_customization,0.0
all_insurance,0.0
all_clothing,0.0
atms,0.0
all_provider,0.0
courthouse,0.0
counseling_and_mental_health,0.0
all_surgeon,0.0
all_dentist,0.0
computer_coaching,0.0
all_accessories,0.0
auto_manufacturers_and_distributors,0.0
all_facility,0.0
arts_and_crafts,0.0
all_restoration,0.0
donuts,0.0
b2b_textiles,0.0
all_studio,0.0
