feature,mean_importance
all_lsoa_area_ratio,-0.007353541709365141
office_avg_building_area,-0.00465171203959851
all_service,-0.00456264222782643
all_repair,-0.0019101021800889129
accommodation,-0.0018314608084058271
all_club,-0.0015815409526248492
supermarket,-0.001471890965047251
all_supply,-0.00123893145848053
all_dealer,-0.0011982484857741226
all_wholesaler,-0.001070190673164162
currency_exchange,-0.0009334730513471445
all_planning,-0.0008338524376624523
desserts,-0.0007274149581841249
acupuncture,-0.0005978014190051728
active_life,-0.0005170198304445539
all_park,-0.0004511194319503864
automotive,-0.0003830404202653015
all_church,-0.00033218961274904534
funeral_services_and_cemeteries,-0.0002975287982033059
all_estate,-0.0002927706628411353
retail,-0.00024791340420091677
library,-0.0002240551020775361
all_distribution,-0.00022170024530042686
all_office,-0.00021847690611518367
all_center,-0.00018979113417109117
all_production,-0.0001896675352849986
eat_and_drink,-0.00012853252908243685
commercial_avg_building_area,-9.844300284784779e-05
atms,-9.001290206384072e-05
plumbing,-7.985074752573374e-05
hotel,-7.638295583194399e-05
mosque,-7.345494505075489e-05
spas,-6.594332819340743e-05
num_buildings,-4.897813370866588e-05
kids_recreation_and_party,-4.039285428772965e-05
all_department,-3.749071932206416e-05
all_piercing,-1.543215115895613e-05
all_accessories,-1.4032328642921144e-05
all_station,-1.2781137129636022e-05
all_equipment,-1.672129268792677e-06
nutritionist,0.0
structure_and_geography,0.0
steel_fabricators,0.0
steakhouse,0.0
massage,0.0
all_therapy,0.0
specialty_foods,0.0
all_media,0.0
all_wear,0.0
sign_making,0.0
metal_fabricator,0.0
all_space,0.0
shades_and_blinds,0.0
sewing_and_alterations,0.0
security_systems,0.0
stadium_arena,0.0
masonry_concrete,0.0
makeup_artist,0.0
screen_printing_t_shirt_printing,0.0
vitamins_and_supplements,0.0
videographer,0.0
veterinarian,0.0
lawyer,0.0
used_vintage_and_consignment,0.0
university_housing,0.0
trusts,0.0
superstore,0.0
travel_agents,0.0
travel,0.0
topic_publisher,0.0
theatre,0.0
telecommunications,0.0
swimming_pool,0.0
lodge,0.0
swimming_instructor,0.0
linen,0.0
roofing,0.0
all_metals,0.0
occupational_safety,0.0
nature_reserve,0.0
podiatrist,0.0
all_association,0.0
plasterer,0.0
pet_sitting,0.0
pet_groomer,0.0
pet_boarding,0.0
pool_billiards,0.0
performing_arts,0.0
outdoor_gear,0.0
notary_public,0.0
osteopathic_physician,0.0
osteopath,0.0
orthodontist,0.0
