feature,mean_importance
office_lsoa_area_ratio,-0.0018647877666597146
all_shelter,-0.0014623539078164939
all_home,-0.0004088590249063273
num_buildings,0.0
all_mill,0.0
painting,0.0
outdoor_gear,0.0
osteopathic_physician,0.0
osteopath,0.0
notary_public,0.0
all_association,0.0
naturopathic_holistic,0.0
nature_reserve,0.0
motor_freight_trucking,0.0
monument,0.0
metal_fabricator,0.0
all_wear,0.0
all_therapy,0.0
performing_arts,0.0
pet_boarding,0.0
pet_sitting,0.0
plumbing,0.0
shades_and_blinds,0.0
sewing_and_alterations,0.0
security_systems,0.0
screen_printing_t_shirt_printing,0.0
river,0.0
retail,0.0
resort,0.0
real_estate_agent,0.0
race_track,0.0
public_service_and_government,0.0
public_relations,0.0
public_plaza,0.0
psychotherapist,0.0
psychologist,0.0
psychic_medium,0.0
psychic,0.0
pool_billiards,0.0
massage,0.0
all_media,0.0
makeup_artist,0.0
sign_making,0.0
gym,0.0
general_festivals,0.0
gardener,0.0
furniture_wholesalers,0.0
fruits_and_vegetables,0.0
fountain,0.0
all_stadium,0.0
all_removal,0.0
all_consultant,0.0
all_contractors,0.0
firework_retailer,0.0
all_planning,0.0
all_photography,0.0
escape_rooms,0.0
all_testing,0.0
all_businesses,0.0
food,0.0
masonry_concrete,0.0
hair_replacement,0.0
health_and_medical,0.0
lodge,0.0
lawyer,0.0
land_surveying,0.0
lake,0.0
kitchen_and_bath,0.0
kids_recreation_and_party,0.0
junk_removal_and_hauling,0.0
hair_stylist,0.0
all_pub,0.0
hotel,0.0
hostel,0.0
home_security,0.0
home_developer,0.0
all_companies,0.0
hearing_aids,0.0
all_coach,0.0
housing_cooperative,0.0
specialty_foods,0.0
sports_club_and_league,0.0
steel_fabricators,0.0
population_636,0.0
population_635,0.0
population_633,0.0
population_632,0.0
population_631,0.0
population_629,0.0
population_626,0.0
population_638,0.0
population_624,0.0
population_622,0.0
population_618,0.0
population_615,0.0
population_614,0.0
population_613,0.0
population_611,0.0
population_610,0.0
population_623,0.0
population_609,0.0
population_640,0.0
population_650,0.0
population_812,0.0
population_801,0.0
population_800,0.0
population_794,0.0
population_756,0.0
population_752,0.0
population_729,0.0
population_642,0.0
population_712,0.0
population_700,0.0
population_686,0.0
population_678,0.0
population_658,0.0
population_654,0.0
population_652,0.0
population_651,0.0
population_707,0.0
emissions_inspection,0.0
population_606,0.0
population_604,0.0
population_426,0.0
population_415,0.0
population_412,0.0
population_385,0.0
population_000,0.0
vitamins_and_supplements,0.0
videographer,0.0
population_471,0.0
