feature,mean_importance
19_Xgboost_prediction,-0.013798697649886432
32_Xgboost_prediction,-0.005665060563581769
24_RandomForest_prediction,-0.005282692804244549
21_Xgboost_prediction,-0.00514752627810734
17_Xgboost_prediction,-0.003767229279916362
Ensemble_prediction,-0.0034570078263918224
all_total_area,-0.002873841414705325
1_Default_Xgboost_prediction,-0.00276950103059147
num_places,-0.0020703164192569677
all_cafe,-0.0006447481430251534
16_Xgboost_prediction,-0.0005141501732425224
all_store,-0.00041538283220617924
all_school,-0.000380345333760479
hotel,-0.00038034421951157473
attractions_and_activities,-0.00037029997515067856
all_designer,-0.00034497909419874964
plumbing,-0.0003058256670249393
naturopathic_holistic,-0.00024892767939070913
all_dentist,-0.000184908961341268
all_station,-0.00017813424013978229
all_services,-0.0001673955638895719
39_Xgboost_prediction,-0.0001546407904014613
residential_total_area,-0.0001278854718437472
all_office,-9.317717616633692e-05
landscaping,-7.504198966173936e-05
25_RandomForest_prediction,-6.0740012585247526e-05
gym,-5.272617906783017e-05
community_services_non_profits,-4.401756256536826e-05
hostel,-2.2689910472151186e-05
auto_detailing,-2.14452921076691e-05
all_hospital,-1.2165183006485059e-05
population_558,0.0
population_803,0.0
radio_and_television_commercials,0.0
b2b_textiles,0.0
population_064,0.0
river,0.0
population_531,0.0
all_repair,0.0
all_association,0.0
railroad_freight,1.1102230246251566e-17
roofing,1.1102230246251566e-17
monument,1.1102230246251566e-17
all_testing,1.1102230246251566e-17
population_475,1.1102230246251566e-17
interior_design,1.1102230246251566e-17
population_522,1.1102230246251566e-17
general_dentistry,1.1102230246251566e-17
commercial_avg_building_area,1.1102230246251566e-17
population_427,1.1102230246251566e-17
pet_groomer,1.1102230246251566e-17
all_rentals,1.1102230246251566e-17
population_415,1.1102230246251566e-17
hearing_aids,1.1102230246251566e-17
all_companies,1.1102230246251566e-17
osteopathic_physician,1.1102230246251566e-17
all_training,1.1102230246251566e-17
population_599,1.1102230246251566e-17
all_photography,1.1102230246251566e-17
population_508,1.1102230246251566e-17
population_571,1.1102230246251566e-17
all_trainer,1.1102230246251566e-17
population_775,1.1102230246251566e-17
all_education,1.1102230246251566e-17
business_consulting,1.1102230246251566e-17
population_633,1.1102230246251566e-17
travel_agents,1.1102230246251566e-17
all_center,1.1102230246251566e-17
topic_publisher,1.1102230246251566e-17
population_644,1.1102230246251566e-17
dermatologist,1.1102230246251566e-17
population_550,1.1102230246251566e-17
notary_public,1.1102230246251566e-17
currency_exchange,1.1102230246251566e-17
courthouse,1.1102230246251566e-17
sign_making,1.1102230246251566e-17
retail_avg_building_area,1.1102230246251566e-17
retail_total_area,1.1102230246251566e-17
population_623,1.1102230246251566e-17
population_752,1.1102230246251566e-17
all_restoration,1.1102230246251566e-17
all_preschool,1.1102230246251566e-17
population_519,1.1102230246251566e-17
key_and_locksmith,2.2204460492503132e-17
all_gardening,2.2204460492503132e-17
investing,2.2204460492503132e-17
population_622,2.2204460492503132e-17
population_618,2.2204460492503132e-17
all_pub,2.2204460492503132e-17
housing_authorities,2.2204460492503132e-17
library,2.2204460492503132e-17
all_coach,2.2204460492503132e-17
emissions_inspection,2.2204460492503132e-17
all_businesses,2.2204460492503132e-17
population_635,2.2204460492503132e-17
eyewear_and_optician,2.2204460492503132e-17
all_market,2.2204460492503132e-17
financial_advising,2.2204460492503132e-17
all_contractors,2.2204460492503132e-17
home_decor,2.2204460492503132e-17
all_stadium,2.2204460492503132e-17
funeral_services_and_cemeteries,2.2204460492503132e-17
population_631,2.2204460492503132e-17
all_manufacturers,2.2204460492503132e-17
gardener,2.2204460492503132e-17
general_festivals,2.2204460492503132e-17
hair_replacement,2.2204460492503132e-17
population_626,2.2204460492503132e-17
fountain,2.2204460492503132e-17
kitchen_and_bath,2.2204460492503132e-17
pet_sitting,2.2204460492503132e-17
population_826,2.2204460492503132e-17
retail,2.2204460492503132e-17
screen_printing_t_shirt_printing,2.2204460492503132e-17
security_systems,2.2204460492503132e-17
sewing_and_alterations,2.2204460492503132e-17
shopping,2.2204460492503132e-17
sports_club_and_league,2.2204460492503132e-17
stadium_arena,2.2204460492503132e-17
population_551,2.2204460492503132e-17
superstore,2.2204460492503132e-17
public_service_and_government,2.2204460492503132e-17
swimming_pool,2.2204460492503132e-17
population_548,2.2204460492503132e-17
university_housing,2.2204460492503132e-17
used_vintage_and_consignment,2.2204460492503132e-17
veterinarian,2.2204460492503132e-17
population_527,2.2204460492503132e-17
population_520,2.2204460492503132e-17
population_484,2.2204460492503132e-17
population_469,2.2204460492503132e-17
population_450,2.2204460492503132e-17
telecommunications,2.2204460492503132e-17
public_relations,2.2204460492503132e-17
public_plaza,2.2204460492503132e-17
psychotherapist,2.2204460492503132e-17
linen,2.2204460492503132e-17
population_614,2.2204460492503132e-17
all_therapy,2.2204460492503132e-17
population_608,2.2204460492503132e-17
all_metals,2.2204460492503132e-17
mortgage_lender,2.2204460492503132e-17
motor_freight_trucking,2.2204460492503132e-17
movers,2.2204460492503132e-17
all_venue,2.2204460492503132e-17
population_604,2.2204460492503132e-17
population_603,2.2204460492503132e-17
osteopath,2.2204460492503132e-17
outdoor_gear,2.2204460492503132e-17
painting,2.2204460492503132e-17
parking,2.2204460492503132e-17
pet_boarding,2.2204460492503132e-17
embassy,2.2204460492503132e-17
pharmacy,2.2204460492503132e-17
all_piercing,2.2204460492503132e-17
population_600,2.2204460492503132e-17
private_investigation,2.2204460492503132e-17
lake,2.2204460492503132e-17
electronics,2.2204460492503132e-17
population_163,2.2204460492503132e-17
car_window_tinting,2.2204460492503132e-17
all_restaurant,2.2204460492503132e-17
all_dealer,2.2204460492503132e-17
all_tours,2.2204460492503132e-17
all_lounge,2.2204460492503132e-17
chocolatier,2.2204460492503132e-17
all_club,2.2204460492503132e-17
automotive,2.2204460492503132e-17
population_650,2.2204460492503132e-17
all_team,2.2204460492503132e-17
auto_manufacturers_and_distributors,2.2204460492503132e-17
all_provider,2.2204460492503132e-17
population_760,2.2204460492503132e-17
all_entertainment,2.2204460492503132e-17
all_shelter,2.2204460492503132e-17
all_counseling,2.2204460492503132e-17
population_651,2.2204460492503132e-17
all_broker,2.2204460492503132e-17
canal,2.2204460492503132e-17
population_654,2.2204460492503132e-17
cafetaria,2.2204460492503132e-17
all_apartments,2.2204460492503132e-17
all_shop,2.2204460492503132e-17
armed_forces_branch,2.2204460492503132e-17
population_658,2.2204460492503132e-17
art_gallery,2.2204460492503132e-17
all_temple,2.2204460492503132e-17
population_682,2.2204460492503132e-17
acupuncture,2.2204460492503132e-17
church_cathedral,2.2204460492503132e-17
population_648,2.2204460492503132e-17
all_bar,2.2204460492503132e-17
eat_and_drink,2.2204460492503132e-17
population_812,2.2204460492503132e-17
