feature,mean_importance
all_museum,-0.002725815184203151
church_cathedral,-0.0023866833076557127
all_church,-0.002033146357101334
automotive,-0.0019190097434376497
residential_avg_building_area,-0.0017741893156559608
accommodation,-0.0014294625827070862
all_dentist,-0.00139390383074508
all_spa,-0.0012678698473624795
office_lsoa_area_ratio,-0.001218419268353177
hair_stylist,-0.0010544305049647984
all_media,-0.001052471799320176
travel,-0.000850535875066305
all_center,-0.00083742915695878
nutritionist,-0.0008336125087413327
pet_groomer,-0.000749697732742649
railroad_freight,-0.0007282286878380395
all_architect,-0.0006829897016594422
all_piercing,-0.0006710315985935855
attractions_and_activities,-0.000665062801900107
financial_advising,-0.0006243125097137869
key_and_locksmith,-0.0006072493609513896
all_contractor,-0.0005735256273935452
food,-0.0005499044572497391
all_organizations,-0.0004627814096684113
brewery,-0.00045291957244137927
home_decor,-0.0004495635242244167
mosque,-0.00044951389502704273
psychic,-0.0004401925721193911
university_housing,-0.00042943663643243426
painting,-0.0003891809711260907
audiologist,-0.0003714585043918084
population_452,-0.0003487854677292512
all_testing,-0.0003478349678073145
all_businesses,-0.000315533965391801
theatre,-0.00028438088876154844
vitamins_and_supplements,-0.00024389577054987344
investing,-0.00022838728191468816
all_cafe,-0.00022250946064770183
steakhouse,-0.0002076325245312205
delicatessen,-0.00019893369007540908
electrician,-0.00019451783293030766
spas,-0.00017575686131474644
all_manufacturer,-0.00017388049975790575
all_club,-0.00016251058689596974
all_remodeling,-0.00015145130991964795
all_therapy,-0.00014213366708489827
hair_replacement,-0.00013338367434637677
all_team,-0.00012639664096230073
all_designer,-0.00011460824484595954
shopping,-0.00011451680356822092
books_mags_music_and_video,-9.703368584866867e-05
casino,-9.410586435633083e-05
all_preschool,-9.027830909339452e-05
all_companies,-7.97608215928447e-05
all_association,-7.613517956430726e-05
monument,-6.330414020155883e-05
motor_freight_trucking,-6.298495807285364e-05
all_entertainment,-5.249178477424454e-05
auto_manufacturers_and_distributors,-4.075008555916026e-05
bakery,-3.202284884985529e-05
all_contractors,-2.130519039844625e-05
cinema,-1.1130245676671535e-05
beach,-8.442550239540214e-06
public_service_and_government,-7.824607657680448e-06
sign_making,-7.742784991959794e-06
library,-6.376346642111841e-06
active_life,-5.481165078169425e-06
topic_publisher,0.0
shades_and_blinds,0.0
sewing_and_alterations,0.0
population_000,0.0
all_space,0.0
window_washing,0.0
veterinarian,0.0
swimming_pool,0.0
used_vintage_and_consignment,0.0
trusts,0.0
steel_fabricators,0.0
structure_and_geography,0.0
superstore,0.0
travel_agents,0.0
swimming_instructor,0.0
videographer,0.0
security_systems,0.0
plasterer,0.0
roofing,0.0
occupational_safety,0.0
notary_public,0.0
nature_reserve,0.0
movers,0.0
mortgage_lender,0.0
all_metals,0.0
optometrist,0.0
metal_fabricator,0.0
massage,0.0
masonry_concrete,0.0
makeup_artist,0.0
lodge,0.0
lawyer,0.0
laundromat,0.0
all_wear,0.0
screen_printing_t_shirt_printing,0.0
orthodontist,0.0
osteopathic_physician,0.0
retail,0.0
resort,0.0
real_estate_investment,0.0
radio_and_television_commercials,0.0
race_track,0.0
psychic_medium,0.0
osteopath,0.0
private_investigation,0.0
podiatrist,0.0
pet_sitting,0.0
pet_boarding,0.0
performing_arts,0.0
all_mill,0.0
outdoor_gear,0.0
pool_billiards,0.0
population_147,0.0
housing_authorities,0.0
population_385,0.0
population_662,0.0
population_658,0.0
population_657,0.0
population_654,0.0
population_652,0.0
population_651,0.0
population_650,0.0
population_648,0.0
population_646,0.0
population_669,0.0
population_642,0.0
population_638,0.0
population_636,0.0
population_635,0.0
population_634,0.0
population_633,0.0
population_632,0.0
population_631,0.0
population_629,0.0
population_626,0.0
population_640,0.0
population_624,0.0
population_670,0.0
population_674,0.0
population_838,0.0
population_812,0.0
population_803,0.0
population_801,0.0
population_800,0.0
population_794,0.0
population_780,0.0
population_777,0.0
population_756,0.0
population_673,0.0
population_752,0.0
population_729,0.0
population_716,0.0
population_712,0.0
population_707,0.0
population_705,0.0
population_700,0.0
population_691,0.0
population_686,0.0
population_680,0.0
population_749,0.0
population_623,0.0
population_622,0.0
population_618,0.0
population_541,0.0
population_538,0.0
population_537,0.0
population_536,0.0
population_533,0.0
population_527,0.0
population_518,0.0
population_511,0.0
population_510,0.0
population_548,0.0
population_508,0.0
landscaping,0.0
population_479,0.0
population_475,0.0
population_471,0.0
population_470,0.0
population_439,0.0
population_426,0.0
population_415,0.0
population_412,0.0
population_485,0.0
population_550,0.0
population_551,0.0
population_554,0.0
population_615,0.0
population_614,0.0
population_613,0.0
population_611,0.0
population_610,0.0
