feature,mean_importance
all_home,-0.0019014223185289004
3_Default_RandomForest_prediction,-0.001825168967324675
16_Xgboost_prediction,-0.0015832428898777007
all_hospital,-0.0014639630844791474
all_avg_building_area,-0.0012879113630774985
commercial_lsoa_area_ratio,-0.0008809818855510909
trusts,-0.0008539487876999763
all_store,-0.0007534155420006128
kiosk,-0.00072041582959812
all_organization,-0.0006698836297364452
32_Xgboost_prediction,-0.0005923355894279281
num_buildings,-0.0005449954733411033
all_salon,-0.0005096093380428824
all_supplier,-0.0004877907271929716
all_repair,-0.0004486554835463452
caterer,-0.00041673225669972556
all_shelter,-0.00033571088755008917
residential_avg_building_area,-0.0003223421200737486
all_dealer,-0.0003173688721439305
office_avg_building_area,-0.00031185334423811106
funeral_services_and_cemeteries,-0.0002726011640725279
stadium_arena,-0.0002530875931810339
all_lsoa_area_ratio,-0.0002513374493400833
all_cleaning,-0.00023737875635464477
all_law,-0.00021453570967701064
all_education,-0.00017449438496601742
health_and_medical,-0.00014902636003282231
all_estate,-0.00014142319799037573
videographer,-0.0001400111707823948
college_university,-0.00013162932047565689
family_practice,-0.00012758161446003725
all_designer,-0.00010195769045978631
all_pub,-8.920362428395112e-05
shades_and_blinds,-4.989806395937491e-05
shopping,-4.5296999020993936e-05
accommodation,-5.166990175853314e-06
housing_authorities,-4.528510766299565e-06
race_track,0.0
public_relations,0.0
radio_and_television_commercials,0.0
railroad_freight,0.0
real_estate_agent,0.0
public_plaza,0.0
real_estate_investment,0.0
resort,0.0
warehouses,0.0
psychotherapist,0.0
river,0.0
public_service_and_government,0.0
roofing,0.0
used_vintage_and_consignment,0.0
sewing_and_alterations,0.0
university_housing,0.0
population_801,0.0
travel_agents,0.0
theatre,0.0
telecommunications,0.0
swimming_pool,0.0
swimming_instructor,0.0
veterinarian,0.0
superstore,0.0
supermarket,0.0
structure_and_geography,0.0
steel_fabricators,0.0
steakhouse,0.0
psychologist,0.0
specialty_foods,0.0
spas,0.0
all_space,0.0
security_systems,0.0
psychic_medium,0.0
population_759,0.0
private_investigation,0.0
motor_freight_trucking,0.0
mosque,0.0
mortgage_lender,0.0
monument,0.0
all_metals,0.0
metal_fabricator,0.0
all_development,0.0
all_wear,0.0
population_816,0.0
movers,0.0
all_therapy,0.0
masonry_concrete,0.0
makeup_artist,0.0
lodge,0.0
linen,0.0
population_826,0.0
lawyer,0.0
laundromat,0.0
landscaping,0.0
land_surveying,0.0
all_media,0.0
psychic,0.0
all_venue,0.0
naturopathic_holistic,0.0
pool_billiards,0.0
podiatrist,0.0
plumbing,0.0
all_piercing,0.0
pet_sitting,0.0
pet_groomer,0.0
pet_boarding,0.0
performing_arts,0.0
all_mill,0.0
nature_reserve,0.0
painting,0.0
osteopathic_physician,0.0
osteopath,0.0
orthodontist,0.0
optometrist,0.0
occupational_safety,0.0
nutritionist,0.0
nurse_practitioner,0.0
notary_public,0.0
all_association,0.0
outdoor_gear,0.0
plasterer,0.0
population_147,0.0
population_790,0.0
population_652,0.0
population_651,0.0
population_650,0.0
population_649,0.0
population_648,0.0
population_646,0.0
population_644,0.0
population_642,0.0
population_641,0.0
population_657,0.0
population_640,0.0
population_637,0.0
population_636,0.0
population_635,0.0
population_634,0.0
population_633,0.0
population_632,0.0
population_631,0.0
population_629,0.0
population_626,0.0
population_638,0.0
population_622,0.0
population_770,0.0
population_760,0.0
population_749,0.0
population_747,0.0
population_742,0.0
population_729,0.0
population_716,0.0
population_712,0.0
population_711,0.0
population_701,0.0
population_693,0.0
population_658,0.0
population_691,0.0
population_679,0.0
population_678,0.0
population_677,0.0
population_675,0.0
population_674,0.0
population_670,0.0
population_669,0.0
population_668,0.0
population_662,0.0
population_682,0.0
window_washing,0.0
population_618,0.0
population_615,0.0
population_510,0.0
population_508,0.0
population_486,0.0
population_485,0.0
population_484,0.0
population_483,0.0
population_481,0.0
population_475,0.0
population_471,0.0
population_514,0.0
population_470,0.0
population_439,0.0
population_437,0.0
lake,0.0
population_426,0.0
population_412,0.0
population_411,0.0
population_385,0.0
population_341,0.0
population_777,0.0
population_452,0.0
population_616,0.0
population_518,0.0
population_527,0.0
population_613,0.0
population_611,0.0
population_607,0.0
population_606,0.0
population_605,0.0
population_604,0.0
population_599,0.0
population_595,0.0
population_586,0.0
population_522,0.0
population_578,0.0
population_571,0.0
population_564,0.0
population_558,0.0
population_554,0.0
population_538,0.0
population_537,0.0
population_536,0.0
population_531,0.0
population_529,0.0
population_576,0.0
population_427,0.0
library,0.0
kids_recreation_and_party,0.0
builders,0.0
all_temple,0.0
bubble_tea,0.0
bridge,0.0
brewery,0.0
all_class,0.0
bowling_alley,0.0
bookstore,0.0
books_mags_music_and_video,0.0
all_distribution,0.0
all_training,0.0
all_hall,0.0
all_garden,0.0
bed_and_breakfast,0.0
all_spa,0.0
all_rentals,0.0
beach,0.0
all_station,0.0
all_remodeling,0.0
all_tours,0.0
business_advertising,0.0
chocolatier,0.0
chiropractor,0.0
all_club,0.0
all_care,0.0
casino,0.0
carpenter,0.0
all_counseling,0.0
car_window_tinting,0.0
all_installation,0.0
all_broker,0.0
canal,0.0
cafetaria,0.0
all_cafe,0.0
all_transportation,0.0
all_management,0.0
all_supply,0.0
business_consulting,0.0
all_business,0.0
church_cathedral,0.0
all_stores,0.0
all_bar,0.0
armed_forces_branch,0.0
all_architect,0.0
arcade,0.0
all_manufacturer,0.0
all_studio,0.0
all_church,0.0
all_park,0.0
all_team,0.0
all_medicine,0.0
