feature,mean_importance
all_lsoa_area_ratio,-0.002389714670060561
num_buildings,-0.001540458888235252
caterer,-0.00023347221303048337
health_and_medical,-0.00019165491055225247
all_hall,0.0
population_604,1.1102230246251566e-17
kids_recreation_and_party,1.1102230246251566e-17
boutique,1.1102230246251566e-17
all_house,1.1102230246251566e-17
population_889,1.1102230246251566e-17
home_decor,2.2204460492503132e-17
roofing,2.2204460492503132e-17
real_estate_investment,2.2204460492503132e-17
screen_printing_t_shirt_printing,2.2204460492503132e-17
race_track,2.2204460492503132e-17
all_architect,2.2204460492503132e-17
audiologist,2.2204460492503132e-17
population_613,2.2204460492503132e-17
telecommunications,2.2204460492503132e-17
all_supplier,2.2204460492503132e-17
all_supplies,2.2204460492503132e-17
travel_agents,2.2204460492503132e-17
population_341,2.2204460492503132e-17
all_entertainment,2.2204460492503132e-17
all_planning,2.2204460492503132e-17
bubble_tea,2.2204460492503132e-17
population_538,2.2204460492503132e-17
all_training,2.2204460492503132e-17
population_518,2.2204460492503132e-17
gym,2.2204460492503132e-17
books_mags_music_and_video,2.2204460492503132e-17
population_514,2.2204460492503132e-17
all_temple,2.2204460492503132e-17
all_manufacturers,2.2204460492503132e-17
all_engineers,2.2204460492503132e-17
funeral_services_and_cemeteries,2.2204460492503132e-17
population_484,2.2204460492503132e-17
bakery,2.2204460492503132e-17
all_broker,3.3306690738754695e-17
cinema,3.3306690738754695e-17
population_412,3.3306690738754695e-17
population_385,3.3306690738754695e-17
population_439,3.3306690738754695e-17
chiropractor,3.3306690738754695e-17
population_470,3.3306690738754695e-17
theatre,3.3306690738754695e-17
all_club,3.3306690738754695e-17
sewing_and_alterations,3.3306690738754695e-17
sign_making,3.3306690738754695e-17
carpenter,3.3306690738754695e-17
swimming_pool,3.3306690738754695e-17
all_cleaning,3.3306690738754695e-17
computer_coaching,3.3306690738754695e-17
population_527,3.3306690738754695e-17
hearing_aids,3.3306690738754695e-17
housing_cooperative,3.3306690738754695e-17
all_removal,3.3306690738754695e-17
key_and_locksmith,3.3306690738754695e-17
kiosk,3.3306690738754695e-17
lawyer,3.3306690738754695e-17
fountain,3.3306690738754695e-17
lodge,3.3306690738754695e-17
makeup_artist,3.3306690738754695e-17
food,3.3306690738754695e-17
florist,3.3306690738754695e-17
all_contractors,3.3306690738754695e-17
firework_retailer,3.3306690738754695e-17
all_metals,3.3306690738754695e-17
movers,3.3306690738754695e-17
notary_public,3.3306690738754695e-17
all_room,3.3306690738754695e-17
embassy,3.3306690738754695e-17
outdoor_gear,3.3306690738754695e-17
parking,3.3306690738754695e-17
all_piercing,3.3306690738754695e-17
desserts,3.3306690738754695e-17
psychologist,3.3306690738754695e-17
psychotherapist,3.3306690738754695e-17
public_plaza,3.3306690738754695e-17
counseling_and_mental_health,3.3306690738754695e-17
all_surgeon,3.3306690738754695e-17
all_agencies,3.3306690738754695e-17
population_531,3.3306690738754695e-17
housing_authorities,3.3306690738754695e-17
business_consulting,3.3306690738754695e-17
population_711,3.3306690738754695e-17
population_701,3.3306690738754695e-17
all_education,3.3306690738754695e-17
