feature,mean_importance
36_CatBoost_prediction,-0.008747240117410215
27_RandomForest_prediction,-0.003828009011519784
all_lsoa_area_ratio,-0.0018843480126365386
all_shelter,-0.0006290302708492623
all_park,-0.0005285887950952417
all_restaurant,-0.0003588557832599704
all_home,-0.0003540217349404795
accommodation,-0.0003524267509296686
num_buildings,-0.0003158408024529047
12_RandomForest_prediction,-0.00029546143664380684
all_department,-0.00026739907626817107
all_production,-0.00018519444901525793
all_total_area,-0.00017051319385240625
all_salon,-0.00015016774694142087
all_apartments,-0.00010525256283738793
office_lsoa_area_ratio,-5.83485426939645e-05
health_and_medical,-2.6870702280679114e-05
all_school,-1.8993720937010573e-05
23_RandomForest_prediction,-7.304752791337243e-06
population_493,-6.661338147750939e-17
population_603,-5.551115123125783e-17
population_548,-5.551115123125783e-17
all_insurance,-5.551115123125783e-17
massage,-5.551115123125783e-17
all_rental,-5.551115123125783e-17
all_training,-5.551115123125783e-17
population_623,-5.551115123125783e-17
bookstore,-5.551115123125783e-17
population_601,-5.551115123125783e-17
all_stores,-5.551115123125783e-17
pet_groomer,-5.551115123125783e-17
all_station,-5.551115123125783e-17
podiatrist,-5.551115123125783e-17
private_investigation,-5.551115123125783e-17
psychic,-5.551115123125783e-17
all_photography,-5.551115123125783e-17
all_businesses,-5.551115123125783e-17
all_dentist,-5.551115123125783e-17
all_temple,-5.551115123125783e-17
veterinarian,-5.551115123125783e-17
arts_and_crafts,-5.551115123125783e-17
all_companies,-5.551115123125783e-17
all_counseling,-5.551115123125783e-17
all_transportation,-5.551115123125783e-17
motor_freight_trucking,-5.551115123125783e-17
hair_stylist,-5.551115123125783e-17
16_Xgboost_prediction,-5.551115123125783e-17
all_supply,-5.551115123125783e-17
lodge,-5.551115123125783e-17
population_816,-5.551115123125783e-17
art_gallery,-5.551115123125783e-17
all_team,-5.551115123125783e-17
population_775,-5.551115123125783e-17
population_801,-5.551115123125783e-17
residential_avg_building_area,-5.551115123125783e-17
desserts,-4.4408920985006264e-17
diner,-4.4408920985006264e-17
dog_walkers,-4.4408920985006264e-17
real_estate_agent,-4.4408920985006264e-17
