feature,mean_importance
river,-1.05180285779083
all_facility,-1.0248394112697572
public_relations,-0.91345710980025
all_dealer,-0.8763474063669182
screen_printing_t_shirt_printing,-0.8369821454218009
all_museum,-0.6934910468949778
all_wear,-0.6420830588988693
furniture_wholesalers,-0.5875816592197861
all_development,-0.5830000698636575
all_pub,-0.5574364465503692
all_organizations,-0.5148241537419125
home_decor,-0.5038394349469361
all_rental,-0.49160755062474093
railroad_freight,-0.44194256780494107
all_provider,-0.4250104752201317
chemical_plant,-0.41364695899223347
car_window_tinting,-0.36372188437468794
all_counseling,-0.34724589355445235
all_cafe,-0.3135053464375641
books_mags_music_and_video,-0.30856118419144957
gym,-0.28025118869690646
delicatessen,-0.27985848500289523
population_624,-0.2745097202656869
eat_and_drink,-0.26818198682767436
optometrist,-0.26379783113004757
all_union,-0.2597324264080161
bubble_tea,-0.25932472231856385
lawyer,-0.25861205074418975
retail,-0.2575326985698883
all_medicine,-0.2487666799368519
electrician,-0.24465077976248004
movers,-0.2428091653119971
all_education,-0.2423307571479228
all_stores,-0.24141272439419909
all_restaurant,-0.23810953851459757
all_association,-0.2376118493999016
mortgage_lender,-0.23609408006606075
pool_billiards,-0.21831471999324598
desserts,-0.20903564297304983
all_contractors,-0.20580416699608256
resort,-0.18509613486517829
currency_exchange,-0.17918369506578813
art_gallery,-0.1742533471324464
all_venue,-0.1692456984377671
gardener,-0.16865938135137987
all_park,-0.1642437449898601
b2b_machinery_and_tools,-0.1560026690877198
food_stand,-0.14874857970959
motor_freight_trucking,-0.14394654861225503
painting,-0.14140951284812964
all_metals,-0.13645407503444673
business_consulting,-0.13594223435383485
home_developer,-0.13504704087129724
all_transportation,-0.11972931347148297
all_manufacturer,-0.1171442466896174
supermarket,-0.11522364696524576
cafetaria,-0.11356292521248683
counseling_and_mental_health,-0.11163253585570879
all_designer,-0.1007587094316591
hair_stylist,-0.10000893347052334
pet_boarding,-0.09958739290412133
metal_fabricator,-0.09901708255060307
sign_making,-0.09486853832352651
all_shop,-0.08866978025776576
donuts,-0.08816945772772691
orthodontist,-0.08633700335482786
all_room,-0.08523263438533775
college_university,-0.08028126642393581
all_school,-0.07743534919327111
population_620,-0.07024921840035744
atms,-0.06949350121301485
population_571,-0.06863939650900619
general_dentistry,-0.0670762977299777
bed_and_breakfast,-0.06277517231134447
home_security,-0.06224217425995313
superstore,-0.05990837324046474
population_645,-0.05924098473045305
all_shelter,-0.0545899783677342
courthouse,-0.05419107483429144
performing_arts,-0.05307795686717327
funeral_services_and_cemeteries,-0.052957988140104106
occupational_safety,-0.05269770687059037
computer_coaching,-0.052617361900249904
all_testing,-0.051502221241153376
b2b_science_and_technology,-0.05031723145310174
all_office,-0.048232623590305224
fair,-0.04732683358984104
psychotherapist,-0.04471880725101549
all_temple,-0.043276381409212306
all_supplies,-0.04322504521431014
interior_design,-0.043121663908353015
mosque,-0.04223194431643158
all_businesses,-0.040818009859447814
all_planning,-0.03994200470548428
real_estate_agent,-0.039416224296876835
all_church,-0.038327715530786934
accommodation,-0.03762229731996989
business_advertising,-0.035694803619186644
all_architect,-0.03499196642986
specialty_foods,-0.034332904968066916
key_and_locksmith,-0.03273748631759048
radio_and_television_commercials,-0.032651093499508475
all_training,-0.031548280729278844
brewery,-0.027798871327355458
laundromat,-0.027251347415057126
all_removal,-0.02570415753498203
financial_advising,-0.02486321850256701
population_452,-0.024495168653312405
travel_agents,-0.023178662751489654
all_remodeling,-0.022327780700387122
podiatrist,-0.020798846801464776
b2b_textiles,-0.02069448417153197
all_entertainment,-0.02059829387191776
population_747,-0.01997612475432433
all_insurance,-0.019671526678494543
all_center,-0.019115179881684697
plumbing,-0.017862314344307607
commercial_industrial,-0.016745184400855706
beach,-0.015778244264712173
veterinarian,-0.014632234211484985
lake,-0.014474432831664075
population_439,-0.014163190834504746
population_606,-0.013524985024950809
race_track,-0.013235866261397078
boutique,-0.012928505586765837
masonry_concrete,-0.01275336638385518
population_615,-0.012500555715656248
psychologist,-0.012481451450577552
all_studio,-0.012094001911158258
all_distribution,-0.011992781342634729
auto_manufacturers_and_distributors,-0.011051904614680197
residential_lsoa_area_ratio,-0.010136814142830986
pharmacy,-0.009612298817800635
caterer,-0.009020719392395548
all_space,-0.007914146861739368
population_659,-0.0078975975057336
pet_groomer,-0.00772237702270111
chiropractor,-0.0076073128473268525
population_674,-0.007494067715966679
