feature,mean_importance
all_company,-0.03309894943864704
all_clinic,-0.03303357672346605
all_school,-0.023979571253502096
all_education,-0.02288419943422735
all_garden,-0.021641317612665523
retail,-0.020695419513815372
all_organizations,-0.020660749217256913
population_624,-0.020194708785452355
business_consulting,-0.019846481830785835
all_development,-0.018654512974426128
public_service_and_government,-0.012676570956025058
landscaping,-0.012656839057505542
all_care,-0.011565060081819723
psychologist,-0.011162554835546023
all_therapy,-0.010687282193450987
shades_and_blinds,-0.010197311392802288
all_preschool,-0.010143513201317433
all_dealer,-0.009676065492835395
carpenter,-0.009374086306789509
videographer,-0.008813329340572796
doctor,-0.008440217865499621
occupational_safety,-0.007888327952593244
casino,-0.007371928048587684
naturopathic_holistic,-0.007236061932034144
all_office,-0.006909129334690634
arcade,-0.0068110286798384045
all_lounge,-0.006661434499017305
population_645,-0.0064148691114644715
travel,-0.006323988290458349
gym,-0.006101365155627736
bubble_tea,-0.00583192773233423
optometrist,-0.0056845494010965055
psychotherapist,-0.005436087967996617
b2b_science_and_technology,-0.005413533874997989
investing,-0.005392896883780108
all_salon,-0.004813195506309609
all_supply,-0.00454079730879684
food_stand,-0.0044460012788656526
all_medicine,-0.004361012354647653
eat_and_drink,-0.004288325251748071
all_church,-0.0042621079637835905
population_571,-0.004211902147619062
all_contractor,-0.0042056139511049695
all_distribution,-0.004185080841277222
orthodontist,-0.0040444311887036346
plumbing,-0.003759185989324454
all_transportation,-0.003737071706367434
all_home,-0.0036734371305516154
active_life,-0.0035905172539447915
all_hall,-0.003564292510512512
all_surgeon,-0.0032850627278940836
all_testing,-0.00282032153484415
nurse_practitioner,-0.0027904329042331088
population_747,-0.002668809733600819
college_university,-0.0025427641197217853
all_supplier,-0.002463223161346528
real_estate_investment,-0.0023033106089211273
all_manufacturers,-0.0020568809003594923
swimming_instructor,-0.0019281924015291051
all_stores,-0.001924124798250082
roofing,-0.0016773825452249813
fruits_and_vegetables,-0.0016574724822205678
all_center,-0.001591578076104927
population_720,-0.0014732280229561745
security_systems,-0.001454405029835981
commercial_industrial,-0.0014272461643509925
sports_club_and_league,-0.00130549127779922
population_620,-0.0012914862610531098
caterer,-0.0012863735150732802
electrician,-0.0012844752268731606
delicatessen,-0.0012810242226463763
all_manufacturer,-0.0012783236596787483
all_rentals,-0.0012283992861807035
all_counseling,-0.0012279608207820037
painting,-0.0011125781423114045
fashion,-0.0011106616072270813
all_installation,-0.0011048816018432773
sign_making,-0.0010689563170445116
bowling_alley,-0.0010178171626366473
auto_detailing,-0.0010116433618880816
all_venue,-0.0009841208200211948
performing_arts,-0.0009773701906064859
pet_groomer,-0.0009640830825038416
acupuncture,-0.0008631884111478305
airport,-0.0008545767426028749
all_rental,-0.0008119783860401242
window_washing,-0.0007951822226382576
all_market,-0.0007795407693109935
furniture_assembly,-0.0007421352151438354
arts_and_crafts,-0.0007018670859428422
furniture_wholesalers,-0.0006843661403776568
accommodation,-0.0006841831013314703
all_lsoa_area_ratio,-0.0006366033064329147
pet_boarding,-0.0006270850057358724
chiropractor,-0.0005968788840668094
all_entertainment,-0.0005778283105330795
atms,-0.00048669056128134434
population_674,-0.0004635789511974409
population_599,-0.00042699194196493817
hostel,-0.0004238150109916461
all_removal,-0.00041164709537695466
home_decor,-0.0004073214530552205
library,-0.0004016687718147338
monument,-0.00036652430318866446
hair_stylist,-0.00034064404966380744
specialty_foods,-0.00033075260610553324
all_stadium,-0.0003037148005974988
population_633,-0.00030060614136766527
builders,-0.00029923693021509655
all_companies,-0.0002834471167630914
all_contractors,-0.00027966142480333466
bed_and_breakfast,-0.00022221983996810745
auto_manufacturers_and_distributors,-0.00021609910064521732
linen,-0.00020934265955088182
all_equipment,-0.00020378975877943795
osteopathic_physician,-0.00017962953617853828
movers,-0.0001771469368829548
race_track,-0.00015751674886412825
population_522,-0.00015517512356202356
all_course,-0.0001451195281929607
warehouses,-0.00013747652946416444
diner,-0.00012917788931150477
steel_fabricators,-0.00012305389270086397
all_facility,-0.00012042519998560764
armed_forces_branch,-0.00010430317570164771
all_service,-7.236861403785433e-05
eyewear_and_optician,-6.531859171114985e-05
housing_authorities,-5.7147881195285245e-05
all_union,-5.694743692306048e-05
kitchen_and_bath,-4.0997865787284483e-05
audiologist,-3.682615366416009e-05
podiatrist,-3.369354908979716e-05
psychic,-2.9382900700869463e-05
lodge,-2.8964494711791744e-05
all_shelter,-2.1088046004091866e-06
all_total_area,-2.504613183518245e-09
office_total_area,-2.8450974909333127e-11
retail_total_area,-2.9106272947387877e-12
residential_avg_building_area,-1.9881873924987303e-12
population_494,0.0
population_673,0.0
population_672,0.0
population_669,0.0
population_668,0.0
population_654,0.0
population_657,0.0
population_655,0.0
pet_sitting,0.0
population_652,0.0
population_651,0.0
population_650,0.0
population_662,0.0
population_675,0.0
population_690,0.0
population_686,0.0
population_800,0.0
makeup_artist,0.0
population_794,0.0
population_780,0.0
population_761,0.0
population_760,0.0
nature_reserve,0.0
population_759,0.0
notary_public,0.0
population_756,0.0
nutritionist,0.0
population_749,0.0
population_742,0.0
population_712,0.0
population_700,0.0
population_649,0.0
osteopath,0.0
population_678,0.0
population_648,0.0
public_plaza,0.0
population_642,0.0
population_538,0.0
population_537,0.0
population_527,0.0
population_520,0.0
population_000,0.0
population_064,0.0
population_163,0.0
population_374,0.0
population_519,0.0
population_412,0.0
population_415,0.0
population_426,0.0
population_479,0.0
population_481,0.0
population_511,0.0
population_508,0.0
population_485,0.0
population_486,0.0
population_493,0.0
population_541,0.0
population_543,0.0
population_544,0.0
population_551,0.0
population_641,0.0
population_638,0.0
population_637,0.0
population_635,0.0
population_632,0.0
population_629,0.0
population_628,0.0
population_623,0.0
population_613,0.0
population_499,0.0
population_610,0.0
population_603,0.0
population_600,0.0
population_594,0.0
population_583,0.0
population_581,0.0
population_580,0.0
population_578,0.0
used_vintage_and_consignment,0.0
population_559,0.0
population_607,0.0
population_540,0.0
population_889,0.0
hair_replacement,0.0
all_institute,0.0
population_881,0.0
housing_cooperative,0.0
dog_walkers,0.0
firework_retailer,0.0
embassy,0.0
all_team,0.0
all_coach,0.0
commercial_avg_building_area,2.55351295663786e-13
commercial_total_area,1.3180123659140009e-12
office_avg_building_area,1.7786216943704857e-12
all_avg_building_area,2.3795188042186054e-12
retail_avg_building_area,2.742361893126599e-12
residential_total_area,2.4041075796787937e-10
topic_publisher,3.56150223979057e-08
