feature,mean_importance
all_stores,-0.7758403288869664
public_relations,-0.6957986106525402
all_facility,-0.5766690951149036
all_house,-0.518060426979347
all_development,-0.4665017574801448
bowling_alley,-0.3173689102932439
donuts,-0.2788718026829269
all_hall,-0.27741293685122004
all_rental,-0.2737164811100804
home_developer,-0.2652732621310495
all_stadium,-0.2634944143844873
swimming_instructor,-0.23710419498439067
automotive,-0.22556382287856777
hearing_aids,-0.21444069835874924
all_service,-0.19892278801061725
electrician,-0.1826578780872296
psychologist,-0.17943278880818597
trusts,-0.17212875893221788
all_tours,-0.14949746836590574
all_station,-0.1413811687225648
all_rentals,-0.13305014986155433
all_dealer,-0.13261789893717016
all_accessories,-0.12985093095080077
pet_boarding,-0.1278954257429689
steakhouse,-0.12746025859915697
all_store,-0.12558475933705945
all_agencies,-0.11874852333761439
all_surgeon,-0.11334809780243785
population_616,-0.11125732034423433
acupuncture,-0.11119975589055305
private_investigation,-0.10271389687448149
security_systems,-0.0970808543841036
all_businesses,-0.09055100120926571
residential_lsoa_area_ratio,-0.08603575888912526
window_washing,-0.08547164147430202
all_trainer,-0.07977189939273366
all_contractors,-0.07913541698268708
gardener,-0.07796219932974661
b2b_science_and_technology,-0.0744168232630276
all_manufacturer,-0.07364780322782369
computer_coaching,-0.07187939816049482
screen_printing_t_shirt_printing,-0.07070130702424979
furniture_wholesalers,-0.06990923334008947
food,-0.06384023611528651
general_festivals,-0.06161006468454637
occupational_safety,-0.06112521088976628
all_manufacturers,-0.0609915993832276
lawyer,-0.05856111831998465
population_680,-0.05754895582609017
caterer,-0.05565302259884604
all_shelter,-0.05495191855716097
all_metals,-0.05480393096550227
all_organization,-0.053768837692313554
all_room,-0.05193376576555693
veterinarian,-0.04907410904656562
all_wholesaler,-0.04902240219923417
all_pub,-0.04834793634135774
radio_and_television_commercials,-0.04780020876015918
funeral_services_and_cemeteries,-0.04476026277655372
railroad_freight,-0.04350961298092386
naturopathic_holistic,-0.04328634727354554
all_law,-0.04159501589953294
all_services,-0.039568757049670646
escape_rooms,-0.039421141825116024
pet_groomer,-0.03933159084626823
orthodontist,-0.038509352749696114
vitamins_and_supplements,-0.03575295703003576
eat_and_drink,-0.0357174406166747
all_business,-0.03570320704684793
painting,-0.03442450797990002
all_repair,-0.03305674200342033
all_association,-0.033023577085609365
swimming_pool,-0.03277070868506744
all_spa,-0.03216898026336636
psychotherapist,-0.03208455912489452
all_garden,-0.03146504132528154
kiosk,-0.030800895929696637
all_installation,-0.03000603547387577
population_620,-0.029077357050011087
structure_and_geography,-0.028582531007195832
population_452,-0.026570427780220028
accountant,-0.02617520559936093
all_venue,-0.02525145102136701
population_571,-0.024775466979565054
population_564,-0.023719739705631147
all_union,-0.022945781975434797
num_buildings,-0.022761207228840695
cinema,-0.021534514684062957
theatre,-0.0213314001148186
telecommunications,-0.021006765634905732
desserts,-0.02075790371620485
attractions_and_activities,-0.020513310024087517
sports_club_and_league,-0.02024135405853702
all_organizations,-0.019926754617193863
art_gallery,-0.019850736118622335
population_633,-0.019764855870358387
all_center,-0.01931730530854825
warehouses,-0.018677022722782866
auto_customization,-0.016949899025751235
population_631,-0.015030285047486025
travel,-0.014321039426821258
interior_design,-0.014229449287929264
population_822,-0.014016471392434938
shopping,-0.013912569550594434
population_645,-0.013736902030022157
mosque,-0.011901104648612382
population_674,-0.01129110417115573
monument,-0.009940388106273268
population_606,-0.009718089732188595
all_transportation,-0.009367640981309933
linen,-0.009260152420703526
optometrist,-0.00884910219913202
all_supplier,-0.008784585129196642
population_747,-0.008679810953757538
resort,-0.008200104162472499
business_advertising,-0.007664248693021669
chocolatier,-0.0071076690569178425
population_439,-0.0068304691852453915
casino,-0.006575406358838976
all_architect,-0.006218138146932261
office_lsoa_area_ratio,-0.005686422912866007
all_engineers,-0.005673002360075152
kids_recreation_and_party,-0.0053634599834737175
beach,-0.005231198088948119
builders,-0.005082415831267895
plasterer,-0.005054061249760799
all_counseling,-0.004647988761070465
population_615,-0.004608803446394738
