feature,shap_importance
accountant,0.18607764
retail_total_area,0.05462528
retail_lsoa_area_ratio,0.042839836
num_buildings,0.036097497
num_places,0.023604114
all_agencies,0.021827552
residential_avg_building_area,0.014043392
all_avg_building_area,0.0132449595
residential_total_area,0.012740572
all_restaurant,0.010765356
all_services,0.00997698
all_estate,0.0075376467
office_avg_building_area,0.0072491476
retail_avg_building_area,0.0070314407
all_law,0.006187955
all_company,0.005087056
office_lsoa_area_ratio,0.005060182
all_total_area,0.0049143834
all_store,0.004890783
all_department,0.0044732965
all_lsoa_area_ratio,0.003998645
population_620,0.003953763
retail,0.003809094
all_service,0.0024509118
hotel,0.0023285986
all_church,0.0023081086
travel,0.0015974913
all_agency,0.0015842711
shopping,0.0015712179
plumbing,0.0013932969
all_remodeling,0.0013382783
all_pub,0.0012828638
sewing_and_alterations,0.0012463842
office_total_area,0.0011819714
residential_lsoa_area_ratio,0.0010908997
diner,0.001043626
all_repair,0.0009160365
all_dentist,0.0007726642
all_shop,0.0007683045
all_center,0.000739959
commercial_lsoa_area_ratio,0.0006327492
junk_removal_and_hauling,0.0006325543
auto_detailing,0.0006279886
bakery,0.00062538055
church_cathedral,0.00058778696
spas,0.0005584831
all_surgeon,0.0005063614
all_spa,0.00042430588
all_office,0.00041842437
counseling_and_mental_health,0.00040580516
all_building,0.0003723701
caterer,0.00037189657
all_preschool,0.00036416244
all_businesses,0.0003607135
all_mill,0.000350121
all_hospital,0.0003419242
all_designer,0.00033832344
brewery,0.00033007975
all_broker,0.00031388455
kids_recreation_and_party,0.00030992005
all_park,0.0003097836
warehouses,0.000306495
all_school,0.00026801138
podiatrist,0.00026612915
all_therapy,0.00025227715
population_481,0.00025078873
fruits_and_vegetables,0.00023239206
all_institute,0.00022790126
supermarket,0.00022103026
all_contractor,0.00021683126
population_881,0.00021422358
all_organization,0.00020160721
all_manufacturers,0.00019270848
all_equipment,0.00019188007
all_photography,0.00018963468
all_temple,0.00018215163
psychotherapist,0.00017582651
barber,0.00017266712
naturopathic_holistic,0.00016398523
all_station,0.00016226257
community_services_non_profits,0.00015324134
population_749,0.00014007621
arts_and_crafts,0.00013588186
eyewear_and_optician,0.00013300755
all_planning,0.00012759262
all_dealer,0.00012077947
all_studio,0.000102233884
swimming_pool,9.79911e-05
lawyer,9.019103e-05
all_venue,8.383386e-05
mosque,8.198989e-05
all_salon,8.024907e-05
business_advertising,6.4725886e-05
general_dentistry,4.6436246e-05
active_life,3.935388e-05
population_583,3.7189508e-05
beach,3.5040845e-05
pharmacy,3.5011395e-05
real_estate_agent,3.13413e-05
all_entertainment,4.2700603e-06
sign_making,0.0
trusts,0.0
university_housing,0.0
resort,0.0
used_vintage_and_consignment,0.0
veterinarian,0.0
psychologist,0.0
real_estate_investment,0.0
videographer,0.0
vitamins_and_supplements,0.0
population_415,0.0
painting,0.0
public_plaza,0.0
public_relations,0.0
railroad_freight,0.0
outdoor_gear,0.0
public_service_and_government,0.0
window_washing,0.0
osteopathic_physician,0.0
population_000,0.0
osteopath,0.0
population_064,0.0
radio_and_television_commercials,0.0
population_163,0.0
population_374,0.0
population_412,0.0
parking,0.0
psychic_medium,0.0
all_piercing,0.0
travel_agents,0.0
plasterer,0.0
specialty_foods,0.0
all_space,0.0
sports_club_and_league,0.0
stadium_arena,0.0
steakhouse,0.0
shades_and_blinds,0.0
steel_fabricators,0.0
structure_and_geography,0.0
pet_sitting,0.0
pool_billiards,0.0
race_track,0.0
security_systems,0.0
screen_printing_t_shirt_printing,0.0
superstore,0.0
pet_boarding,0.0
swimming_instructor,0.0
roofing,0.0
river,0.0
private_investigation,0.0
psychic,0.0
telecommunications,0.0
theatre,0.0
topic_publisher,0.0
performing_arts,0.0
pet_groomer,0.0
population_559,0.0
population_426,0.0
population_632,0.0
population_668,0.0
population_662,0.0
population_659,0.0
population_658,0.0
population_657,0.0
population_655,0.0
population_654,0.0
population_652,0.0
population_651,0.0
population_650,0.0
population_649,0.0
population_648,0.0
population_645,0.0
population_642,0.0
population_641,0.0
population_638,0.0
population_637,0.0
population_635,0.0
population_634,0.0
population_669,0.0
population_672,0.0
population_673,0.0
population_747,0.0
population_822,0.0
population_800,0.0
population_794,0.0
population_780,0.0
population_761,0.0
population_760,0.0
population_759,0.0
population_756,0.0
population_742,0.0
population_674,0.0
population_720,0.0
population_712,0.0
population_700,0.0
population_690,0.0
population_686,0.0
population_680,0.0
population_678,0.0
population_675,0.0
population_633,0.0
population_631,0.0
population_439,0.0
population_629,0.0
population_544,0.0
population_543,0.0
population_541,0.0
population_540,0.0
population_538,0.0
population_537,0.0
population_527,0.0
population_522,0.0
population_520,0.0
population_519,0.0
population_511,0.0
population_508,0.0
population_499,0.0
population_494,0.0
population_493,0.0
population_486,0.0
population_485,0.0
population_479,0.0
population_452,0.0
population_551,0.0
optometrist,0.0
population_564,0.0
population_607,0.0
population_628,0.0
population_626,0.0
population_624,0.0
population_623,0.0
population_616,0.0
population_615,0.0
population_613,0.0
population_610,0.0
population_606,0.0
population_571,0.0
population_603,0.0
population_600,0.0
population_599,0.0
population_594,0.0
population_581,0.0
population_580,0.0
population_578,0.0
population_576,0.0
orthodontist,0.0
housing_cooperative,0.0
occupational_safety,0.0
all_cafe,0.0
all_management,0.0
all_supply,0.0
business_consulting,0.0
all_business,0.0
all_tours,0.0
builders,0.0
bubble_tea,0.0
all_production,0.0
bridge,0.0
all_class,0.0
bowling_alley,0.0
boutique,0.0
bookstore,0.0
books_mags_music_and_video,0.0
all_distribution,0.0
all_training,0.0
all_hall,0.0
all_transportation,0.0
cafetaria,0.0
courthouse,0.0
canal,0.0
computer_coaching,0.0
commercial_industrial,0.0
college_university,0.0
all_supplies,0.0
all_engineers,0.0
cinema,0.0
chocolatier,0.0
chiropractor,0.0
all_club,0.0
all_care,0.0
chemical_plant,0.0
casino,0.0
all_cleaning,0.0
carpenter,0.0
all_counseling,0.0
car_window_tinting,0.0
all_installation,0.0
all_garden,0.0
bed_and_breakfast,0.0
all_rentals,0.0
all_stores,0.0
art_gallery,0.0
armed_forces_branch,0.0
all_architect,0.0
arcade,0.0
all_manufacturer,0.0
all_apartments,0.0
all_shelter,0.0
all_team,0.0
all_supplier,0.0
all_medicine,0.0
all_lounge,0.0
airport,0.0
all_education,0.0
acupuncture,0.0
accommodation,0.0
commercial_total_area,0.0
commercial_avg_building_area,0.0
all_museum,0.0
all_restoration,0.0
all_facility,0.0
automotive,0.0
all_bar,0.0
all_union,0.0
