feature,mean_importance
population_624,-0.08124828115425249
all_clinic,-0.04480677264849438
health_and_medical,-0.041844453718265305
all_school,-0.032844209426800976
all_therapy,-0.032257052523699106
gym,-0.026871533156605888
mortgage_lender,-0.02622869559815073
all_garden,-0.024092808526140798
all_company,-0.019151028898393863
hotel,-0.019009549813153725
all_preschool,-0.017820143181326076
public_service_and_government,-0.01641262450012282
all_organizations,-0.01585664615362443
doctor,-0.014376322106713557
b2b_science_and_technology,-0.014277595535082455
all_development,-0.014269779075373102
landscaping,-0.014134323611638378
all_union,-0.013981622196987153
naturopathic_holistic,-0.013801444462937384
shades_and_blinds,-0.013786328815694216
business_consulting,-0.013786198740400435
videographer,-0.013634503124702047
sports_club_and_league,-0.013585760832487814
all_dealer,-0.013310570192224258
all_organization,-0.01324019848309117
all_care,-0.01239474999477932
optometrist,-0.012078796057178699
atms,-0.010818156280714763
psychologist,-0.010444701476694051
all_office,-0.010229668112086232
bowling_alley,-0.010178872467026335
all_distribution,-0.00933038628442473
all_center,-0.008350124010898918
carpenter,-0.008001843809736764
all_home,-0.007861238919091029
casino,-0.007812336870255976
all_contractor,-0.0074622492199725166
occupational_safety,-0.007375702543458739
all_class,-0.007364160589180857
num_places,-0.006974400680331882
spas,-0.006858611922440483
all_architect,-0.006750715164009291
all_shop,-0.006586291093498486
swimming_instructor,-0.0061002322432653685
all_surgeon,-0.006072024432664103
all_medicine,-0.005715938923415198
all_dentist,-0.00569533835870244
retail,-0.0054233187949561225
electrician,-0.005079332507612433
all_church,-0.004651260493630094
all_supply,-0.004268404766965039
all_counseling,-0.004187244214293351
commercial_industrial,-0.00416380974186743
all_rentals,-0.0040287821685919935
investing,-0.004011586112832077
all_transportation,-0.003806071188371529
food,-0.0035836962639344437
plumbing,-0.0032051846603768476
orthodontist,-0.0028302536371574314
travel,-0.0025853525119181155
theatre,-0.0024143579632199597
all_store,-0.0021306333463419593
sewing_and_alterations,-0.002051136879392601
all_equipment,-0.0019236819462196575
population_571,-0.0016896753733730118
all_wear,-0.001678354944501015
accommodation,-0.0014847648750167864
all_studio,-0.0014724683261693183
all_provider,-0.0014005278501983743
cinema,-0.0012849908252320131
population_645,-0.0012779488298611864
attractions_and_activities,-0.0012622803533742122
painting,-0.0012147093090688176
population_633,-0.0011352999542052268
all_salon,-0.0011030015554931883
all_lsoa_area_ratio,-0.0010677660847642656
eat_and_drink,-0.0009441745558464553
junk_removal_and_hauling,-0.0009284923415547209
stadium_arena,-0.0006852015361951125
all_education,-0.0006669101351658657
all_rental,-0.0006656768312698347
veterinarian,-0.0006610947332434502
sign_making,-0.0006443760626022588
art_gallery,-0.0005957434428145447
population_576,-0.0005445774603651365
population_452,-0.0005109550481393832
population_522,-0.000497070975734637
eyewear_and_optician,-0.0004843820746707639
all_hall,-0.00046825953265168253
population_747,-0.0004561349054695185
all_remodeling,-0.0004321394097773101
all_installation,-0.00042814393525469896
all_broker,-0.00041500336198510015
pet_boarding,-0.0004053449812184695
all_production,-0.00038638279514273676
acupuncture,-0.00037622964438570604
all_shelter,-0.0003548180872649187
movers,-0.00034791045608222325
all_goods,-0.00032979678945541655
population_680,-0.0003064662404146379
arts_and_crafts,-0.0002896333113590721
diner,-0.00023091890608863963
all_house,-0.00021407514802858075
b2b_machinery_and_tools,-0.00019834303817365396
all_manufacturers,-0.00018066139020320727
donuts,-0.00017572172409967556
all_photography,-0.00013239433914282727
hostel,-0.00012669034015710956
window_washing,-0.00012202913420971129
linen,-0.0001178569631760773
race_track,-0.00011558657233576853
auto_customization,-0.00011378261542205337
builders,-0.00011069235061200722
housing_authorities,-0.0001061582226346669
plasterer,-9.171062437487442e-05
home_decor,-8.473153675878642e-05
bookstore,-8.45697977624571e-05
business_advertising,-7.033599601129481e-05
all_businesses,-6.187804262061113e-05
gardener,-6.0763467432023434e-05
lodge,-5.803475626366961e-05
river,-5.363487493803554e-05
all_restoration,-5.241356297895905e-05
bed_and_breakfast,-4.890788310376593e-05
all_companies,-4.805234275901959e-05
delicatessen,-4.7186006434163374e-05
furniture_assembly,-4.437182222005731e-05
cafetaria,-4.178185130685463e-05
private_investigation,-4.15770462531384e-05
travel_agents,-4.040800215752149e-05
pool_billiards,-3.923254426818623e-05
security_systems,-3.6270556874562485e-05
chiropractor,-3.1113429813744985e-05
outdoor_gear,-3.0245540953588445e-05
furniture_wholesalers,-2.2498203156295914e-05
nurse_practitioner,-2.2445823468375536e-05
emissions_inspection,-1.9143602619431376e-05
audiologist,-1.4669404349554327e-05
home_developer,-1.2789951542080402e-05
all_insurance,-1.9575151006812064e-06
kitchen_and_bath,-1.7737729246292132e-06
laundromat,-1.245754699930046e-06
topic_publisher,-5.701368964050601e-07
commercial_lsoa_area_ratio,-5.741277093740394e-08
all_total_area,-2.8272803787032784e-08
residential_total_area,-1.1641958952424148e-09
retail_avg_building_area,-3.081050969910848e-11
office_total_area,-1.3518519637045756e-12
commercial_avg_building_area,-1.3003376153619683e-12
population_581,0.0
population_712,0.0
population_583,0.0
population_700,0.0
population_541,0.0
population_610,0.0
population_686,0.0
public_plaza,0.0
population_678,0.0
population_675,0.0
population_673,0.0
population_540,0.0
population_538,0.0
population_690,0.0
population_594,0.0
population_756,0.0
population_742,0.0
