feature,mean_importance
all_facility,-18.39315906806281
private_investigation,-13.134391855310247
all_house,-10.501994732583245
b2b_textiles,-9.253011563420307
automotive,-7.951971001386061
all_development,-7.76856676645753
public_relations,-6.949911136920963
all_rental,-6.787964438501712
escape_rooms,-6.691318979953979
all_museum,-6.03999443110821
outdoor_gear,-6.0029675193298715
psychologist,-5.867508263566935
food_stand,-5.364277493184909
gardener,-5.289503891172376
art_gallery,-5.205114110631973
electrician,-4.516579486404202
delicatessen,-4.456641312700526
all_business,-4.2269114070621585
all_station,-4.189576976829312
computer_coaching,-4.1767369287414855
all_stores,-4.095800470493498
all_estate,-3.9383283839050423
theatre,-3.804007236411502
radio_and_television_commercials,-3.7256311909428916
all_venue,-3.6862043156159077
security_systems,-3.4830645022614988
all_lounge,-3.3400872787232174
b2b_science_and_technology,-3.338770950998145
all_room,-3.216884664385469
all_rentals,-3.128797513583197
all_restaurant,-3.0702914070705902
all_club,-3.0272321857110116
all_park,-2.9240524422210172
population_452,-2.7783089718786753
all_organizations,-2.7448311884140195
all_garden,-2.56905745843211
num_buildings,-2.551960425174866
all_shelter,-2.4926155437628497
shades_and_blinds,-2.3806035503014242
resort,-2.245842312195839
all_stadium,-2.1662180745233512
all_temple,-2.0969557232863396
beach,-2.084483557451995
all_pub,-1.923719272475381
donuts,-1.9060717026648148
bowling_alley,-1.8117515418729453
arts_and_crafts,-1.8086911693559045
all_office,-1.7854613861350686
furniture_assembly,-1.7157606187964518
all_contractors,-1.6945162876132713
all_architect,-1.6703507588184663
courthouse,-1.5875615809112957
accountant,-1.5118780612076592
canal,-1.5113551986170761
steakhouse,-1.5032472978529028
all_repair,-1.4801319819797185
swimming_instructor,-1.4679666667461049
pharmacy,-1.445856679110244
all_counseling,-1.4008579573825386
casino,-1.391988601259095
all_goods,-1.3888797478657637
all_lsoa_area_ratio,-1.3578580599422252
all_hall,-1.2603236673495588
all_media,-1.224146546183664
laundromat,-1.1723617426230817
car_window_tinting,-1.1175716575229273
population_624,-1.1102118723962178
brewery,-1.1032691100827434
metal_fabricator,-1.0891755473204285
population_576,-1.0427100220758405
home_decor,-1.023145328283789
all_agencies,-0.9556963063373587
fashion,-0.8538258064487195
pet_groomer,-0.851983134698213
all_class,-0.8480493449583207
all_gardening,-0.846012009459065
acupuncture,-0.841301568405612
all_apartments,-0.7970479731757962
active_life,-0.7495216890914435
performing_arts,-0.7445388630236494
all_designer,-0.7275445836315668
population_606,-0.7205497827874467
interior_design,-0.6424393096097163
all_transportation,-0.6333329634427229
all_association,-0.5972627765453182
auto_manufacturers_and_distributors,-0.5884153466830128
population_658,-0.5853696457727267
sports_club_and_league,-0.5662318974384164
land_surveying,-0.5617561577025469
all_planning,-0.5528277968200769
all_union,-0.5253838028877056
population_615,-0.47879075506493224
bakery,-0.4279695159690505
currency_exchange,-0.39156134747807414
library,-0.3887972153826638
cinema,-0.36596747293720566
all_dentist,-0.3569213767744827
desserts,-0.33649598278722126
fountain,-0.3081575042493455
all_spa,-0.3035433222204972
all_tours,-0.3009262142545026
all_restoration,-0.2910261570157274
kitchen_and_bath,-0.2894703798793444
population_571,-0.28547551361164664
population_631,-0.278326054998513
population_634,-0.27588524710939166
masonry_concrete,-0.27269418950286306
chiropractor,-0.26845402593262974
mosque,-0.2577428944910764
psychic,-0.254989303347935
travel,-0.2433906354369128
all_manufacturers,-0.23464588046916787
all_service,-0.221565676839856
osteopathic_physician,-0.21622956098764803
population_645,-0.21619635498066714
linen,-0.2157807185968636
veterinarian,-0.20954261027220583
family_practice,-0.20668666218664383
barber,-0.20654322567604594
business_advertising,-0.1883638954416142
housing_authorities,-0.17975522424984547
all_care,-0.1587519292746947
residential_lsoa_area_ratio,-0.15186775473399053
all_supplies,-0.15148755022308932
all_therapy,-0.14823837372853746
all_removal,-0.14320168816622073
sewing_and_alterations,-0.13475002636452588
all_trainer,-0.12597162018983
hair_stylist,-0.11899436609992335
specialty_foods,-0.10932503665152922
auto_customization,-0.09492934691367054
bookstore,-0.0932582947067658
psychotherapist,-0.09024960959910686
hearing_aids,-0.07238338983374888
all_manufacturer,-0.07165751140723273
attractions_and_activities,-0.06389663847864427
carpenter,-0.05826840619797622
chemical_plant,-0.0453960762342092
general_festivals,-0.03908438400358705
steel_fabricators,-0.03507162876600774
population_659,-0.03503435981477878
commercial_lsoa_area_ratio,-0.02956017484073641
office_lsoa_area_ratio,-0.029472006286692932
all_education,-0.02767389348268239
hostel,-0.02618452788919967
podiatrist,-0.015608417605636759
population_633,-0.005352749857621575
population_620,-0.005202327022919917
all_metals,-0.0029349734925176564
all_total_area,-5.843400629146345e-07
residential_total_area,-2.9755909736195463e-08
office_total_area,-2.9861610073567134e-09
commercial_total_area,-2.3213715394376778e-10
commercial_avg_building_area,-1.5241994333337062e-10
office_avg_building_area,-1.4483134691545275e-10
topic_publisher,-3.979039320256561e-14
population_520,0.0
population_581,0.0
population_583,0.0
population_479,0.0
makeup_artist,0.0
population_594,0.0
population_600,0.0
population_603,0.0
population_426,0.0
population_415,0.0
population_412,0.0
population_607,0.0
population_374,0.0
population_610,0.0
population_163,0.0
population_613,0.0
population_064,0.0
population_000,0.0
housing_cooperative,0.0
population_881,0.0
population_481,0.0
population_519,0.0
population_580,0.0
population_486,0.0
population_527,0.0
pet_sitting,0.0
all_team,0.0
population_537,0.0
population_511,0.0
population_538,0.0
population_508,0.0
population_540,0.0
population_541,0.0
nutritionist,0.0
population_499,0.0
population_543,0.0
notary_public,0.0
population_544,0.0
population_551,0.0
nature_reserve,0.0
public_plaza,0.0
population_559,0.0
population_494,0.0
population_493,0.0
population_578,0.0
population_485,0.0
osteopath,0.0
population_889,0.0
used_vintage_and_consignment,0.0
population_761,0.0
population_686,0.0
population_650,0.0
population_651,0.0
population_652,0.0
population_654,0.0
population_655,0.0
population_657,0.0
population_760,0.0
population_759,0.0
population_756,0.0
population_749,0.0
population_648,0.0
embassy,0.0
population_742,0.0
population_623,0.0
all_institute,0.0
population_668,0.0
population_669,0.0
population_672,0.0
dog_walkers,0.0
population_712,0.0
population_700,0.0
population_690,0.0
population_673,0.0
population_675,0.0
population_662,0.0
firework_retailer,0.0
population_649,0.0
population_678,0.0
population_628,0.0
all_coach,0.0
population_642,0.0
hair_replacement,0.0
population_800,0.0
population_641,0.0
population_638,0.0
population_629,0.0
population_637,0.0
population_635,0.0
population_780,0.0
population_794,0.0
population_632,0.0
residential_avg_building_area,2.1657342585967854e-12
retail_avg_building_area,4.871480996371247e-12
all_avg_building_area,1.0459189070388675e-11
retail_total_area,7.490257303288672e-11
population_674,0.00035711039366219665
lake,0.0009782472816084464
population_522,0.0020797527792012715
vitamins_and_supplements,0.00226849153810349
all_remodeling,0.005844629192375805
armed_forces_branch,0.011236596329894155
kiosk,0.01424607687581556
key_and_locksmith,0.019814693519873573
all_cleaning,0.020141485869442022
retail_lsoa_area_ratio,0.027402699351716818
all_companies,0.03178468236859544
all_installation,0.04220781956441329
population_599,0.04663336134385645
funeral_services_and_cemeteries,0.05701179588192531
structure_and_geography,0.061250896114671605
diner,0.06422826339807557
airport,0.07203891249495768
all_services,0.08127028656147672
shopping,0.09517940736529909
population_720,0.10240527746204861
bed_and_breakfast,0.10313895916819434
population_626,0.10447147308456124
optometrist,0.1073500255525687
painting,0.11787062989348555
all_distribution,0.12955257384911079
swimming_pool,0.14594484732057822
all_center,0.18618677747977586
stadium_arena,0.1939856472414533
landscaping,0.19770654229162118
all_church,0.20883497656479905
all_studio,0.2167411682449881
all_shop,0.22037584323937268
plasterer,0.2348578928651989
all_course,0.23588526846128843
real_estate_agent,0.24486225452349117
num_places,0.24856412588843568
all_training,0.25021910572560274
all_preschool,0.26268087057922573
all_provider,0.27248089122322766
auto_detailing,0.28016697778736555
gym,0.3006714939680194
doctor,0.354811643367151
all_hospital,0.3785959291138738
travel_agents,0.39237759000698136
monument,0.40087372917536185
accommodation,0.4094039281939558
population_439,0.4547890602568884
all_department,0.45517637333951483
health_and_medical,0.46755241034857137
college_university,0.5065744850670058
river,0.5099658556162296
boutique,0.5354768842053375
all_wear,0.5396511388211309
pet_boarding,0.5492232042952594
all_clinic,0.5502041300066083
all_organization,0.5561923587666513
public_service_and_government,0.5760391277682061
occupational_safety,0.5979742313839665
all_photography,0.6479531932971667
supermarket,0.6624875371799022
atms,0.7050831594140504
all_supplier,0.7210323751280043
plumbing,0.7245101368194128
community_services_non_profits,0.742909801622892
all_mill,0.7533120055683753
audiologist,0.7633500170408013
church_cathedral,0.7726931908566883
food,0.775072426474918
telecommunications,0.8070586326472323
bubble_tea,0.8295306317845871
all_company,0.8447778255906769
massage,0.8475297979353684
mortgage_lender,0.939661930267863
university_housing,0.9844291484215433
all_insurance,0.9952590203320881
motor_freight_trucking,1.0066804999560077
all_broker,1.0072241924369962
eat_and_drink,1.060845903739579
all_surgeon,1.0782084898364872
movers,1.107433364357331
sign_making,1.1203078844787342
population_822,1.1207603105032775
population_564,1.2324915986969303
lodge,1.255587890254685
lawyer,1.2795193934874702
builders,1.2904223011806493
general_dentistry,1.3052301602574345
business_consulting,1.352988190699375
all_salon,1.3702896343763258
trusts,1.4086995005253584
all_accessories,1.4226098200979096
all_law,1.4764664129431821
naturopathic_holistic,1.4822830695693257
spas,1.4959451774953947
emissions_inspection,1.5630111998754104
caterer,1.5952177571277844
financial_advising,1.6126635996308323
superstore,1.7483401391503377
screen_printing_t_shirt_printing,1.791648391354198
all_medicine,1.8100134920174014
florist,1.826577132178801
all_equipment,1.8426867602952028
counseling_and_mental_health,1.894112005569042
population_747,1.8958195417517687
electronics,1.9334011190068907
all_businesses,1.933594894477625
population_680,1.9350022097920543
orthodontist,1.9419254067311555
videographer,1.943395136538038
psychic_medium,1.9824386589710172
race_track,2.0442271435049406
railroad_freight,2.0887073028516396
b2b_machinery_and_tools,2.139779995218288
furniture_wholesalers,2.164068693052235
all_home,2.2370470591738068
population_616,2.283952337443344
warehouses,2.3575655284891184
roofing,2.374336192864945
all_engineers,2.4200173210832077
all_school,2.532525782642267
all_building,2.5859026280953232
commercial_industrial,2.586143330159905
all_entertainment,2.6575365826649717
all_consultant,2.765279186496599
window_washing,2.913213280386498
junk_removal_and_hauling,2.9702656383239114
fair,3.2800304456671086
bridge,3.3537551058470627
all_testing,3.4581131943129093
investing,3.589059192586569
kids_recreation_and_party,3.8761963428977824
books_mags_music_and_video,3.9572845964951453
all_supply,4.350850641568371
eyewear_and_optician,4.402655714269383
home_developer,4.514887474518673
all_wholesaler,4.683716856536046
all_piercing,4.744842488538723
all_agency,4.770900192790168
all_production,5.22506593491575
all_store,5.325863201422226
arcade,5.325959923644189
home_security,5.402127963608512
all_contractor,5.728363740496514
all_space,5.740145529332272
all_cafe,6.129740603368367
all_clothing,6.513216035388757
chocolatier,6.650015438041459
all_market,7.653582123753205
cafetaria,8.770475596299383
pool_billiards,8.971789891343088
all_management,11.396120822878482
all_dealer,12.624753779048756
parking,14.649450010175945
fruits_and_vegetables,18.30493707206991
real_estate_investment,18.80829997550415
hotel,19.092969509237015
nurse_practitioner,19.78779118921674
all_bar,21.24484914631027
retail,21.64204907053601
dermatologist,27.923552527600595
