feature,mean_importance
all_store,-0.017375341832732004
all_lsoa_area_ratio,-0.006973792169452242
pet_groomer,-0.006472487384232994
caterer,-0.002691161280558596
all_planning,-0.00265874212861974
population_439,-0.0022815799000708847
books_mags_music_and_video,-0.0018708671160267087
retail_total_area,-0.0012489364438699967
all_remodeling,-0.0011719160883806202
all_hall,-0.0010983787802851808
hearing_aids,-0.0010696557927393658
pharmacy,-0.0010661056098892007
office_total_area,-0.0009823669354379395
chemical_plant,-0.0009242990943215013
supermarket,-0.0008956097979704536
all_salon,-0.0007973485975677486
commercial_lsoa_area_ratio,-0.0007885324349096168
accommodation,-0.000737871629987763
shopping,-0.00056653166686913
all_church,-0.0004901316438459036
psychic,-0.00045408788857695945
all_equipment,-0.00039726272711634316
theatre,-0.0003843233382091804
all_media,-0.00037781396600466977
builders,-0.00037107958191761047
all_companies,-0.0003352713393743989
hostel,-0.00031311436026769667
eyewear_and_optician,-0.0002358090162591253
electronics,-0.0002006519108174065
all_pub,-0.00018168723331560833
travel,-0.00016345820380303522
metal_fabricator,-0.00015260894839885797
all_architect,-0.0001387390982123593
business_advertising,-0.00010258600920752814
movers,-0.00010212424233206896
active_life,-9.72044842751929e-05
all_facility,-8.892359447687515e-05
all_distribution,-8.475357346445777e-05
all_therapy,-7.674292935522242e-05
stadium_arena,-6.979670263649319e-05
key_and_locksmith,-6.73705011749015e-05
river,-6.275226382917998e-05
all_center,-6.209285627650774e-05
all_broker,-5.528879079619298e-05
all_law,-4.36413734299812e-05
food,-3.8192113988144705e-05
b2b_science_and_technology,-3.677593124908896e-05
retail,-3.3603448870034305e-05
all_station,-3.0483592589469756e-05
plumbing,-2.6638623904640114e-05
chiropractor,-2.304370125687516e-05
diner,-1.18660417401939e-05
acupuncture,-6.227445920903296e-06
all_rentals,-5.182816099547072e-06
interior_design,-2.83260678921593e-06
all_space,0.0
sewing_and_alterations,0.0
videographer,0.0
security_systems,0.0
shades_and_blinds,0.0
sports_club_and_league,0.0
veterinarian,0.0
trusts,0.0
travel_agents,0.0
university_housing,0.0
topic_publisher,0.0
telecommunications,0.0
swimming_pool,0.0
swimming_instructor,0.0
warehouses,0.0
screen_printing_t_shirt_printing,0.0
structure_and_geography,0.0
steel_fabricators,0.0
steakhouse,0.0
used_vintage_and_consignment,0.0
specialty_foods,0.0
sign_making,0.0
vitamins_and_supplements,0.0
superstore,0.0
housing_authorities,0.0
psychotherapist,0.0
resort,0.0
optometrist,0.0
occupational_safety,0.0
nutritionist,0.0
nurse_practitioner,0.0
notary_public,0.0
all_association,0.0
naturopathic_holistic,0.0
nature_reserve,0.0
orthodontist,0.0
motor_freight_trucking,0.0
mortgage_lender,0.0
monument,0.0
all_metals,0.0
all_development,0.0
all_wear,0.0
massage,0.0
masonry_concrete,0.0
makeup_artist,0.0
mosque,0.0
roofing,0.0
osteopath,0.0
outdoor_gear,0.0
real_estate_investment,0.0
real_estate_agent,0.0
railroad_freight,0.0
radio_and_television_commercials,0.0
race_track,0.0
public_relations,0.0
public_plaza,0.0
psychologist,0.0
osteopathic_physician,0.0
psychic_medium,0.0
pool_billiards,0.0
podiatrist,0.0
plasterer,0.0
all_piercing,0.0
pet_sitting,0.0
pet_boarding,0.0
performing_arts,0.0
all_mill,0.0
private_investigation,0.0
window_washing,0.0
population_481,0.0
population_064,0.0
population_659,0.0
population_658,0.0
population_657,0.0
population_655,0.0
population_654,0.0
population_652,0.0
population_651,0.0
population_650,0.0
population_649,0.0
population_662,0.0
population_648,0.0
population_642,0.0
population_641,0.0
population_638,0.0
population_637,0.0
population_635,0.0
population_634,0.0
population_633,0.0
population_632,0.0
population_631,0.0
population_645,0.0
population_629,0.0
population_668,0.0
population_672,0.0
population_822,0.0
population_800,0.0
population_794,0.0
population_780,0.0
population_761,0.0
population_760,0.0
population_759,0.0
population_756,0.0
population_749,0.0
population_669,0.0
population_742,0.0
population_712,0.0
population_700,0.0
population_690,0.0
population_686,0.0
population_680,0.0
population_678,0.0
population_675,0.0
population_674,0.0
population_673,0.0
population_720,0.0
population_628,0.0
population_626,0.0
population_624,0.0
population_538,0.0
