feature,mean_importance
population_645,-0.04795003263663694
all_shelter,-0.02819958380159805
all_home,-0.013964706905795033
beach,-0.013080542461408707
population_633,-0.011781595114851018
key_and_locksmith,-0.009348229064415148
supermarket,-0.008180197220366493
currency_exchange,-0.007535544172556174
carpenter,-0.006682581006913923
all_contractor,-0.006240462405980441
travel_agents,-0.004342065909421345
specialty_foods,-0.004301003660256275
naturopathic_holistic,-0.004230696182648486
chiropractor,-0.003881979938041602
population_631,-0.003730453435476555
optometrist,-0.003569455153061685
residential_lsoa_area_ratio,-0.003549512567561819
armed_forces_branch,-0.003461660925778287
motor_freight_trucking,-0.0034278346692031337
landscaping,-0.003250210837757672
atms,-0.003104601127152229
population_634,-0.00295041520346957
kids_recreation_and_party,-0.0029462130903620486
population_747,-0.0028878828155983307
all_remodeling,-0.002618251635884028
b2b_textiles,-0.002349044359559782
builders,-0.0023277581496664148
retail,-0.0023242394280029942
boutique,-0.002086135057341787
all_lsoa_area_ratio,-0.0019854595804176256
accommodation,-0.0019792281358259833
business_advertising,-0.0019650783143950077
all_station,-0.00188021978179278
massage,-0.0018338489118674638
all_architect,-0.0018076350273084519
all_church,-0.0017772842570493053
delicatessen,-0.0017714756844309898
all_union,-0.0017602416276514266
general_dentistry,-0.0017543803714446637
all_class,-0.001641596761688091
plasterer,-0.0015511270762006203
eyewear_and_optician,-0.0015500579792763647
all_medicine,-0.0013914927134214493
all_hall,-0.00116873496479184
sign_making,-0.0010619660156648391
trusts,-0.0010314154626217542
all_contractors,-0.0009505180449282724
hearing_aids,-0.0009504916534653907
spas,-0.0009378065047126683
emissions_inspection,-0.0009302081396403538
housing_authorities,-0.000918574847940934
all_counseling,-0.0008993799126345347
eat_and_drink,-0.0008177684600654045
hair_stylist,-0.0008137694303353094
fashion,-0.0008016853218609343
hostel,-0.0007800463887065679
bed_and_breakfast,-0.0007614279490002485
food,-0.0007330162240617888
university_housing,-0.0006581916973713353
furniture_wholesalers,-0.0006506882468964914
all_supplies,-0.0006462093682247482
masonry_concrete,-0.0006076223899894595
b2b_science_and_technology,-0.0005660974667643703
psychic,-0.0005597178761707289
brewery,-0.0005327468033317073
theatre,-0.0005289216953695997
all_businesses,-0.000497298905774346
cafetaria,-0.0004864033255801203
railroad_freight,-0.00041488975965964237
florist,-0.0004139080486231128
population_606,-0.0003766914554337086
monument,-0.0003444913181261056
all_consultant,-0.0003277957439929757
pet_boarding,-0.00030194050824674525
public_relations,-0.0002821345682561427
orthodontist,-0.00024823176015398296
all_care,-0.00020914564016996095
all_stadium,-0.00020419934299735764
b2b_machinery_and_tools,-0.00017937111929855476
linen,-0.0001763506394498071
all_training,-0.00013814214585423646
general_festivals,-0.00013790714172086106
kiosk,-0.0001324588043102759
all_installation,-0.00011714246507410486
warehouses,-0.00011064040662143171
lodge,-7.734629975995056e-05
steel_fabricators,-5.980925885089583e-05
all_wear,-5.858647895069513e-05
population_620,-5.1676081723739387e-05
superstore,-4.552094119376626e-05
structure_and_geography,-4.206535880044715e-05
bowling_alley,-2.947741249319513e-05
office_lsoa_area_ratio,-2.5119142490059866e-05
population_564,-1.963121872430307e-05
resort,-1.6677958579314202e-05
all_companies,-2.5308879912921967e-06
topic_publisher,-1.0056493289223312e-06
all_total_area,-3.4626256750769356e-09
residential_total_area,-1.4108676449353653e-10
office_total_area,-4.271978326642056e-11
office_avg_building_area,-2.1006085759722735e-12
commercial_total_area,-1.055999732102464e-12
population_594,0.0
population_600,0.0
nature_reserve,0.0
notary_public,0.0
population_749,0.0
population_759,0.0
population_583,0.0
population_742,0.0
population_581,0.0
population_756,0.0
population_580,0.0
pet_sitting,0.0
nutritionist,0.0
osteopath,0.0
population_538,0.0
makeup_artist,0.0
population_638,0.0
hair_replacement,0.0
population_641,0.0
all_coach,0.0
population_632,0.0
population_800,0.0
population_642,0.0
population_629,0.0
population_628,0.0
population_794,0.0
population_623,0.0
population_881,0.0
housing_cooperative,0.0
population_780,0.0
population_761,0.0
population_613,0.0
population_760,0.0
population_610,0.0
population_607,0.0
population_603,0.0
public_plaza,0.0
population_712,0.0
population_578,0.0
population_481,0.0
population_485,0.0
population_486,0.0
population_668,0.0
population_493,0.0
population_494,0.0
population_662,0.0
population_657,0.0
population_499,0.0
population_479,0.0
population_508,0.0
population_519,0.0
population_543,0.0
population_655,0.0
population_654,0.0
population_520,0.0
population_527,0.0
population_537,0.0
population_541,0.0
population_652,0.0
population_511,0.0
population_426,0.0
population_651,0.0
population_415,0.0
population_540,0.0
population_700,0.0
population_690,0.0
population_686,0.0
population_649,0.0
population_678,0.0
population_675,0.0
population_673,0.0
population_559,0.0
population_672,0.0
population_551,0.0
used_vintage_and_consignment,0.0
population_635,0.0
population_000,0.0
population_064,0.0
population_669,0.0
population_544,0.0
population_163,0.0
population_650,0.0
population_374,0.0
population_412,0.0
population_648,0.0
population_637,0.0
population_889,0.0
dog_walkers,0.0
embassy,0.0
all_institute,0.0
all_team,0.0
firework_retailer,0.0
commercial_avg_building_area,1.0861977983722682e-12
residential_avg_building_area,1.2272183269601555e-12
retail_total_area,1.9665380435185398e-12
all_avg_building_area,2.0069501616148955e-12
retail_avg_building_area,3.765276979095233e-12
commercial_lsoa_area_ratio,1.039881367763673e-05
all_therapy,2.2266075137911125e-05
library,2.3224963957457767e-05
junk_removal_and_hauling,2.5707575631073176e-05
veterinarian,2.6644971379474745e-05
donuts,3.931235924679033e-05
college_university,5.1748091349201884e-05
all_spa,6.162461537542185e-05
sewing_and_alterations,7.311943529106913e-05
shades_and_blinds,0.00010295443269181526
all_house,0.00011732682858638377
