feature,mean_importance
caterer,-0.007116219161629367
counseling_and_mental_health,-0.0017019072162769988
num_buildings,-0.0007288198658307321
all_garden,0.0
bubble_tea,1.1102230246251566e-17
population_650,1.1102230246251566e-17
population_822,1.1102230246251566e-17
commercial_lsoa_area_ratio,1.1102230246251566e-17
cinema,1.1102230246251566e-17
performing_arts,1.1102230246251566e-17
armed_forces_branch,1.1102230246251566e-17
housing_cooperative,1.1102230246251566e-17
b2b_textiles,2.2204460492503132e-17
kiosk,2.2204460492503132e-17
all_gardening,2.2204460492503132e-17
all_home,2.2204460492503132e-17
hearing_aids,2.2204460492503132e-17
all_institute,2.2204460492503132e-17
food,2.2204460492503132e-17
florist,2.2204460492503132e-17
all_provider,2.2204460492503132e-17
college_university,2.2204460492503132e-17
casino,2.2204460492503132e-17
all_coach,2.2204460492503132e-17
landscaping,2.2204460492503132e-17
nature_reserve,2.2204460492503132e-17
all_metals,2.2204460492503132e-17
population_749,2.2204460492503132e-17
population_675,2.2204460492503132e-17
population_668,2.2204460492503132e-17
population_654,2.2204460492503132e-17
population_649,2.2204460492503132e-17
population_637,2.2204460492503132e-17
population_631,2.2204460492503132e-17
population_615,2.2204460492503132e-17
masonry_concrete,2.2204460492503132e-17
population_613,2.2204460492503132e-17
population_594,2.2204460492503132e-17
population_583,2.2204460492503132e-17
population_486,2.2204460492503132e-17
travel_agents,2.2204460492503132e-17
podiatrist,2.2204460492503132e-17
all_piercing,2.2204460492503132e-17
pet_boarding,2.2204460492503132e-17
all_mill,2.2204460492503132e-17
population_603,2.2204460492503132e-17
arts_and_crafts,2.2204460492503132e-17
population_889,2.2204460492503132e-17
all_manufacturer,2.2204460492503132e-17
all_education,2.2204460492503132e-17
all_team,2.2204460492503132e-17
all_studio,2.2204460492503132e-17
active_life,2.2204460492503132e-17
residential_avg_building_area,2.2204460492503132e-17
all_apartments,2.2204460492503132e-17
all_supplier,2.2204460492503132e-17
all_medicine,2.2204460492503132e-17
all_services,3.3306690738754695e-17
all_association,3.3306690738754695e-17
occupational_safety,3.3306690738754695e-17
osteopathic_physician,3.3306690738754695e-17
painting,3.3306690738754695e-17
plasterer,3.3306690738754695e-17
private_investigation,3.3306690738754695e-17
psychotherapist,3.3306690738754695e-17
screen_printing_t_shirt_printing,3.3306690738754695e-17
security_systems,3.3306690738754695e-17
sewing_and_alterations,3.3306690738754695e-17
all_space,3.3306690738754695e-17
sign_making,3.3306690738754695e-17
spas,3.3306690738754695e-17
specialty_foods,3.3306690738754695e-17
psychic,3.3306690738754695e-17
all_development,3.3306690738754695e-17
massage,3.3306690738754695e-17
all_therapy,3.3306690738754695e-17
diner,3.3306690738754695e-17
eyewear_and_optician,3.3306690738754695e-17
fair,3.3306690738754695e-17
all_market,3.3306690738754695e-17
fashion,3.3306690738754695e-17
furniture_assembly,3.3306690738754695e-17
general_festivals,3.3306690738754695e-17
all_removal,3.3306690738754695e-17
hair_stylist,3.3306690738754695e-17
health_and_medical,3.3306690738754695e-17
all_companies,3.3306690738754695e-17
home_developer,3.3306690738754695e-17
all_pub,3.3306690738754695e-17
kitchen_and_bath,3.3306690738754695e-17
land_surveying,3.3306690738754695e-17
library,3.3306690738754695e-17
lodge,3.3306690738754695e-17
makeup_artist,3.3306690738754695e-17
stadium_arena,3.3306690738754695e-17
all_museum,3.3306690738754695e-17
steakhouse,3.3306690738754695e-17
all_restoration,3.3306690738754695e-17
steel_fabricators,3.3306690738754695e-17
office_lsoa_area_ratio,3.3306690738754695e-17
office_avg_building_area,3.3306690738754695e-17
population_616,3.3306690738754695e-17
population_620,3.3306690738754695e-17
population_623,3.3306690738754695e-17
population_626,3.3306690738754695e-17
population_632,3.3306690738754695e-17
population_635,3.3306690738754695e-17
population_642,3.3306690738754695e-17
residential_lsoa_area_ratio,3.3306690738754695e-17
population_651,3.3306690738754695e-17
population_657,3.3306690738754695e-17
population_672,3.3306690738754695e-17
population_673,3.3306690738754695e-17
population_680,3.3306690738754695e-17
population_700,3.3306690738754695e-17
population_712,3.3306690738754695e-17
population_720,3.3306690738754695e-17
population_742,3.3306690738754695e-17
population_794,3.3306690738754695e-17
population_800,3.3306690738754695e-17
population_610,3.3306690738754695e-17
all_clinic,3.3306690738754695e-17
population_576,3.3306690738754695e-17
population_551,3.3306690738754695e-17
superstore,3.3306690738754695e-17
telecommunications,3.3306690738754695e-17
theatre,3.3306690738754695e-17
university_housing,3.3306690738754695e-17
used_vintage_and_consignment,3.3306690738754695e-17
vitamins_and_supplements,3.3306690738754695e-17
warehouses,3.3306690738754695e-17
window_washing,3.3306690738754695e-17
population_163,3.3306690738754695e-17
population_374,3.3306690738754695e-17
population_412,3.3306690738754695e-17
population_426,3.3306690738754695e-17
population_439,3.3306690738754695e-17
population_452,3.3306690738754695e-17
population_481,3.3306690738754695e-17
population_485,3.3306690738754695e-17
retail_total_area,3.3306690738754695e-17
population_494,3.3306690738754695e-17
population_519,3.3306690738754695e-17
population_537,3.3306690738754695e-17
population_541,3.3306690738754695e-17
population_559,3.3306690738754695e-17
desserts,3.3306690738754695e-17
housing_authorities,3.3306690738754695e-17
all_rentals,3.3306690738754695e-17
courthouse,3.3306690738754695e-17
all_hospital,3.3306690738754695e-17
all_organization,3.3306690738754695e-17
boutique,3.3306690738754695e-17
auto_detailing,3.3306690738754695e-17
all_station,3.3306690738754695e-17
all_supplies,3.3306690738754695e-17
all_insurance,3.3306690738754695e-17
brewery,3.3306690738754695e-17
builders,3.3306690738754695e-17
all_production,3.3306690738754695e-17
auto_manufacturers_and_distributors,3.3306690738754695e-17
all_cleaning,3.3306690738754695e-17
all_shelter,3.3306690738754695e-17
automotive,3.3306690738754695e-17
commercial_industrial,3.3306690738754695e-17
all_equipment,3.3306690738754695e-17
b2b_machinery_and_tools,3.3306690738754695e-17
all_store,3.3306690738754695e-17
currency_exchange,3.3306690738754695e-17
all_company,3.3306690738754695e-17
all_installation,3.3306690738754695e-17
all_stores,3.3306690738754695e-17
bed_and_breakfast,3.3306690738754695e-17
arcade,3.3306690738754695e-17
all_hall,3.3306690738754695e-17
all_engineers,3.3306690738754695e-17
all_facility,3.3306690738754695e-17
all_clothing,3.3306690738754695e-17
all_care,3.3306690738754695e-17
all_house,3.3306690738754695e-17
canal,3.3306690738754695e-17
business_consulting,3.3306690738754695e-17
all_shop,3.3306690738754695e-17
business_advertising,3.3306690738754695e-17
all_broker,3.3306690738754695e-17
community_services_non_profits,3.3306690738754695e-17
all_distribution,4.4408920985006264e-17
bowling_alley,4.4408920985006264e-17
population_000,4.4408920985006264e-17
videographer,4.4408920985006264e-17
veterinarian,4.4408920985006264e-17
all_service,4.4408920985006264e-17
books_mags_music_and_video,4.4408920985006264e-17
river,4.4408920985006264e-17
topic_publisher,4.4408920985006264e-17
public_plaza,4.4408920985006264e-17
race_track,4.4408920985006264e-17
railroad_freight,4.4408920985006264e-17
real_estate_agent,4.4408920985006264e-17
real_estate_investment,4.4408920985006264e-17
retail,4.4408920985006264e-17
dermatologist,4.4408920985006264e-17
roofing,4.4408920985006264e-17
all_supply,4.4408920985006264e-17
travel,4.4408920985006264e-17
shades_and_blinds,4.4408920985006264e-17
all_business,4.4408920985006264e-17
all_tours,4.4408920985006264e-17
sports_club_and_league,4.4408920985006264e-17
all_temple,4.4408920985006264e-17
population_479,4.4408920985006264e-17
supermarket,4.4408920985006264e-17
bridge,4.4408920985006264e-17
swimming_instructor,4.4408920985006264e-17
swimming_pool,4.4408920985006264e-17
shopping,4.4408920985006264e-17
structure_and_geography,4.4408920985006264e-17
population_538,4.4408920985006264e-17
population_493,4.4408920985006264e-17
population_641,4.4408920985006264e-17
population_645,4.4408920985006264e-17
all_repair,4.4408920985006264e-17
auto_customization,4.4408920985006264e-17
population_655,4.4408920985006264e-17
population_658,4.4408920985006264e-17
population_659,4.4408920985006264e-17
population_662,4.4408920985006264e-17
population_669,4.4408920985006264e-17
all_rental,4.4408920985006264e-17
population_674,4.4408920985006264e-17
population_678,4.4408920985006264e-17
audiologist,4.4408920985006264e-17
population_686,4.4408920985006264e-17
population_690,4.4408920985006264e-17
population_747,4.4408920985006264e-17
population_759,4.4408920985006264e-17
population_760,4.4408920985006264e-17
population_761,4.4408920985006264e-17
population_780,4.4408920985006264e-17
art_gallery,4.4408920985006264e-17
population_638,4.4408920985006264e-17
all_remodeling,4.4408920985006264e-17
population_634,4.4408920985006264e-17
population_629,4.4408920985006264e-17
population_499,4.4408920985006264e-17
barber,4.4408920985006264e-17
population_522,4.4408920985006264e-17
population_527,4.4408920985006264e-17
all_bar,4.4408920985006264e-17
all_transportation,4.4408920985006264e-17
population_540,4.4408920985006264e-17
population_543,4.4408920985006264e-17
population_544,4.4408920985006264e-17
all_union,4.4408920985006264e-17
bakery,4.4408920985006264e-17
population_564,4.4408920985006264e-17
population_578,4.4408920985006264e-17
population_581,4.4408920985006264e-17
retail_lsoa_area_ratio,4.4408920985006264e-17
population_600,4.4408920985006264e-17
office_total_area,4.4408920985006264e-17
population_606,4.4408920985006264e-17
b2b_science_and_technology,4.4408920985006264e-17
all_accessories,4.4408920985006264e-17
population_628,4.4408920985006264e-17
population_633,4.4408920985006264e-17
psychologist,4.4408920985006264e-17
all_wear,4.4408920985006264e-17
hotel,4.4408920985006264e-17
all_restaurant,4.4408920985006264e-17
church_cathedral,4.4408920985006264e-17
lake,4.4408920985006264e-17
financial_advising,4.4408920985006264e-17
chocolatier,4.4408920985006264e-17
all_photography,4.4408920985006264e-17
escape_rooms,4.4408920985006264e-17
all_testing,4.4408920985006264e-17
chiropractor,4.4408920985006264e-17
all_businesses,4.4408920985006264e-17
general_dentistry,4.4408920985006264e-17
all_club,4.4408920985006264e-17
all_entertainment,4.4408920985006264e-17
all_media,4.4408920985006264e-17
chemical_plant,4.4408920985006264e-17
all_department,4.4408920985006264e-17
all_office,4.4408920985006264e-17
all_contractors,4.4408920985006264e-17
investing,4.4408920985006264e-17
all_manufacturers,4.4408920985006264e-17
gym,4.4408920985006264e-17
all_dentist,4.4408920985006264e-17
hair_replacement,4.4408920985006264e-17
all_estate,4.4408920985006264e-17
fruits_and_vegetables,4.4408920985006264e-17
all_contractor,4.4408920985006264e-17
home_decor,4.4408920985006264e-17
food_stand,4.4408920985006264e-17
psychic_medium,4.4408920985006264e-17
population_881,4.4408920985006264e-17
all_consultant,4.4408920985006264e-17
all_lounge,4.4408920985006264e-17
airport,4.4408920985006264e-17
interior_design,4.4408920985006264e-17
all_surgeon,4.4408920985006264e-17
metal_fabricator,4.4408920985006264e-17
furniture_wholesalers,4.4408920985006264e-17
monument,4.4408920985006264e-17
all_church,4.4408920985006264e-17
osteopath,4.4408920985006264e-17
outdoor_gear,4.4408920985006264e-17
donuts,4.4408920985006264e-17
pharmacy,4.4408920985006264e-17
accountant,4.4408920985006264e-17
dog_walkers,4.4408920985006264e-17
all_building,4.4408920985006264e-17
all_trainer,4.4408920985006264e-17
accommodation,4.4408920985006264e-17
doctor,4.4408920985006264e-17
pool_billiards,4.4408920985006264e-17
all_course,4.4408920985006264e-17
all_preschool,4.4408920985006264e-17
cafetaria,4.4408920985006264e-17
optometrist,4.4408920985006264e-17
car_window_tinting,4.4408920985006264e-17
eat_and_drink,4.4408920985006264e-17
electrician,4.4408920985006264e-17
nutritionist,4.4408920985006264e-17
carpenter,4.4408920985006264e-17
naturopathic_holistic,4.4408920985006264e-17
motor_freight_trucking,4.4408920985006264e-17
all_counseling,4.4408920985006264e-17
all_venue,4.4408920985006264e-17
movers,4.4408920985006264e-17
notary_public,4.4408920985006264e-17
mosque,4.4408920985006264e-17
mortgage_lender,4.4408920985006264e-17
funeral_services_and_cemeteries,5.551115123125783e-17
all_lsoa_area_ratio,5.551115123125783e-17
all_room,5.551115123125783e-17
fountain,5.551115123125783e-17
population_624,5.551115123125783e-17
all_dealer,5.551115123125783e-17
electronics,5.551115123125783e-17
commercial_total_area,5.551115123125783e-17
commercial_avg_building_area,5.551115123125783e-17
all_designer,5.551115123125783e-17
all_avg_building_area,5.551115123125783e-17
population_756,5.551115123125783e-17
all_organizations,5.551115123125783e-17
atms,5.551115123125783e-17
attractions_and_activities,5.551115123125783e-17
embassy,5.551115123125783e-17
population_648,5.551115123125783e-17
firework_retailer,5.551115123125783e-17
population_652,5.551115123125783e-17
all_planning,5.551115123125783e-17
family_practice,5.551115123125783e-17
all_stadium,5.551115123125783e-17
emissions_inspection,5.551115123125783e-17
all_cafe,5.551115123125783e-17
all_wholesaler,5.551115123125783e-17
population_415,5.551115123125783e-17
lawyer,5.551115123125783e-17
all_training,5.551115123125783e-17
population_064,5.551115123125783e-17
linen,5.551115123125783e-17
bookstore,5.551115123125783e-17
trusts,5.551115123125783e-17
all_class,5.551115123125783e-17
nurse_practitioner,5.551115123125783e-17
gardener,5.551115123125783e-17
orthodontist,5.551115123125783e-17
parking,5.551115123125783e-17
acupuncture,5.551115123125783e-17
pet_groomer,5.551115123125783e-17
all_management,5.551115123125783e-17
pet_sitting,5.551115123125783e-17
resort,5.551115123125783e-17
plumbing,5.551115123125783e-17
radio_and_television_commercials,5.551115123125783e-17
public_relations,5.551115123125783e-17
all_center,5.551115123125783e-17
all_salon,5.551115123125783e-17
laundromat,5.551115123125783e-17
all_agency,5.551115123125783e-17
all_goods,5.551115123125783e-17
population_607,5.551115123125783e-17
computer_coaching,5.551115123125783e-17
population_599,5.551115123125783e-17
retail_avg_building_area,5.551115123125783e-17
all_agencies,5.551115123125783e-17
population_580,5.551115123125783e-17
all_architect,5.551115123125783e-17
all_spa,5.551115123125783e-17
home_security,5.551115123125783e-17
population_571,5.551115123125783e-17
all_law,5.551115123125783e-17
junk_removal_and_hauling,5.551115123125783e-17
population_520,5.551115123125783e-17
