feature,mean_importance
category_list_real_estate_agent,-1547306.2051016688
num_buildings,0.0
category_list_osteopathic_physician,0.0
category_list_osteopath,0.0
category_list_orthotics,0.0
category_list_orthopedist,0.0
category_list_orthopedic_shoe_store,0.0
category_list_orthodontist,0.0
category_list_organization,0.0
category_list_organic_grocery_store,0.0
category_list_outdoor_furniture_store,0.0
category_list_oral_surgeon,0.0
category_list_ophthalmologist,0.0
category_list_opera_and_ballet,0.0
category_list_online_shop,0.0
category_list_oncologist,0.0
category_list_oil_refiners,0.0
category_list_oil_and_gas_field_equipment_and_services,0.0
category_list_oil_and_gas_exploration_and_development,0.0
category_list_oil_and_gas,0.0
category_list_office_of_vital_records,0.0
category_list_optometrist,0.0
category_list_office_equipment,0.0
category_list_outdoor_gear,0.0
category_list_outlet_store,0.0
category_list_party_equipment_rental,0.0
category_list_party_and_event_planning,0.0
category_list_parking,0.0
category_list_park,0.0
category_list_paralegal_services,0.0
category_list_paper_mill,0.0
category_list_pancake_house,0.0
category_list_pan_asian_restaurant,0.0
category_list_palace,0.0
category_list_outdoor_movies,0.0
category_list_pakistani_restaurant,0.0
category_list_paintball,0.0
category_list_paint_your_own_pottery,0.0
category_list_paint_store,0.0
category_list_pain_management,0.0
category_list_paddleboarding_center,0.0
category_list_packing_supply,0.0
category_list_packing_services,0.0
category_list_packaging_contractors_and_service,0.0
category_list_package_locker,0.0
category_list_painting,0.0
category_list_office_cleaning,0.0
category_list_occupational_therapy,0.0
category_list_occupational_safety,0.0
category_list_music_school,0.0
category_list_music_production_services,0.0
category_list_music_production,0.0
category_list_music_and_dvd_store,0.0
category_list_museum,0.0
category_list_movie_television_studio,0.0
category_list_movers,0.0
category_list_mountain_bike_trails,0.0
category_list_mountain_bike_parks,0.0
category_list_music_venue,0.0
category_list_mountain,0.0
category_list_motorsport_vehicle_dealer,0.0
category_list_motorcycle_repair,0.0
category_list_motorcycle_rentals,0.0
category_list_motorcycle_dealer,0.0
category_list_motor_freight_trucking,0.0
category_list_mosque,0.0
category_list_mortgage_lender,0.0
category_list_mortgage_broker,0.0
category_list_moroccan_restaurant,0.0
category_list_motorsports_store,0.0
category_list_party_supply,0.0
category_list_musical_instrument_services,0.0
category_list_musician,0.0
category_list_occupational_medicine,0.0
category_list_obstetrician_and_gynecologist,0.0
category_list_observatory,0.0
category_list_nursing_school,0.0
category_list_nursery_and_gardening,0.0
category_list_nurse_practitioner,0.0
category_list_notary_public,0.0
category_list_noodles_restaurant,0.0
category_list_non_governmental_association,0.0
category_list_musical_instrument_store,0.0
category_list_night_market,0.0
category_list_newspaper_and_magazines_store,0.0
category_list_newspaper_advertising,0.0
category_list_neurologist,0.0
category_list_naturopathic_holistic,0.0
category_list_nature_reserve,0.0
category_list_natural_gas_supplier,0.0
category_list_national_park,0.0
category_list_nanny_services,0.0
category_list_nail_salon,0.0
category_list_nigerian_restaurant,0.0
category_list_passport_and_visa_services,0.0
category_list_pasta_shop,0.0
category_list_patent_law,0.0
category_list_pool_and_hot_tub_services,0.0
category_list_pool_and_billiards,0.0
category_list_political_party_office,0.0
category_list_political_organization,0.0
category_list_polish_restaurant,0.0
category_list_police_department,0.0
category_list_poke,0.0
category_list_podiatrist,0.0
category_list_plus_size_clothing,0.0
category_list_pool_billiards,0.0
category_list_plumbing,0.0
category_list_playground,0.0
category_list_plastic_surgeon,0.0
category_list_plastic_manufacturer,0.0
category_list_plastic_injection_molding_workshop,0.0
category_list_plastic_fabrication_company,0.0
category_list_plastic_company,0.0
category_list_plasterer,0.0
category_list_planetarium,0.0
category_list_pizza_restaurant,0.0
category_list_plaza,0.0
category_list_pizza_delivery_service,0.0
category_list_pool_cleaning,0.0
category_list_popcorn_shop,0.0
category_list_professional_sports_league,0.0
category_list_professional_services,0.0
category_list_produce_wholesaler,0.0
category_list_process_servers,0.0
category_list_private_tutor,0.0
category_list_private_school,0.0
category_list_private_jet_charters,0.0
category_list_private_investigation,0.0
category_list_private_equity_firm,0.0
category_list_pop_up_shop,0.0
category_list_private_association,0.0
category_list_printing_equipment_and_supply,0.0
category_list_print_media,0.0
category_list_pressure_washing,0.0
category_list_preschool,0.0
category_list_prenatal_perinatal_care,0.0
category_list_power_plants_and_power_plant_service,0.0
category_list_powder_coating_service,0.0
category_list_post_office,0.0
category_list_portuguese_restaurant,0.0
category_list_printing_services,0.0
category_list_monument,0.0
category_list_pilates_studio,0.0
category_list_pier,0.0
category_list_personal_injury_law,0.0
category_list_personal_chef,0.0
category_list_personal_care_service,0.0
category_list_personal_assistant,0.0
category_list_persian_iranian_restaurant,0.0
category_list_permanent_makeup,0.0
category_list_periodontist,0.0
category_list_perfume_store,0.0
category_list_performing_arts,0.0
category_list_personal_shopper,0.0
category_list_pentecostal_church,0.0
category_list_pediatrician,0.0
category_list_pediatric_dentist,0.0
category_list_pediatric_cardiology,0.0
category_list_payroll_services,0.0
category_list_pawn_shop,0.0
category_list_paving_contractor,0.0
category_list_patisserie_cake_shop,0.0
category_list_patio_covers,0.0
category_list_paternity_tests_and_services,0.0
category_list_pension,0.0
category_list_piercing,0.0
category_list_peruvian_restaurant,0.0
category_list_pet_adoption,0.0
category_list_piano_store,0.0
category_list_piano_services,0.0
category_list_piano_bar,0.0
category_list_physical_therapy,0.0
category_list_photography_store_and_services,0.0
category_list_photography_classes,0.0
category_list_photo_booth_rental,0.0
category_list_pharmacy,0.0
category_list_pharmaceutical_products_wholesaler,0.0
category_list_pest_control_service,0.0
category_list_pharmaceutical_companies,0.0
category_list_pet_transportation,0.0
category_list_pet_training,0.0
category_list_pet_store,0.0
category_list_pet_sitting,0.0
category_list_pet_services,0.0
category_list_pet_insurance,0.0
category_list_pet_groomer,0.0
category_list_pet_breeder,0.0
category_list_pet_boarding,0.0
category_list_pets,0.0
category_list_montessori_school,0.0
category_list_money_transfer_services,0.0
category_list_modern_art_museum,0.0
category_list_kickboxing_club,0.0
category_list_key_and_locksmith,0.0
category_list_karate_club,0.0
category_list_karaoke_rental,0.0
category_list_karaoke,0.0
category_list_junkyard,0.0
category_list_junk_removal_and_hauling,0.0
category_list_jewelry_store,0.0
category_list_jewelry_repair_service,0.0
category_list_kids_hair_salon,0.0
category_list_jewelry_manufacturer,0.0
category_list_jehovahs_witness_kingdom_hall,0.0
category_list_jazz_and_blues,0.0
category_list_japanese_restaurant,0.0
category_list_japanese_grocery_store,0.0
category_list_japanese_confectionery_shop,0.0
category_list_janitorial_services,0.0
category_list_jamaican_restaurant,0.0
category_list_jail_and_prison,0.0
category_list_italian_restaurant,0.0
category_list_jewelry_and_watches_manufacturer,0.0
category_list_it_support_snd_service,0.0
category_list_kids_recreation_and_party,0.0
category_list_kitchen_and_bath,0.0
category_list_laser_eye_surgery_lasik,0.0
category_list_laser_cutting_service_provider,0.0
category_list_language_school,0.0
category_list_landscaping,0.0
category_list_landscape_architect,0.0
category_list_landmark_and_historical_building,0.0
category_list_land_surveying,0.0
category_list_lake,0.0
category_list_laboratory_testing,0.0
category_list_kiosk,0.0
category_list_laboratory_equipment_supplier,0.0
category_list_labor_union,0.0
category_list_kurdish_restaurant,0.0
category_list_kosher_restaurant,0.0
category_list_korean_restaurant,0.0
category_list_korean_grocery_store,0.0
category_list_knitting_supply,0.0
category_list_knife_sharpening,0.0
category_list_kitchen_supply_store,0.0
category_list_kitchen_remodeling,0.0
category_list_laboratory,0.0
category_list_laser_hair_removal,0.0
category_list_it_service_and_computer_repair,0.0
category_list_israeli_restaurant,0.0
category_list_infectious_disease_specialist,0.0
category_list_industrial_equipment,0.0
category_list_industrial_company,0.0
category_list_industrial_cleaning_services,0.0
category_list_indoor_landscaping,0.0
category_list_indoor_golf_center,0.0
category_list_indonesian_restaurant,0.0
category_list_indian_sweets_shop,0.0
category_list_indian_restaurant,0.0
category_list_information_technology_company,0.0
category_list_indian_grocery_store,0.0
category_list_importer_and_exporter,0.0
category_list_imported_food,0.0
category_list_immigration_law,0.0
category_list_immigration_assistance_services,0.0
category_list_image_consultant,0.0
category_list_ice_skating_rink,0.0
category_list_ice_cream_shop,0.0
category_list_ice_cream_and_frozen_yoghurt,0.0
category_list_hypnosis_hypnotherapy,0.0
category_list_importers,0.0
category_list_it_consultant,0.0
category_list_inn,0.0
category_list_installment_loans,0.0
category_list_island,0.0
category_list_irrigation,0.0
category_list_iron_work,0.0
category_list_iron_and_steel_store,0.0
category_list_iron_and_steel_industry,0.0
category_list_irish_restaurant,0.0
category_list_irish_pub,0.0
category_list_ip_and_internet_law,0.0
category_list_investing,0.0
category_list_inspection_services,0.0
category_list_inventory_control_service,0.0
category_list_internet_marketing_service,0.0
category_list_internet_cafe,0.0
category_list_international_restaurant,0.0
category_list_international_grocery_store,0.0
category_list_international_business_and_trade_services,0.0
category_list_internal_medicine,0.0
category_list_interior_design,0.0
category_list_insurance_agency,0.0
category_list_insulation_installation,0.0
category_list_internet_service_provider,0.0
category_list_laser_tag,0.0
category_list_latin_american_restaurant,0.0
category_list_laundromat,0.0
category_list_medical_supply,0.0
category_list_medical_spa,0.0
category_list_medical_service_organizations,0.0
category_list_medical_sciences_schools,0.0
category_list_medical_school,0.0
category_list_medical_research_and_development,0.0
category_list_medical_law,0.0
category_list_medical_center,0.0
category_list_mediator,0.0
category_list_medical_transportation,0.0
category_list_media_news_website,0.0
category_list_media_agency,0.0
category_list_mechanical_engineers,0.0
category_list_meat_wholesaler,0.0
category_list_meat_shop,0.0
category_list_mattress_store,0.0
category_list_maternity_wear,0.0
category_list_maternity_centers,0.0
category_list_matchmaker,0.0
category_list_massage_therapy,0.0
category_list_media_news_company,0.0
category_list_massage_school,0.0
category_list_meditation_center,0.0
category_list_men's_clothing_store,0.0
category_list_mobility_equipment_services,0.0
