feature,mean_importance
category_list_museum,-0.0005017032120741783
category_list_tree_services,-0.0003906641955481238
retail_lsoa_area_ratio,-0.00036548075459840736
category_list_towing_service,-0.0003396327879536809
category_list_performing_arts,-0.00030442929921042363
category_list_business_advertising,-0.0002532321783460689
category_list_computer_hardware_company,-0.00024243040880781997
category_list_clothing_store,-0.00020587451514568754
office_lsoa_area_ratio,-0.00019440221428455585
category_list_software_development,-0.0001933769176943545
category_list_environmental_testing,-0.0001766646441091424
category_list_gutter_service,-0.00017492861898309452
category_list_central_government_office,-0.00017299564839933778
category_list_sports_and_recreation_venue,-0.00016403042289894198
category_list_hair_stylist,-0.00016179666918268444
category_list_contractor,-0.0001519452797752008
category_list_landscaping,-0.0001489183327008148
category_list_addiction_rehabilitation_center,-0.00014575557753874758
category_list_campus_building,-0.0001438360417376938
category_list_public_plaza,-0.00014235657746397012
category_list_auto_electrical_repair,-0.000141239632552842
category_list_convenience_store,-0.00012676135733978854
category_list_pest_control_service,-0.0001229785881500578
category_list_candle_store,-0.0001220094146805295
category_list_prenatal_perinatal_care,-0.00012093649216899372
category_list_corporate_office,-0.00011920728010130222
office_avg_building_area,-0.00011372868410714499
category_list_river,-0.0001081119486046278
category_list_mobility_equipment_services,-0.0001057657684953861
category_list_first_aid_class,-0.00010015273644918832
category_list_real_estate,-9.775940304629916e-05
category_list_post_office,-9.687929829536036e-05
category_list_tire_dealer_and_repair,-9.555153030233466e-05
category_list_music_school,-9.227610516096552e-05
category_list_movers,-8.622186809854604e-05
category_list_self_storage_facility,-8.343733605750136e-05
category_list_train_station,-8.257090071430717e-05
category_list_mobile_phone_repair,-8.205687921106764e-05
category_list_chicken_restaurant,-7.999080974779304e-05
category_list_hydraulic_equipment_supplier,-7.961742010609841e-05
category_list_engineering_services,-7.790348818171312e-05
category_list_preschool,-7.770786461298584e-05
category_list_health_department,-7.370294107642006e-05
category_list_utility_service,-7.272204821054395e-05
category_list_language_school,-7.26453167586405e-05
category_list_real_estate_agent,-7.000756044101553e-05
category_list_audio_visual_equipment_store,-6.944629245652644e-05
category_list_home_service,-6.266212887878208e-05
category_list_costume_store,-6.257657294357344e-05
category_list_flowers_and_gifts_shop,-6.169040297259177e-05
category_list_accountant,-6.113126664576418e-05
category_list_hindu_temple,-5.996278362758178e-05
category_list_soccer_stadium,-5.656553175720225e-05
category_list_library,-5.382444433794653e-05
category_list_disability_services_and_support_organization,-5.196732530436954e-05
category_list_vehicle_shipping,-5.106715565628139e-05
category_list_railroad_freight,-4.922258848552019e-05
category_list_barber,-4.703395325770798e-05
category_list_bicycle_shop,-4.554179195578878e-05
category_list_photography_store_and_services,-4.515167412531551e-05
category_list_seafood_restaurant,-4.4296793062664765e-05
category_list_resort,-4.369648235937884e-05
category_list_psychotherapist,-4.3369011136634716e-05
category_list_sign_making,-4.307340944447735e-05
category_list_chocolatier,-4.3030969895502257e-05
category_list_metal_fabricator,-4.2478669977552565e-05
category_list_pet_groomer,-4.1322093327056385e-05
category_list_hair_removal,-4.01653577469907e-05
category_list_history_museum,-3.985529599058735e-05
category_list_financial_advising,-3.9844910594177827e-05
category_list_anglican_church,-3.97567815599964e-05
category_list_botanical_garden,-3.895686884907157e-05
category_list_warehouses,-3.764649901349393e-05
category_list_cremation_services,-3.739530683685155e-05
category_list_lake,-3.7174769598669054e-05
category_list_toy_store,-3.6382828238462614e-05
category_list_bed_and_breakfast,-3.626757245037138e-05
category_list_supermarket,-3.490254321919517e-05
category_list_hot_tubs_and_pools,-3.374474608006106e-05
category_list_reiki,-3.3564186110057737e-05
category_list_medical_center,-3.2559396096265567e-05
category_list_youth_organizations,-3.210888653948363e-05
category_list_windows_installation,-3.200189367631445e-05
category_list_italian_restaurant,-3.1987369999281204e-05
category_list_chiropractor,-3.08214617074698e-05
category_list_discount_store,-2.9887585382537552e-05
category_list_lawyer,-2.9425546915751166e-05
category_list_storage_facility,-2.8263669917355517e-05
category_list_psychologist,-2.8260056041529148e-05
category_list_plumbing,-2.7046566825744688e-05
category_list_freight_and_cargo_service,-2.67429270952968e-05
category_list_firework_retailer,-2.6634896848398704e-05
category_list_marketing_agency,-2.617038480240974e-05
category_list_hvac_supplier,-2.6132408249290862e-05
category_list_korean_grocery_store,-2.434533984913556e-05
category_list_ev_charging_station,-2.4033305344195456e-05
category_list_nursery_and_gardening,-2.3938998273814737e-05
category_list_garbage_collection_service,-2.3614759454049227e-05
category_list_medical_service_organizations,-2.331413788804748e-05
category_list_plastic_fabrication_company,-2.227969276840658e-05
category_list_massage,-2.0782339328850875e-05
category_list_mosque,-2.063542979212629e-05
category_list_men's_clothing_store,-2.015322310633394e-05
category_list_hardware_store,-1.9670275547323256e-05
category_list_bike_repair_maintenance,-1.906865966800897e-05
category_list_b2b_furniture_and_housewares,-1.891013870461977e-05
category_list_osteopathic_physician,-1.8635085330304112e-05
category_list_travel_company,-1.8350550595519487e-05
category_list_educational_services,-1.832832327081646e-05
category_list_shades_and_blinds,-1.825333210364599e-05
category_list_automotive,-1.7511394657770964e-05
category_list_general_dentistry,-1.709628508823613e-05
category_list_bridal_shop,-1.6475914995722762e-05
category_list_french_restaurant,-1.6315304766750806e-05
category_list_food,-1.621572796337012e-05
category_list_active_life,-1.615202097652868e-05
category_list_party_and_event_planning,-1.499727494092551e-05
category_list_acupuncture,-1.4443065594199611e-05
category_list_nursing_school,-1.43171250335139e-05
category_list_pediatric_dentist,-1.3987305038370978e-05
category_list_structure_and_geography,-1.3938797720147721e-05
category_list_kitchen_supply_store,-1.3898295140424288e-05
category_list_political_party_office,-1.3673922846063613e-05
category_list_holiday_rental_home,-1.3442254388063013e-05
category_list_american_restaurant,-1.3406196271564807e-05
category_list_computer_wholesaler,-1.3282109086709681e-05
category_list_stadium_arena,-1.2965547057480764e-05
category_list_day_care_preschool,-1.2525931753570862e-05
category_list_fashion_accessories_store,-1.2171985307424249e-05
category_list_pizza_delivery_service,-1.2136713302496327e-05
category_list_physical_therapy,-1.2128052913323862e-05
