feature,mean_importance
category_list_home_cleaning,-0.005235354618246757
category_list_carpenter,-0.0044139150066199615
category_list_dry_cleaning,-0.004020776083855759
category_list_barber,-0.003968878087626293
category_list_key_and_locksmith,-0.003913541864660042
category_list_indian_restaurant,-0.003682993897245934
category_list_religious_organization,-0.0034896894997870297
category_list_thrift_store,-0.003471287247821908
category_list_sign_making,-0.003119890879938092
category_list_shipping_center,-0.0028203928544248136
category_list_community_center,-0.002795571993682966
category_list_fast_food_restaurant,-0.002719978248008048
category_list_real_estate_agent,-0.002667473258522457
category_list_automotive_repair,-0.0025979827973991567
category_list_property_management,-0.002489711123932414
category_list_taxi_service,-0.0024578996236675364
category_list_gym,-0.002435731851269174
category_list_sightseeing_tour_agency,-0.0023651112116907626
category_list_grocery_store,-0.00233628100794252
category_list_post_office,-0.0023106301510798176
category_list_window_washing,-0.0021872582822126453
category_list_accountant,-0.0021029140627280896
category_list_lighting_store,-0.0020931470824841593
category_list_balloon_services,-0.0020623975717626087
category_list_motor_freight_trucking,-0.0020574084488028666
category_list_home_health_care,-0.0019604779119282378
category_list_gas_station,-0.001956456560984554
category_list_social_service_organizations,-0.0018924334158251454
category_list_tattoo_and_piercing,-0.0018514996596931566
category_list_bus_service,-0.0017902780746273939
category_list_sewing_and_alterations,-0.001779273383743285
category_list_electrician,-0.0017722207218804798
category_list_web_designer,-0.001747892151935182
category_list_hair_salon,-0.0017263086032305308
category_list_real_estate_service,-0.0017175807106896812
category_list_escape_rooms,-0.001716776030685052
category_list_organization,-0.0017133816145740832
category_list_carpet_store,-0.0017083732812589237
category_list_lounge,-0.0016968624524815068
category_list_plumbing,-0.0016404644032710358
category_list_smoothie_juice_bar,-0.0016375816007755616
category_list_podiatrist,-0.0015836046061856956
category_list_caterer,-0.0015402814157803534
category_list_handyman,-0.0014961900753249547
category_list_polish_restaurant,-0.0014715181169237868
category_list_pet_services,-0.0014319812729415738
category_list_mosque,-0.0014299520795358455
category_list_stadium_arena,-0.001405804980181924
category_list_fruits_and_vegetables,-0.0013940800542688648
category_list_printing_services,-0.0013733367783965943
category_list_business_signage,-0.001350958760631249
category_list_funeral_services_and_cemeteries,-0.0013467217481171855
category_list_tapas_bar,-0.0013233420735443203
category_list_bingo_hall,-0.0013122547447172784
category_list_law_enforcement,-0.0012905858123083646
category_list_carpet_cleaning,-0.0012698315843040486
category_list_auto_electrical_repair,-0.0012535637406902778
category_list_active_life,-0.001235056977637372
category_list_dance_school,-0.0012258843749747505
category_list_currency_exchange,-0.0012065044981022233
category_list_housing_cooperative,-0.0011979125621116582
category_list_retail,-0.0011889111374628226
category_list_waxing,-0.001169655369595879
category_list_interior_design,-0.0011669937024661125
category_list_train_station,-0.001140416427002955
category_list_nursery_and_gardening,-0.0011254148763010451
category_list_topic_concert_venue,-0.0011052600052087413
category_list_convenience_store,-0.0011049397509581115
category_list_homeless_shelter,-0.0011009385215365209
category_list_colombian_restaurant,-0.0010894218541301459
category_list_steakhouse,-0.0010739952480117942
category_list_music_school,-0.0010657205961339899
category_list_fabric_store,-0.0010570700544763278
category_list_spas,-0.0010555594201698826
category_list_furniture_accessory_store,-0.0009907237393586676
category_list_wedding_planning,-0.0009734617392693545
category_list_business_advertising,-0.0009564640116907164
category_list_korean_grocery_store,-0.0009400801844968276
category_list_food_delivery_service,-0.0009374368255092635
category_list_public_market,-0.0009329010131731597
category_list_bakery,-0.0009281254016115126
category_list_auto_manufacturers_and_distributors,-0.0009253021487628077
category_list_fireplace_service,-0.0009177083014127785
category_list_caribbean_restaurant,-0.0009120988995027224
category_list_home_security,-0.0008922075250313632
category_list_garbage_collection_service,-0.0008882195602988752
category_list_hair_removal,-0.0008760304725736523
category_list_machine_and_tool_rentals,-0.0008746966856201909
category_list_wine_wholesaler,-0.0008535138626959871
category_list_vocational_and_technical_school,-0.0008532161540454553
category_list_outlet_store,-0.0008482305997136397
category_list_appliance_repair_service,-0.0008469052398474064
category_list_auto_detailing,-0.0008397805624426713
category_list_notary_public,-0.0008279662023106705
category_list_education,-0.0008275139125006215
category_list_music_production,-0.0008170341990740404
category_list_betting_center,-0.0007886740951900117
category_list_hardware_store,-0.0007732322873869269
category_list_spanish_restaurant,-0.000765067545541176
category_list_commercial_industrial,-0.0007628139415577717
category_list_hearing_aids,-0.0007619395175991305
category_list_janitorial_services,-0.000756554261418918
category_list_buddhist_temple,-0.0007520869682674736
category_list_visitor_center,-0.0007484488510064446
category_list_junk_removal_and_hauling,-0.0007310424084141287
category_list_language_school,-0.0007287556144206286
