feature,mean_importance
category_list_medical_research_and_development,-0.00015069413126342913
category_list_car_dealer,-0.00014577036671556965
category_list_media_agency,-0.00014020273069952348
num_buildings,-5.666376390789374e-05
category_list_dentist,-4.519167464560603e-05
category_list_lodge,-2.7077218377458134e-05
category_list_recycling_center,-2.4695860192003317e-05
category_list_acupuncture,-2.44110421516619e-05
category_list_gardener,-2.3061040280225598e-05
category_list_steakhouse,-2.2739718425379696e-05
category_list_youth_organizations,-2.198605956842403e-05
category_list_tennis_court,-1.9672840286488747e-05
all_avg_building_area,-1.8082445305878103e-05
category_list_plastic_surgeon,-1.5984494470122625e-05
category_list_monument,-1.336273915910624e-05
category_list_health_department,-1.310384042491064e-05
category_list_family_practice,-1.2311914756302222e-05
category_list_banks,-1.1970595515753413e-05
category_list_laundromat,-1.1806637953981625e-05
category_list_courier_and_delivery_services,-1.0060098649544713e-05
category_list_men's_clothing_store,-9.610530451997778e-06
category_list_social_service_organizations,-6.73018982066953e-06
category_list_women's_clothing_store,-5.93985364851779e-06
category_list_wholesale_store,-5.660540347884879e-06
category_list_property_management,-5.656414543930843e-06
category_list_history_museum,-5.157607037920009e-06
category_list_bounce_house_rental,-4.844888918620338e-06
category_list_reiki,-4.092481488793265e-06
category_list_refinishing_services,-4.087027766086493e-06
category_list_pizza_restaurant,-3.079914838011177e-06
category_list_shopping,-2.2418653255473764e-06
category_list_psychic,-1.7642739661427598e-06
category_list_british_restaurant,-8.506748295888933e-07
category_list_swimming_instructor,-7.334514216417176e-07
category_list_resort,-4.53053559634764e-07
category_list_forestry_service,-1.1102230246251566e-17
category_list_hair_extensions,0.0
category_list_b2b_oil_and_gas_extraction_and_services,1.1102230246251566e-17
category_list_b2b_truck_equipment_parts_and_accessories,1.1102230246251566e-17
category_list_basketball_court,1.1102230246251566e-17
category_list_motor_freight_trucking,1.1102230246251566e-17
category_list_basque_restaurant,1.1102230246251566e-17
category_list_psychotherapist,1.1102230246251566e-17
category_list_dairy_farm,1.1102230246251566e-17
category_list_commercial_real_estate,1.1102230246251566e-17
category_list_collection_agencies,1.1102230246251566e-17
category_list_education,1.1102230246251566e-17
category_list_esports_team,1.1102230246251566e-17
category_list_structure_and_geography,1.1102230246251566e-17
category_list_hvac_services,1.1102230246251566e-17
category_list_logging_services,1.1102230246251566e-17
category_list_waxing,1.1102230246251566e-17
category_list_formal_wear_store,1.1102230246251566e-17
category_list_janitorial_services,1.1102230246251566e-17
category_list_jewelry_and_watches_manufacturer,1.1102230246251566e-17
category_list_indian_grocery_store,1.1102230246251566e-17
category_list_fur_clothing,1.1102230246251566e-17
category_list_jewelry_manufacturer,1.1102230246251566e-17
category_list_insulation_installation,1.1102230246251566e-17
category_list_hotel_bar,1.1102230246251566e-17
category_list_internet_cafe,1.1102230246251566e-17
category_list_exhibition_and_trade_center,1.1102230246251566e-17
category_list_laser_eye_surgery_lasik,1.1102230246251566e-17
category_list_golf_club,1.1102230246251566e-17
category_list_fast_food_restaurant,1.1102230246251566e-17
category_list_soul_food,2.2204460492503132e-17
category_list_hair_removal,2.2204460492503132e-17
category_list_himalayan_nepalese_restaurant,2.2204460492503132e-17
category_list_railroad_freight,2.2204460492503132e-17
category_list_real_estate_investment,2.2204460492503132e-17
category_list_freight_forwarding_agency,2.2204460492503132e-17
category_list_business_signage,2.2204460492503132e-17
category_list_home_cleaning,2.2204460492503132e-17
category_list_rehabilitation_center,2.2204460492503132e-17
category_list_home_window_tinting,2.2204460492503132e-17
category_list_river,2.2204460492503132e-17
category_list_bus_tours,2.2204460492503132e-17
category_list_furniture_store,2.2204460492503132e-17
category_list_brokers,2.2204460492503132e-17
category_list_hvac_supplier,2.2204460492503132e-17
category_list_scuba_diving_instruction,2.2204460492503132e-17
category_list_seafood_restaurant,2.2204460492503132e-17
category_list_barre_classes,2.2204460492503132e-17
category_list_housing_authorities,2.2204460492503132e-17
category_list_boat_parts_and_accessories,2.2204460492503132e-17
category_list_boat_charter,2.2204460492503132e-17
category_list_bistro,2.2204460492503132e-17
category_list_bike_rentals,2.2204460492503132e-17
category_list_soccer_stadium,2.2204460492503132e-17
category_list_social_media_agency,2.2204460492503132e-17
category_list_homeless_shelter,2.2204460492503132e-17
category_list_honey_farm_shop,2.2204460492503132e-17
category_list_malaysian_restaurant,2.2204460492503132e-17
category_list_print_media,2.2204460492503132e-17
category_list_castle,2.2204460492503132e-17
category_list_nature_reserve,2.2204460492503132e-17
category_list_direct_mail_advertising,2.2204460492503132e-17
category_list_stone_supplier,2.2204460492503132e-17
category_list_donuts,2.2204460492503132e-17
category_list_financial_advising,2.2204460492503132e-17
category_list_korean_grocery_store,2.2204460492503132e-17
category_list_duty_free_shop,2.2204460492503132e-17
category_list_kosher_restaurant,2.2204460492503132e-17
category_list_merchandising_service,2.2204460492503132e-17
category_list_electric_utility_provider,2.2204460492503132e-17
category_list_medical_supply,2.2204460492503132e-17
category_list_medical_service_organizations,2.2204460492503132e-17
category_list_embroidery_and_crochet,2.2204460492503132e-17
category_list_matchmaker,2.2204460492503132e-17
category_list_environmental_abatement_services,2.2204460492503132e-17
category_list_newspaper_advertising,2.2204460492503132e-17
category_list_nursing_school,2.2204460492503132e-17
category_list_fire_protection_service,2.2204460492503132e-17
category_list_office_of_vital_records,2.2204460492503132e-17
category_list_certification_agency,2.2204460492503132e-17
category_list_child_protection_service,2.2204460492503132e-17
category_list_children's_museum,2.2204460492503132e-17
category_list_plumbing,2.2204460492503132e-17
category_list_florist,2.2204460492503132e-17
category_list_plasterer,2.2204460492503132e-17
category_list_cleaning_products_supplier,2.2204460492503132e-17
category_list_israeli_restaurant,2.2204460492503132e-17
category_list_fitness_equipment_wholesaler,2.2204460492503132e-17
category_list_convents_and_monasteries,2.2204460492503132e-17
category_list_countertop_installation,2.2204460492503132e-17
category_list_fishing_club,2.2204460492503132e-17
category_list_courthouse,2.2204460492503132e-17
category_list_currency_exchange,2.2204460492503132e-17
category_list_orthodontist,2.2204460492503132e-17
category_list_day_care_preschool,2.2204460492503132e-17
category_list_construction_services,2.2204460492503132e-17
category_list_motorcycle_rentals,2.2204460492503132e-17
category_list_clothing_store,2.2204460492503132e-17
category_list_animal_rescue_service,2.2204460492503132e-17
category_list_waffle_restaurant,2.2204460492503132e-17
category_list_wig_store,2.2204460492503132e-17
category_list_tableware_supplier,2.2204460492503132e-17
category_list_tile_store,2.2204460492503132e-17
category_list_window_treatment_store,2.2204460492503132e-17
category_list_writing_service,2.2204460492503132e-17
category_list_art_restoration,2.2204460492503132e-17
category_list_automobile_leasing,2.2204460492503132e-17
category_list_aircraft_repair,2.2204460492503132e-17
category_list_auditorium,2.2204460492503132e-17
category_list_wine_tasting_room,2.2204460492503132e-17
category_list_whiskey_bar,2.2204460492503132e-17
category_list_web_hosting_service,2.2204460492503132e-17
category_list_water_park,2.2204460492503132e-17
category_list_taxi_service,2.2204460492503132e-17
category_list_pet_breeder,3.3306690738754695e-17
category_list_pet_groomer,3.3306690738754695e-17
category_list_water_purification_services,3.3306690738754695e-17
category_list_key_and_locksmith,3.3306690738754695e-17
category_list_junk_removal_and_hauling,3.3306690738754695e-17
category_list_pet_transportation,3.3306690738754695e-17
category_list_kitchen_and_bath,3.3306690738754695e-17
category_list_african_restaurant,3.3306690738754695e-17
category_list_arcade,3.3306690738754695e-17
category_list_afghan_restaurant,3.3306690738754695e-17
category_list_ferry_service,3.3306690738754695e-17
category_list_pier,3.3306690738754695e-17
category_list_archery_range,3.3306690738754695e-17
category_list_jewelry_store,3.3306690738754695e-17
category_list_agricultural_production,3.3306690738754695e-17
category_list_commercial_refrigeration,3.3306690738754695e-17
category_list_pet_boarding,3.3306690738754695e-17
category_list_knitting_supply,3.3306690738754695e-17
category_list_fire_department,3.3306690738754695e-17
category_list_community_center,3.3306690738754695e-17
category_list_clinical_laboratories,3.3306690738754695e-17
category_list_pest_control_service,3.3306690738754695e-17
category_list_film_festivals_and_organizations,3.3306690738754695e-17
category_list_fire_and_water_damage_restoration,3.3306690738754695e-17
category_list_personal_shopper,3.3306690738754695e-17
category_list_aggregate_supplier,3.3306690738754695e-17
category_list_computer_store,3.3306690738754695e-17
category_list_condominium,3.3306690738754695e-17
category_list_perfume_store,3.3306690738754695e-17
category_list_health_and_medical,3.3306690738754695e-17
category_list_civilization_museum,3.3306690738754695e-17
category_list_flooring_contractors,3.3306690738754695e-17
category_list_private_investigation,3.3306690738754695e-17
category_list_ceiling_service,3.3306690738754695e-17
category_list_adult_education,3.3306690738754695e-17
category_list_industrial_equipment,3.3306690738754695e-17
category_list_active_life,3.3306690738754695e-17
category_list_carpet_store,3.3306690738754695e-17
category_list_professional_sports_team,3.3306690738754695e-17
category_list_art_supply_store,3.3306690738754695e-17
category_list_props,3.3306690738754695e-17
category_list_towing_service,3.3306690738754695e-17
category_list_psychic_medium,3.3306690738754695e-17
category_list_arts_and_crafts,3.3306690738754695e-17
category_list_cardiovascular_and_thoracic_surgeon,3.3306690738754695e-17
category_list_fort,3.3306690738754695e-17
category_list_car_window_tinting,3.3306690738754695e-17
category_list_private_equity_firm,3.3306690738754695e-17
category_list_private_association,3.3306690738754695e-17
category_list_powder_coating_service,3.3306690738754695e-17
category_list_post_office,3.3306690738754695e-17
category_list_pediatric_cardiology,3.3306690738754695e-17
category_list_civil_rights_lawyers,3.3306690738754695e-17
category_list_adventure_sports_center,3.3306690738754695e-17
category_list_circus,3.3306690738754695e-17
category_list_plastic_fabrication_company,3.3306690738754695e-17
category_list_it_service_and_computer_repair,3.3306690738754695e-17
category_list_plastic_manufacturer,3.3306690738754695e-17
category_list_cleaning_services,3.3306690738754695e-17
category_list_playground,3.3306690738754695e-17
category_list_chiropractor,3.3306690738754695e-17
category_list_transcription_services,3.3306690738754695e-17
category_list_food_and_beverage_consultant,3.3306690738754695e-17
category_list_trains,3.3306690738754695e-17
category_list_children's_clothing_store,3.3306690738754695e-17
category_list_food_court,3.3306690738754695e-17
category_list_internet_service_provider,3.3306690738754695e-17
category_list_adult_store,3.3306690738754695e-17
category_list_kurdish_restaurant,3.3306690738754695e-17
category_list_paper_mill,3.3306690738754695e-17
category_list_patio_covers,3.3306690738754695e-17
