feature,mean_importance
accountant,-0.0008674464014620575
residential_avg_building_area,-0.0007588583842255137
all_preschool,-0.0005786665329394092
all_estate,-0.0005546825374289077
all_club,-0.0004467800676092648
attractions_and_activities,-0.0003988892315117787
counseling_and_mental_health,-0.00037277973845770693
b2b_furniture_and_housewares,-0.0003129979507286107
public_service_and_government,-0.0002691267643198492
all_apartments,-0.0002509889027206613
cricket_ground,-0.0002312975123269001
all_dealer,-0.0002272443496964094
all_gardening,-0.0002029826744322838
pet_groomer,-0.00019340035151347302
all_center,-0.0001869583163694455
b2b_science_and_technology,-0.0001552908081715487
all_dentist,-0.0001520401604591881
all_park,-0.0001396995385369748
residential_total_area,-0.00012749074164074558
gastropub,-0.00011245185249176836
oil_and_gas,-0.0001119501015428348
mortgage_lender,-0.00011066660181723309
all_provider,-0.00010320595459857307
health_and_medical,-9.720157668787754e-05
bike_repair_maintenance,-9.575535056378648e-05
trusts,-8.948603221315965e-05
all_planning,-8.916682652061469e-05
all_court,-8.324083469198884e-05
all_installation,-8.191599386778715e-05
all_union,-8.130380693155415e-05
all_venue,-7.978890071845824e-05
structure_and_geography,-7.829825434104709e-05
all_spa,-7.504683690746638e-05
caterer,-7.253114760599199e-05
airlines,-7.199644728075327e-05
bridge,-6.564097709249594e-05
energy_equipment_and_solution,-6.308822539586867e-05
key_and_locksmith,-6.052883736281656e-05
all_office,-5.679672826339743e-05
all_supplies,-5.653103599237985e-05
naturopathic_holistic,-5.351187138402658e-05
hostel,-5.327156973838898e-05
lawyer,-5.207359358990749e-05
investing,-5.1357423545395076e-05
arts_and_crafts,-4.891156788916495e-05
all_studio,-4.8722426127290055e-05
tattoo,-4.8063680040921765e-05
automotive,-4.719085982457516e-05
plasterer,-4.657596419668231e-05
boutique,-4.1556714863622e-05
retail,-4.147325247717548e-05
all_management,-4.073262853976356e-05
private_tutor,-3.8127253342024045e-05
all_room,-3.763766129758483e-05
commercial_total_area,-3.6963153770552815e-05
supermarket,-3.401913765908038e-05
all_photography,-3.236457307050911e-05
auto_detailing,-3.1987307688730035e-05
all_team,-3.1321233791525846e-05
playground,-2.7760341716531745e-05
all_instruction,-2.711196915534675e-05
eyewear_and_optician,-2.6236013532043857e-05
painting,-2.4886048666372675e-05
all_therapist,-2.4315584656764422e-05
all_agents,-2.3841140942737483e-05
ethical_grocery,-2.1555875225909294e-05
funeral_services_and_cemeteries,-2.1218401901457185e-05
all_artist,-2.0316848039148016e-05
videographer,-1.9247242856734736e-05
osteopath,-1.7352951015658923e-05
all_arena,-1.7040856407291027e-05
parking,-1.6702289589032303e-05
carpenter,-1.6626856935064717e-05
all_piercing,-1.633879656518511e-05
all_bookstore,-1.4400001325343136e-05
family_practice,-1.4159717995587684e-05
optometrist,-1.3719622012908772e-05
all_mining,-1.352386048564247e-05
doner_kebab,-1.3400070691138577e-05
electrician,-1.2521849650470873e-05
river,-1.175404279145642e-05
electronics,-1.110339408354477e-05
all_class,-1.034991682026254e-05
all_removal,-1.0103836636654595e-05
all_course,-8.77106984752407e-06
nature_reserve,-8.71065648611058e-06
chimney_sweep,-8.544581124725336e-06
all_supply,-8.326561595328741e-06
laundromat,-7.566771974165665e-06
delicatessen,-6.835832701390654e-06
kitchen_and_bath,-6.379392026434338e-06
orthopedist,-6.081893505871516e-06
chemical_plant,-5.616247015927112e-06
all_medicine,-3.89010035583004e-06
security_systems,-3.752635663789583e-06
fishmonger,-3.7140605673169347e-06
all_media,-3.3962991924929575e-06
all_supplier,-3.2031564607959417e-06
casino,-2.9808553260513015e-06
all_tours,-2.835034417181248e-06
performing_arts,-2.4937990233286912e-06
cinema,-1.3036388441411972e-06
all_landscaping,-7.83134113702122e-07
courthouse,-7.318385086940716e-07
financial_advising,0.0
laser_eye_surgery_lasik,0.0
lake,0.0
food_truck,0.0
laboratory,0.0
food_stand,0.0
all_counselor,0.0
kiosk,0.0
iron_and_steel_industry,0.0
all_exporter,0.0
all_florist,0.0
karaoke,0.0
junkyard,0.0
fashion,0.0
iron_work,0.0
all_contractors,0.0
jazz_and_blues,0.0
fertility,0.0
jail_and_prison,0.0
firework_retailer,0.0
grain_elevators,0.0
housing_cooperative,0.0
all_rink,0.0
gastroenterologist,0.0
gelato,0.0
law_enforcement,0.0
hematology,0.0
all_coach,0.0
genealogists,0.0
gardener,0.0
general_festivals,0.0
