feature,mean_importance
all_estate,-0.0013833686217277874
residential_avg_building_area,-0.00083078727596817
caterer,-0.0005292192498144277
b2b_furniture_and_housewares,-0.0005140756254467971
all_organization,-0.0004976335090598916
all_dentist,-0.00048179994942672
public_service_and_government,-0.00044017255647949005
office_avg_building_area,-0.00039024810023109425
all_office,-0.000373584432316898
all_preschool,-0.00036362108742659104
all_venue,-0.00031691296316199713
auto_detailing,-0.0002712885053213876
all_dealer,-0.0002706042399100328
automotive,-0.00026813422923277486
all_gardening,-0.00026434567733290003
all_education,-0.00021898576847562135
counseling_and_mental_health,-0.00021829281485907792
lawyer,-0.00017615519659466283
all_transportation,-0.00015995259329282252
all_club,-0.00015647406504414317
active_life,-0.00014836626033672972
all_landscaping,-0.00013844980112671658
all_provider,-0.00013818949561725802
church_cathedral,-0.0001311599610144265
mortgage_lender,-0.0001268748310981893
b2b_science_and_technology,-0.00012460157029290376
oil_and_gas,-0.00011089418076837276
all_service,-0.00010965583094613152
office_total_area,-0.00010595151211474363
bridge,-0.00010559681060157144
all_tinting,-0.00010535399363920117
library,-9.91822511043905e-05
structure_and_geography,-9.771813390536676e-05
energy_equipment_and_solution,-9.75789532822069e-05
all_security,-9.718525873597672e-05
junk_removal_and_hauling,-9.288743303589308e-05
all_food,-8.722244111039056e-05
all_distribution,-7.998869390852814e-05
trusts,-7.769131732043855e-05
all_consultant,-7.159357820459843e-05
gastropub,-6.489582988403742e-05
accountant,-6.429640811099757e-05
all_equipment,-6.408189876268011e-05
cricket_ground,-6.052872488782057e-05
funeral_services_and_cemeteries,-6.0366950132673125e-05
fashion,-5.8176937236820156e-05
all_supplier,-5.816040035609982e-05
veterinarian,-5.559988115380055e-05
sewing_and_alterations,-5.508153320171738e-05
all_bar,-5.473550622800971e-05
boutique,-4.9999891646590465e-05
spas,-4.831252101402672e-05
all_temple,-4.723556740138246e-05
structural_engineer,-4.6978265197328287e-05
all_church,-4.680783772734731e-05
all_companies,-4.6432383916872325e-05
performing_arts,-4.301418057932605e-05
all_course,-4.219704354626597e-05
casino,-4.2134554003614434e-05
all_therapist,-4.200737016953893e-05
all_remodeling,-4.1262923017837406e-05
airlines,-4.020362699191926e-05
warehouses,-3.995539400226677e-05
brewery,-3.980500685561994e-05
optometrist,-3.937772144915197e-05
all_management,-3.8009637467573135e-05
all_market,-3.7213677461778175e-05
all_artist,-3.5658837233965014e-05
all_installation,-3.408944116505275e-05
distillery,-3.138912299284202e-05
art_gallery,-3.068814100761763e-05
all_care,-2.8137596045063605e-05
arts_and_crafts,-2.7660932846740317e-05
ethical_grocery,-2.643074918996513e-05
mosque,-2.5502272617394795e-05
all_goods,-2.4833010906677445e-05
dog_walkers,-2.260245288153717e-05
retail,-2.1948560924056613e-05
armed_forces_branch,-1.865489412488097e-05
all_studio,-1.7974680214749572e-05
chimney_sweep,-1.6018769477921246e-05
river,-1.589448278188632e-05
chemical_plant,-1.5802698858247143e-05
all_team,-1.5185051386179538e-05
tattoo,-1.4875264718894333e-05
all_manufacturer,-1.4620134670106922e-05
all_mining,-1.4219807006254915e-05
airport_shuttles,-1.4186331370635852e-05
vitamins_and_supplements,-1.3977124386399532e-05
cafetaria,-1.3815001485184553e-05
nature_reserve,-1.3261938015152186e-05
psychotherapist,-1.3251723211904487e-05
monument,-1.307638229647301e-05
videographer,-1.251654025091753e-05
eat_and_drink,-1.1387310418586872e-05
firework_retailer,-1.1322931540269643e-05
all_buyer,-1.128061159958449e-05
parking,-1.0952417381338009e-05
all_supplies,-1.0389425635037864e-05
