feature,mean_importance
business_signage,-0.0011325539833961563
community_services_non_profits,-0.000533385606773984
all_supply,-0.0004882186854256565
all_transportation,-0.0004550533327802975
laser_tag,-0.00042100799201845175
all_restaurant,-0.00029393439091900396
all_store,-0.00025889662488194355
retail,-0.00023032356213459337
all_facility,-0.000189289201136289
all_therapy,-0.00018039274021190986
security_systems,-0.00017721698127844409
movers,-0.00016933960289652327
all_goods,-0.0001690126367295597
naturopathic_holistic,-0.00015556401116502693
all_accessories,-0.0001471246882283228
all_wear,-0.00014658512517154998
all_estate,-0.0001457909191827478
all_repair,-0.0001428467292492963
shopping,-0.00013052028897792556
all_room,-0.00012642961561096233
all_station,-0.00012573895937723067
psychic,-0.0001180906578366725
all_accommodation,-0.00011576692966486224
gardener,-0.00011406745574081278
b2b_food_products,-0.00011275951618991976
reiki,-0.00010585148894415864
all_designer,-0.00010460025124793826
auditorium,-0.00010250567906125996
desserts,-0.00010041289457274894
campground,-9.888953834077951e-05
sign_making,-9.712382050581226e-05
test_preparation,-9.283137666090125e-05
outdoor_gear,-9.14753062123852e-05
attractions_and_activities,-9.008636854410668e-05
all_church,-8.752063277406852e-05
winery,-7.721576406811149e-05
all_venue,-7.51727763767751e-05
all_production,-7.374050823063527e-05
all_studio,-7.211880806012871e-05
general_dentistry,-7.139824487186197e-05
mosque,-5.8144994195946656e-05
active_life,-5.702359472005147e-05
all_trainer,-5.613486036311066e-05
all_business,-5.2737365054672526e-05
opera_and_ballet,-5.243967291463924e-05
fertility,-5.104816777014576e-05
orthopedist,-5.044424437531392e-05
record_label,-4.969554295122802e-05
casino,-4.86912573005982e-05
canal,-4.709884743548942e-05
all_cafe,-3.9762528773917837e-05
bakery,-3.9000004633060746e-05
all_photography,-3.666592686928927e-05
bike_repair_maintenance,-3.6132185602000266e-05
all_equipment,-3.551422542387717e-05
all_spa,-3.372913977618408e-05
banks,-2.97732417835761e-05
computer_coaching,-2.9229057615320908e-05
painting,-2.706259931714028e-05
radio_and_television_commercials,-2.5320687190782954e-05
psychic_medium,-2.418438946267254e-05
iron_and_steel_industry,-2.3180078662377036e-05
eatertainment,-2.1234073132481157e-05
junkyard,-1.9228185793535023e-05
all_centers,-1.8773473837629952e-05
all_businesses,-1.6897277478822303e-05
builders,-1.6368014620854464e-05
all_media,-1.568016224491875e-05
food_stand,-1.4184398822925104e-05
data_recovery,-1.2430918653116852e-05
monument,-1.230832713323693e-05
investing,-7.0465055520552156e-06
condominium,-5.584575471617725e-06
business_consulting,-4.406738530843279e-06
all_removal,-4.367909734220854e-06
nutritionist,-3.8601162955176346e-06
