feature,mean_importance
all_association,-0.0002777159103899196
all_removal,-0.00021842756989000068
all_transportation,-0.000213537915421258
all_league,-0.0001962771520261919
business_signage,-0.00018787589364994696
laser_tag,-0.00016173850111322885
psychic,-0.00014362279672626156
shutters,-8.802055101935768e-05
metal_fabricator,-8.351248316466054e-05
optometrist,-7.592495948052224e-05
firework_retailer,-7.354176770513755e-05
all_shelter,-6.868414395382328e-05
canal,-6.705180316513015e-05
reiki,-6.1027207340202946e-05
all_distribution,-5.4221885940314296e-05
all_stores,-4.7086332729662225e-05
all_agency,-4.470447986579806e-05
arts_and_crafts,-4.41401213859105e-05
radio_and_television_commercials,-3.954127865500312e-05
all_instruction,-3.8418333999057365e-05
caterer,-3.531391868459299e-05
all_clothing,-3.4563651226432454e-05
all_law,-3.421135508862028e-05
all_designer,-3.162589732406129e-05
orthopedist,-3.0609500141837163e-05
bowling_alley,-2.6250289007201388e-05
cabin,-2.271568620784703e-05
public_relations,-2.120006029658339e-05
all_class,-1.789378151649812e-05
all_cleaning,-1.5804466128954696e-05
all_rentals,-1.4995269984241499e-05
swimming_pool,-1.358206060495526e-05
all_avg_building_area,-1.1093344924689719e-05
hypnosis_hypnotherapy,-1.0980564866114317e-05
trusts,-1.0612257928527269e-05
brewery,-1.010612729314686e-05
record_label,-9.682561221291407e-06
bathtub_and_sink_repairs,-8.22139013639811e-06
banks,-6.49890742314696e-06
all_course,-6.2508519530879434e-06
all_therapy,-5.8730314349553225e-06
all_clinic,-5.3878689396325005e-06
general_dentistry,-2.756112031054858e-06
junk_removal_and_hauling,-2.3001070185435513e-06
all_metals,-2.112070189158599e-06
hiking_trail,-8.687365065096486e-07
nutritionist,-6.219170703203325e-07
shades_and_blinds,0.0
all_home,0.0
all_room,0.0
all_decor,0.0
all_companies,0.0
all_arena,0.0
hematology,0.0
hearing_aids,0.0
all_coach,0.0
handyman,0.0
sewing_and_alterations,0.0
hair_replacement,0.0
emissions_inspection,0.0
endocrinologist,0.0
endodontist,0.0
energy_equipment_and_solution,0.0
home_automation,0.0
all_consultants,0.0
home_developer,0.0
embassy,0.0
doner_kebab,0.0
housing_cooperative,0.0
housing_authorities,0.0
donuts,0.0
all_sitting,0.0
sculpture_statue,0.0
drugstore,0.0
hot_tubs_and_pools,0.0
embroidery_and_crochet,0.0
ear_nose_and_throat,0.0
spas,0.0
hospice,0.0
eatertainment,0.0
all_institute,0.0
horse_riding,0.0
skilled_nursing,0.0
all_boarding,0.0
electronics,0.0
hostel,0.0
hair_extensions,0.0
gun_and_ammo,0.0
grain_elevators,0.0
furniture_reupholstery,0.0
all_manufacturers,0.0
furniture_assembly,0.0
all_fair,0.0
funeral_services_and_cemeteries,0.0
all_counselor,0.0
fruits_and_vegetables,0.0
sign_making,0.0
all_foods,0.0
fountain,0.0
food_truck,0.0
food_stand,0.0
fashion,0.0
all_exporter,0.0
all_contractors,0.0
fishmonger,0.0
shopping,0.0
eyewear_and_optician,0.0
financial_advising,0.0
exporters,0.0
all_therapist,0.0
engraving,0.0
all_businesses,0.0
all_instructor,0.0
all_testing,0.0
all_track,0.0
general_litigation,0.0
general_festivals,0.0
all_massage,0.0
genealogists,0.0
gelato,0.0
gastropub,0.0
gastroenterologist,0.0
escape_rooms,0.0
estate_liquidation,0.0
ethical_grocery,0.0
gardener,0.0
all_planning,0.0
all_gardening,0.0
furniture_wholesalers,0.0
fertility,0.0
all_rink,0.0
pet_groomer,0.0
pet_breeder,0.0
personal_chef,0.0
personal_assistant,0.0
permanent_makeup,0.0
performing_arts,0.0
pension,0.0
pediatrician,0.0
patio_covers,0.0
parking,0.0
all_mill,0.0
palace,0.0
painting,0.0
paintball,0.0
paint_your_own_pottery,0.0
outdoor_gear,0.0
osteopathic_physician,0.0
osteopath,0.0
orthodontist,0.0
ophthalmologist,0.0
opera_and_ballet,0.0
all_zoo,0.0
pharmacy,0.0
pier,0.0
all_piercing,0.0
restaurant_wholesale,0.0
all_resort,0.0
reflexology,0.0
real_estate_investment,0.0
railroad_freight,0.0
radiologist,0.0
public_service_and_government,0.0
psychotherapist,0.0
all_psychologist,0.0
psychic_medium,0.0
oil_refiners,0.0
psychiatrist,0.0
private_tutor,0.0
private_jet_charters,0.0
private_investigation,0.0
private_equity_firm,0.0
all_washing,0.0
all_billiards,0.0
podiatrist,0.0
all_plaza,0.0
plasterer,0.0
planetarium,0.0
process_servers,0.0
oil_and_gas,0.0
occupational_safety,0.0
obstetrician_and_gynecologist,0.0
linen,0.0
screen_printing_t_shirt_printing,0.0
lawyer,0.0
law_enforcement,0.0
laundromat,0.0
laser_eye_surgery_lasik,0.0
land_surveying,0.0
lake,0.0
laboratory,0.0
kitchen_and_bath,0.0
lodge,0.0
kiosk,0.0
karaoke,0.0
junkyard,0.0
speakeasy,0.0
jazz_and_blues,0.0
jail_and_prison,0.0
iron_work,0.0
iron_and_steel_industry,0.0
investing,0.0
all_landscaping,0.0
importers,0.0
kids_recreation_and_party,0.0
ice_cream_and_frozen_yoghurt,0.0
