feature,mean_importance
residential_lsoa_area_ratio,-0.00020778286286406988
all_training,-6.560391034583501e-05
all_park,-5.2998286722050206e-05
all_arena,-2.6309656268030945e-05
public_service_and_government,-2.60474374925157e-05
all_lsoa_area_ratio,-2.4485767599602414e-05
all_estate,-2.3368211912133675e-05
atms,-2.1140987375312114e-05
housing_authorities,-2.0781268489744597e-05
office_lsoa_area_ratio,-2.0678230575288393e-05
eat_and_drink,-1.7671192798662805e-05
church_cathedral,-1.3332934715448719e-05
kids_recreation_and_party,-1.1651751807173483e-05
b2b_science_and_technology,-1.0965982907473748e-05
financial_advising,-8.821581327878026e-06
all_league,-8.28549485292207e-06
all_restaurant,-8.20942000648861e-06
attractions_and_activities,-8.130613612289394e-06
all_removal,-7.121723774416999e-06
all_repair,-6.690086394678385e-06
library,-6.127138045486369e-06
banks,-5.531141502501668e-06
embassy,-5.4295235422552325e-06
telecommunications,-4.761867507030448e-06
all_tinting,-3.6511780598713627e-06
public_relations,-3.4121841168799348e-06
all_range,-3.0165692239458863e-06
brewery,-2.52195609713457e-06
all_farm,-2.2570725855541873e-06
all_avg_building_area,-1.0885502541690962e-06
all_supply,-9.806176957005696e-07
iron_work,0.0
all_landscaping,0.0
all_club,0.0
hypnosis_hypnotherapy,0.0
kitchen_and_bath,0.0
jazz_and_blues,0.0
winery,0.0
bookbinding,0.0
b2b_hardware,0.0
musician,0.0
all_court,0.0
bakery,0.0
mortgage_lender,0.0
mediator,0.0
diagnostic_imaging,0.0
land_surveying,0.0
marina,0.0
all_remodeling,0.0
all_rentals,0.0
all_spa,0.0
linen,0.0
law_enforcement,0.0
all_charter,0.0
laser_eye_surgery_lasik,0.0
all_stores,0.0
bike_repair_maintenance,0.0
hearing_aids,0.0
business_office_supplies_and_stationery,0.0
civil_rights_lawyers,0.0
all_laboratories,0.0
all_counselor,0.0
all_fair,0.0
ethical_grocery,0.0
commercial_printer,0.0
fishmonger,0.0
all_artist,0.0
wills_trusts_and_probate,0.0
all_room,0.0
embroidery_and_crochet,0.0
ear_nose_and_throat,0.0
donuts,0.0
doctor,0.0
escape_rooms,0.0
all_contractors,0.0
fountain,0.0
chemical_plant,0.0
all_management,0.0
business_signage,0.0
occupational_safety,0.0
all_cafe,0.0
canal,0.0
all_broker,0.0
general_litigation,0.0
general_dentistry,0.0
genealogists,0.0
all_counseling,0.0
gastroenterologist,0.0
casino,0.0
caterer,0.0
cave,0.0
furniture_assembly,0.0
all_gardening,0.0
all_equipment,0.0
diner,0.0
all_instruction,0.0
all_restoration,0.0
plasterer,0.0
playground,0.0
podiatrist,0.0
all_accommodation,0.0
all_washing,0.0
accountant,0.0
private_equity_firm,0.0
aquarium,0.0
private_investigation,0.0
private_jet_charters,0.0
tattoo,0.0
acupuncture,0.0
synagogue,0.0
psychotherapist,0.0
quay,0.0
swimming_pool,0.0
reflexology,0.0
roofing,0.0
b2b_apparel,0.0
