feature,mean_importance
residential_lsoa_area_ratio,-0.00025119259668542336
all_surgeon,-0.0001546779583383784
all_office,-8.721403425524522e-05
eat_and_drink,-8.708545880782292e-05
all_business,-7.437204200024805e-05
college_university,-5.00794606544952e-05
all_clothing,-4.3242021033707e-05
all_station,-3.713263587151738e-05
all_lsoa_area_ratio,-1.7309793297715092e-05
commercial_lsoa_area_ratio,-1.1125262866396035e-06
gastropub,0.0
christmas_trees,0.0
all_offices,0.0
importers,1.1102230246251566e-17
fertility,1.1102230246251566e-17
waxing,1.1102230246251566e-17
all_supply,1.1102230246251566e-17
all_repair,1.1102230246251566e-17
wills_trusts_and_probate,1.1102230246251566e-17
all_schools,1.1102230246251566e-17
neurologist,1.1102230246251566e-17
beach,1.1102230246251566e-17
doctor,1.1102230246251566e-17
all_medicine,1.1102230246251566e-17
security_systems,1.1102230246251566e-17
dietitian,1.1102230246251566e-17
chimney_sweep,1.1102230246251566e-17
atms,1.1102230246251566e-17
church_cathedral,1.1102230246251566e-17
all_laboratories,1.1102230246251566e-17
all_artist,1.1102230246251566e-17
aromatherapy,1.1102230246251566e-17
oil_refiners,1.1102230246251566e-17
fishmonger,1.1102230246251566e-17
screen_printing_t_shirt_printing,1.1102230246251566e-17
paint_your_own_pottery,1.1102230246251566e-17
beer_wine_and_spirits,1.1102230246251566e-17
all_hall,1.1102230246251566e-17
b2b_textiles,1.1102230246251566e-17
home_automation,1.1102230246251566e-17
commercial_refrigeration,1.1102230246251566e-17
b2b_food_products,1.1102230246251566e-17
all_buyer,1.1102230246251566e-17
gastroenterologist,1.1102230246251566e-17
general_dentistry,1.1102230246251566e-17
bridge,1.1102230246251566e-17
stone_and_masonry,2.2204460492503132e-17
structure_and_geography,2.2204460492503132e-17
bed_and_breakfast,2.2204460492503132e-17
all_agencies,2.2204460492503132e-17
occupational_safety,2.2204460492503132e-17
chocolatier,2.2204460492503132e-17
all_management,2.2204460492503132e-17
all_temple,2.2204460492503132e-17
chemical_plant,2.2204460492503132e-17
all_loans,2.2204460492503132e-17
all_charter,2.2204460492503132e-17
all_training,2.2204460492503132e-17
all_remodeling,2.2204460492503132e-17
bookkeeper,2.2204460492503132e-17
books_mags_music_and_video,2.2204460492503132e-17
all_bookstore,2.2204460492503132e-17
carpenter,2.2204460492503132e-17
nutritionist,2.2204460492503132e-17
bowling_alley,2.2204460492503132e-17
all_club,2.2204460492503132e-17
psychotherapist,2.2204460492503132e-17
casino,2.2204460492503132e-17
all_preschool,2.2204460492503132e-17
all_dentist,2.2204460492503132e-17
grain_elevators,2.2204460492503132e-17
