feature,mean_importance
population,-0.0005188249372059028
53_RandomForest_prediction,-0.00040712830360076224
55_RandomForest_prediction,-0.0003953962969526381
all_store,-0.0002835946377362897
residential_lsoa_area_ratio,-0.0002189088231027647
24_RandomForest_prediction,-0.00018832298806324975
41_RandomForest_prediction,-0.0001722773269326794
all_restaurant,-0.0001473287978639215
theatre,-0.00010921988689746587
all_services,-0.00010589873080101841
college_university,-9.90515528750402e-05
all_church,-7.661980658986156e-05
all_shop,-7.573239744123605e-05
monument,-7.057674863957807e-05
all_salon,-7.017235230181163e-05
residential_total_area,-4.822271117528309e-05
sign_making,-4.781503387044639e-05
all_food,-4.1385344210082e-05
all_court,-3.9410526237981804e-05
all_apartments,-3.693210822682258e-05
shopping,-3.685198232601383e-05
retail,-3.432654265583257e-05
cinema,-3.336888095705759e-05
electrician,-2.3563164458967333e-05
doctor,-2.030972992246305e-05
all_department,-1.7866125856857984e-05
commercial_avg_building_area,-1.7621950341983882e-05
bakery,-1.7582638681068463e-05
all_association,-1.658519044817619e-05
all_contractor,-1.6284295431384653e-05
all_repair,-1.6185061952789238e-05
sewing_and_alterations,-1.5958178158759218e-05
automotive,-1.5523352251889387e-05
all_avg_building_area,-1.4864442638190534e-05
barber,-1.385738378485435e-05
all_plaza,-1.3740075635937377e-05
all_management,-1.299921297055473e-05
all_designer,-1.2864437106407944e-05
all_fair,-1.268751027018733e-05
commercial_industrial,-1.2169692306701619e-05
commercial_total_area,-1.2045428586204831e-05
pharmacy,-1.0192959863064565e-05
all_education,-1.0133810053275516e-05
all_training,-9.930155616844072e-06
all_centers,-9.769524914748917e-06
all_studio,-9.62741710430759e-06
all_boarding,-9.518570377570202e-06
all_dentist,-7.825732998401058e-06
all_service,-7.790812552416204e-06
all_removal,-7.682620528998152e-06
fashion,-7.547250737566236e-06
parking,-6.6900355813026556e-06
all_design,-6.686729210803044e-06
airport_terminal,-6.5238382420174105e-06
audiologist,-6.08050958010864e-06
business_signage,-5.947953306884024e-06
oil_and_gas,-5.272983095905292e-06
b2b_furniture_and_housewares,-5.000321679843323e-06
