feature,mean_importance
population,-0.0023700489541714554
all_avg_building_area,-0.00103787304320484
all_building,-0.001029210425713567
Ensemble_prediction,-0.0006204796643742627
all_lsoa_area_ratio,-0.0005513031843455863
38_Xgboost_prediction,-0.0005327251864356564
19_Xgboost_prediction,-0.0005069016848434193
all_education,-0.0003917056013466369
43_RandomForest_prediction,-0.0003627679035424269
commercial_avg_building_area,-0.00035910289606772006
all_cafe,-0.0003523730128094815
electrician,-0.00028785923737729703
12_RandomForest_prediction,-0.0002845168521386721
all_gym,-0.00022795816701987048
all_store,-0.00022567589831323787
17_Xgboost_prediction,-0.00022035952145915694
bakery,-0.00020644609492611598
pet_groomer,-0.00017375445470318995
commercial_total_area,-0.00016830352537096084
53_RandomForest_prediction,-0.00016228452270051764
theatre,-0.00015598674060904872
all_office,-0.00015478237482363655
atms,-0.00015431684713992366
pharmacy,-0.0001523190660391971
all_studio,-0.00014729529125105944
all_park,-0.00014452143578863597
retail_lsoa_area_ratio,-0.00014389683991022917
library,-0.00013805521810472676
all_spa,-0.00013598052783472258
num_places,-0.0001349733544839471
48_Xgboost_prediction,-0.00013315389294915603
all_photography,-0.00011910083059009091
luggage_storage,-0.0001095138860641831
all_venue,-0.00010868019609301393
public_service_and_government,-0.00010125311371150802
all_cleaning,-9.496597368977567e-05
office_total_area,-9.356347733272541e-05
all_broker,-9.061061379314061e-05
all_restaurant,-8.806483361704088e-05
residential_lsoa_area_ratio,-8.046788306584896e-05
all_manufacturers,-7.635701241165416e-05
office_avg_building_area,-7.630912374148035e-05
dog_walkers,-7.370217271935875e-05
caterer,-6.670849474949003e-05
lawyer,-6.60908053224496e-05
all_therapy,-6.446630056898828e-05
counseling_and_mental_health,-6.082826748888825e-05
church_cathedral,-5.506819205888247e-05
all_removal,-5.377518615180543e-05
motor_freight_trucking,-5.284736140082069e-05
all_stadium,-5.1724914282436084e-05
all_planning,-4.902877299599595e-05
currency_exchange,-4.5434456483872673e-05
kitchen_and_bath,-4.516640470619837e-05
all_boarding,-4.145526216181583e-05
doctor,-3.842477498099406e-05
all_contractor,-3.8258349086783824e-05
painting,-3.812233536507614e-05
all_preschool,-3.8110179891226446e-05
all_church,-3.5301989838842916e-05
all_market,-2.5818224741080976e-05
acupuncture,-2.428719659529621e-05
all_care,-1.3339714203464136e-05
podiatrist,-1.1986234414895769e-05
all_shelter,-6.94624146647671e-06
all_supplier,-5.8954626857121715e-06
barber,-3.681225018259404e-06
all_training,-1.8281797757091488e-06
automotive,-8.777533518022906e-07
telecommunications,-1.5746173929187534e-07
active_life,-7.872361119654059e-08
general_festivals,0.0
all_food,0.0
all_exporter,0.0
lottery_ticket,0.0
lodge,0.0
linen,0.0
food_stand,0.0
all_goods,0.0
food_truck,0.0
all_track,0.0
law_enforcement,0.0
fountain,0.0
all_course,0.0
laundromat,0.0
laser_tag,0.0
general_litigation,0.0
general_dentistry,0.0
hearing_aids,0.0
genealogists,0.0
mountain,0.0
furniture_reupholstery,0.0
mosque,0.0
furniture_wholesalers,0.0
mortgage_lender,0.0
monument,0.0
gardener,0.0
all_metals,0.0
gastroenterologist,0.0
all_instructor,0.0
metal_fabricator,0.0
gastropub,0.0
media_news_website,0.0
matchmaker,0.0
gelato,0.0
all_media,0.0
all_florist,0.0
masonry_concrete,0.0
marina,0.0
marble_and_granite_professionals,0.0
mediator,0.0
magician,0.0
laser_eye_surgery_lasik,0.0
land_surveying,0.0
housing_authorities,0.0
all_sitting,0.0
hot_tubs_and_pools,0.0
hair_extensions,0.0
hostel,0.0
hospice,0.0
horse_riding,0.0
movers,0.0
gun_and_ammo,0.0
hair_replacement,0.0
home_automation,0.0
hair_stylist,0.0
all_decor,0.0
all_companies,0.0
all_arena,0.0
hiking_trail,0.0
hematology,0.0
handyman,0.0
home_developer,0.0
all_coach,0.0
housing_cooperative,0.0
hypnosis_hypnotherapy,0.0
lake,0.0
fruits_and_vegetables,0.0
laboratory,0.0
all_foods,0.0
kiosk,0.0
kids_recreation_and_party,0.0
karaoke,0.0
junkyard,0.0
all_gardening,0.0
junk_removal_and_hauling,0.0
jail_and_prison,0.0
iron_work,0.0
iron_and_steel_industry,0.0
furniture_assembly,0.0
importers,0.0
grain_elevators,0.0
all_rink,0.0
ice_cream_and_frozen_yoghurt,0.0
jazz_and_blues,0.0
all_landscaping,0.0
outdoor_gear,0.0
nature_reserve,0.0
structural_engineer,0.0
stone_and_masonry,0.0
steel_fabricators,0.0
steakhouse,0.0
spray_tanning,0.0
speakeasy,0.0
skilled_nursing,0.0
sign_making,0.0
shutters,0.0
shopping,0.0
shades_and_blinds,0.0
structure_and_geography,0.0
all_therapist,0.0
security_systems,0.0
sculpture_statue,0.0
all_instruction,0.0
screen_printing_t_shirt_printing,0.0
rugby_pitch,0.0
roofing,0.0
rock_climbing_spot,0.0
river,0.0
restaurant_wholesale,0.0
all_resort,0.0
reiki,0.0
sewing_and_alterations,0.0
studio_taping,0.0
superstore,0.0
swimming_pool,0.0
winery,0.0
wills_trusts_and_probate,0.0
wildlife_sanctuary,0.0
wholesale_grocer,0.0
waxing,0.0
waterproofing,0.0
warehouses,0.0
vitamins_and_supplements,0.0
videographer,0.0
veterinarian,0.0
used_vintage_and_consignment,0.0
urologist,0.0
university_housing,0.0
trusts,0.0
all_agents,0.0
trains,0.0
tiling,0.0
ticket_sales,0.0
theatrical_productions,0.0
theaters_and_performance_venues,0.0
test_preparation,0.0
television_service_providers,0.0
teeth_whitening,0.0
tattoo,0.0
synagogue,0.0
reflexology,0.0
musician,0.0
record_label,0.0
railroad_freight,0.0
pediatrician,0.0
patio_covers,0.0
all_mill,0.0
palace,0.0
paintball,0.0
paint_your_own_pottery,0.0
all_contractors,0.0
osteopathic_physician,0.0
osteopath,0.0
orthopedist,0.0
orthodontist,0.0
pension,0.0
optometrist,0.0
opera_and_ballet,0.0
oil_refiners,0.0
oil_and_gas,0.0
occupational_safety,0.0
obstetrician_and_gynecologist,0.0
observatory,0.0
nutritionist,0.0
nurse_practitioner,0.0
notary_public,0.0
neurologist,0.0
naturopathic_holistic,0.0
ophthalmologist,0.0
permanent_makeup,0.0
personal_assistant,0.0
personal_chef,0.0
radiologist,0.0
radio_and_television_commercials,0.0
quay,0.0
public_relations,0.0
psychotherapist,0.0
all_psychologist,0.0
psychic_medium,0.0
psychic,0.0
psychiatrist,0.0
process_servers,0.0
private_tutor,0.0
private_jet_charters,0.0
private_investigation,0.0
private_equity_firm,0.0
all_washing,0.0
all_billiards,0.0
all_plaza,0.0
playground,0.0
plasterer,0.0
planetarium,0.0
all_piercing,0.0
pier,0.0
all_zoo,0.0
pets,0.0
pet_breeder,0.0
real_estate_investment,0.0
fishmonger,0.0
fertility,0.0
all_department,0.0
bookkeeper,0.0
bookbinding,0.0
all_charter,0.0
all_offices,0.0
all_hall,0.0
bike_repair_maintenance,0.0
beer_wine_and_spirits,0.0
all_garden,0.0
bed_and_breakfast,0.0
all_rentals,0.0
beach,0.0
bathtub_and_sink_repairs,0.0
all_remodeling,0.0
all_stores,0.0
all_field,0.0
bartender,0.0
all_classes,0.0
banks,0.0
all_court,0.0
books_mags_music_and_video,0.0
all_bookstore,0.0
all_camp,0.0
boutique,0.0
campground,0.0
cafetaria,0.0
cabin,0.0
business_signage,0.0
all_schools,0.0
all_management,0.0
business_office_supplies_and_stationery,0.0
all_supply,0.0
business_consulting,0.0
baby_gear_and_furniture,0.0
all_advertising,0.0
builders,0.0
all_temple,0.0
bubble_tea,0.0
all_brokers,0.0
bridge,0.0
brewery,0.0
brasserie,0.0
all_class,0.0
firework_retailer,0.0
all_business,0.0
b2b_textiles,0.0
b2b_science_and_technology,0.0
b2b_rubber_and_plastics,0.0
aromatherapy,0.0
armed_forces_branch,0.0
architecture,0.0
all_architect,0.0
all_range,0.0
arcade,0.0
aquarium,0.0
all_apartments,0.0
all_agent,0.0
all_restoration,0.0
all_team,0.0
airport_terminal,0.0
airport,0.0
airline,0.0
all_manufacturer,0.0
all_dealer,0.0
agriculture,0.0
all_program,0.0
abuse_and_addiction_treatment,0.0
all_clinic,0.0
all_centers,0.0
canal,0.0
arts_and_crafts,0.0
astrologer,0.0
b2b_jewelers,0.0
b2b_hardware,0.0
b2b_furniture_and_housewares,0.0
all_dealers,0.0
b2b_food_products,0.0
all_mining,0.0
b2b_apparel,0.0
all_accessories,0.0
automobile_leasing,0.0
all_facility,0.0
auto_upholstery,0.0
all_provider,0.0
all_insurance,0.0
auto_detailing,0.0
auto_customization,0.0
auditorium,0.0
audiologist,0.0
all_house,0.0
all_tours,0.0
attractions_and_activities,0.0
auto_manufacturers_and_distributors,0.0
all_buyer,0.0
bowling_alley,0.0
ethical_grocery,0.0
all_wear,0.0
all_farm,0.0
cricket_ground,0.0
exporters,0.0
all_space,0.0
all_businesses,0.0
courthouse,0.0
data_recovery,0.0
cottage,0.0
condominium,0.0
all_wholesaler,0.0
computer_coaching,0.0
all_room,0.0
all_artist,0.0
escape_rooms,0.0
emissions_inspection,0.0
embroidery_and_crochet,0.0
financial_advising,0.0
delicatessen,0.0
dermatologist,0.0
ear_nose_and_throat,0.0
eatertainment,0.0
estate_liquidation,0.0
all_institute,0.0
drugstore,0.0
donuts,0.0
doner_kebab,0.0
all_vehicles,0.0
all_inspector,0.0
all_trainer,0.0
distillery,0.0
diner,0.0
dietitian,0.0
diagnostic_imaging,0.0
desserts,0.0
embassy,0.0
electronics,0.0
commercial_refrigeration,0.0
eyewear_and_optician,0.0
commercial_printer,0.0
all_fair,0.0
chiropractor,0.0
chimney_sweep,0.0
chemical_plant,0.0
all_consultants,0.0
all_loans,0.0
engraving,0.0
