feature,mean_importance
all_brokers,-0.0009603895092095471
bridge,-0.0008080111097068076
barber,-0.0004032887853315237
bubble_tea,-0.0003461376428356089
b2b_science_and_technology,-0.00028537649224775753
radiologist,-0.00028185452970690416
hair_replacement,-0.00026988842545579985
bookkeeper,-0.0002475527555307222
all_station,-0.0002243547132153467
caterer,-0.00021701477774711543
acupuncture,-0.00021457090686424207
pharmacy,-0.00020921384888488158
all_league,-0.00019317752499264929
all_centers,-0.00018561897068232193
pet_groomer,-0.0001666058126460368
all_fair,-0.00015924235896438432
residential_total_area,-0.0001502658922212241
land_surveying,-0.000134276262886035
residential_avg_building_area,-0.00013338021853135374
mountain,-0.00013166275977295473
shopping,-0.0001299487918802633
teeth_whitening,-0.00012898553999938223
test_preparation,-0.00012698183702887224
all_arena,-0.00010798423439525306
all_salon,-0.0001076458817724113
all_stadium,-0.00010349212258274898
fertility,-0.00010298299317071936
all_manufacturer,-9.858001704899921e-05
chiropractor,-9.820977734320557e-05
all_boarding,-9.612968053749338e-05
radio_and_television_commercials,-8.902624889495225e-05
all_care,-8.344519954164297e-05
all_mining,-8.19136741001425e-05
all_education,-8.115889392231734e-05
airlines,-8.10016786105261e-05
painting,-7.860362548696153e-05
movers,-7.402770929469949e-05
population,-7.23505109702538e-05
laser_tag,-6.89552422135975e-05
library,-6.877536866845002e-05
delicatessen,-6.70153952709418e-05
atms,-6.625231252158637e-05
auto_detailing,-6.584575162583705e-05
canal,-6.570281702183989e-05
all_room,-6.031545986571185e-05
electrician,-5.611158291194407e-05
bed_and_breakfast,-4.5564809059550623e-05
all_engineers,-4.5052308914739216e-05
all_repair,-4.342836766886293e-05
art_gallery,-4.186114303027511e-05
warehouses,-4.0911144642652444e-05
private_tutor,-4.085697031200874e-05
funeral_services_and_cemeteries,-4.054854001894759e-05
gelato,-4.040505175125775e-05
mosque,-3.993301400305738e-05
all_equipment,-3.929061459357896e-05
all_removal,-3.899810308497509e-05
eyewear_and_optician,-3.778282757402884e-05
all_agent,-3.6162834359754203e-05
all_businesses,-3.5889834963909185e-05
b2b_apparel,-3.337762668768063e-05
bakery,-3.2679956686332276e-05
housing_authorities,-3.19268153426866e-05
hair_extensions,-3.145284893564248e-05
swimming_pool,-3.0258651821846173e-05
all_preschool,-3.01263892291459e-05
cinema,-2.916162713999526e-05
all_sitting,-2.7628501230980705e-05
beer_wine_and_spirits,-2.6630813996086912e-05
endocrinologist,-2.600504581490304e-05
pet_breeder,-2.50414209430061e-05
steakhouse,-2.3440494465742923e-05
all_designer,-2.272368864778551e-05
all_dealer,-2.0085306983830264e-05
all_business,-1.8761878604967032e-05
bowling_alley,-1.851782074978603e-05
airport_shuttles,-1.806603784291205e-05
all_facility,-1.638623646187387e-05
reiki,-1.4676732781138125e-05
all_classes,-1.4054633101978631e-05
urologist,-1.3449899313955349e-05
financial_advising,-1.3437840262309209e-05
all_billiards,-1.2583236177754475e-05
all_buyer,-1.187318013274874e-05
cafetaria,-1.0214066981706349e-05
podiatrist,-9.693942290778246e-06
all_shelter,-9.511808461126759e-06
beach,-7.750022092023467e-06
sewing_and_alterations,-7.339137370432347e-06
linen,-7.169175612309342e-06
all_exporter,-6.456609572502714e-06
business_signage,-5.907510497693557e-06
all_team,-5.150843966827967e-06
marina,-4.886355032307499e-06
masonry_concrete,-4.044901277766577e-06
dietitian,-3.3951281861122063e-06
all_loans,-3.066026472564598e-06
shades_and_blinds,-2.9230547823111407e-06
trusts,-2.8683045635413683e-06
auto_upholstery,-2.652273465464372e-06
airport,-2.6078465360401816e-06
all_court,-2.1573249302409005e-06
all_counselor,-1.955911919504505e-06
private_investigation,-1.7966838927852003e-06
armed_forces_branch,-1.7217903718669269e-06
all_inspector,-1.6282859800598182e-06
bike_repair_maintenance,-1.364439569817577e-06
personal_chef,-1.13040040572443e-06
all_tinting,-8.97424762547061e-07
all_training,-8.763012891654931e-07
importers,-6.77123711601002e-07
handyman,-4.0619501179284256e-07
b2b_rubber_and_plastics,-4.028094433117246e-07
all_landscaping,-2.633736159829425e-07
theatrical_productions,-2.2865955531248261e-07
supermarket,-3.01775296418505e-08
home_developer,0.0
shutters,0.0
genealogists,0.0
general_dentistry,0.0
home_automation,0.0
general_festivals,0.0
sculpture_statue,0.0
all_track,0.0
all_decor,0.0
grain_elevators,0.0
all_instructor,0.0
hearing_aids,0.0
gun_and_ammo,0.0
all_instruction,0.0
rugby_pitch,0.0
restaurant_wholesale,0.0
roofing,0.0
rock_climbing_spot,0.0
hematology,0.0
river,0.0
all_resort,0.0
gardener,0.0
oil_and_gas,0.0
furniture_wholesalers,0.0
tattoo,0.0
emissions_inspection,0.0
superstore,0.0
endodontist,0.0
energy_equipment_and_solution,0.0
all_consultants,0.0
engraving,0.0
escape_rooms,0.0
estate_liquidation,0.0
ethical_grocery,0.0
structure_and_geography,0.0
structural_engineer,0.0
exporters,0.0
stone_and_masonry,0.0
tiling,0.0
steel_fabricators,0.0
spray_tanning,0.0
firework_retailer,0.0
fishmonger,0.0
all_contractors,0.0
all_florist,0.0
speakeasy,0.0
food_stand,0.0
food_truck,0.0
fountain,0.0
all_foods,0.0
skilled_nursing,0.0
reflexology,0.0
all_manufacturers,0.0
furniture_reupholstery,0.0
trains,0.0
furniture_assembly,0.0
railroad_freight,0.0
hospice,0.0
all_zoo,0.0
lodge,0.0
lottery_ticket,0.0
personal_assistant,0.0
permanent_makeup,0.0
luggage_storage,0.0
magician,0.0
