feature,mean_importance
general_litigation,-0.002368084159474604
all_wholesaler,-0.001340597538032362
all_contractor,-0.0012387676003839387
office_lsoa_area_ratio,-0.0008795314437944901
plumbing,-0.0006607330699831216
shopping,-0.0006237481687166313
lawyer,-0.0006039065237881447
counseling_and_mental_health,-0.0005012912146451276
funeral_services_and_cemeteries,-0.0005004400304191691
all_apartments,-0.000477346645893606
all_designer,-0.00046488560526383174
pharmacy,-0.0004626811036394951
active_life,-0.0004479903406165997
all_company,-0.0004273610990091048
library,-0.0004115056081577917
all_manufacturers,-0.00041095275676580336
all_organization,-0.00035480366563184207
all_course,-0.00033619865084282273
outdoor_gear,-0.00032842390308670535
osteopathic_physician,-0.00032827440687714925
all_loans,-0.0003175089797330166
hypnosis_hypnotherapy,-0.00031375791332621805
accountant,-0.0003087846323874488
winery,-0.0002712620050963177
all_space,-0.00026845762213714155
residential_total_area,-0.0002670617324498914
family_practice,-0.00023983596012833175
all_education,-0.00021923093352258505
cinema,-0.0002115950269611866
home_developer,-0.00019122190929103943
all_preschool,-0.00019004037065515345
performing_arts,-0.00018936696031681687
all_facility,-0.0001889954927337678
caterer,-0.0001863647075710406
junk_removal_and_hauling,-0.0001833868332657751
all_dealer,-0.0001792275680233102
all_accommodation,-0.00017519909118368648
armed_forces_branch,-0.00017472983373072458
key_and_locksmith,-0.0001644618555138422
all_exporter,-0.0001634527394346774
acupuncture,-0.00015630884613526685
all_trainer,-0.00015130467884822975
monument,-0.0001511973408788725
courthouse,-0.00014616887043571446
test_preparation,-0.0001450807662882303
auto_detailing,-0.00014479596777488
all_organizations,-0.00014177990981488752
all_boarding,-0.00014165282437136328
all_food,-0.0001383252218672082
all_management,-0.00013274835125327568
eat_and_drink,-0.00013145654681160358
private_investigation,-0.00012573019789837713
airport_shuttles,-0.00011297037531858845
all_remodeling,-0.00011244575405436886
public_relations,-0.00010879149734793758
all_gym,-0.0001067735897473665
all_tours,-9.97100214587321e-05
structural_engineer,-9.824975472212394e-05
residential_avg_building_area,-9.794418257169646e-05
fashion,-9.519700009329446e-05
carpenter,-9.333929484388604e-05
all_coach,-9.249235109433096e-05
laser_eye_surgery_lasik,-8.813947908824505e-05
sculpture_statue,-8.774248526456363e-05
speakeasy,-8.310448106332302e-05
diner,-8.217646855609439e-05
public_service_and_government,-7.993859057808805e-05
real_estate_investment,-7.826171889389056e-05
horse_riding,-7.558331129939866e-05
security_systems,-7.296241962263527e-05
land_surveying,-6.964375785629695e-05
supermarket,-6.88206031491223e-05
casino,-6.861773795345805e-05
all_gardening,-6.562820939127745e-05
bakery,-6.497475749562831e-05
all_washing,-6.202851271981391e-05
sign_making,-6.130658186991323e-05
all_resort,-5.99337234808206e-05
all_agents,-5.7072616541287145e-05
all_classes,-5.1888810007083565e-05
b2b_science_and_technology,-5.0879338582687784e-05
videographer,-5.0365641107796845e-05
delicatessen,-4.98225793297391e-05
karaoke,-4.8324004288691215e-05
furniture_assembly,-4.647188229583987e-05
railroad_freight,-4.641273845907845e-05
orthodontist,-4.455448505273907e-05
all_metals,-4.35758865127811e-05
escape_rooms,-4.0739553046753586e-05
shades_and_blinds,-3.9515205576035053e-05
kitchen_and_bath,-3.862991890606349e-05
office_avg_building_area,-3.725334899954413e-05
all_distribution,-3.554508317510363e-05
endodontist,-3.458386557257942e-05
chocolatier,-3.385328944033317e-05
telecommunications,-3.350922641107701e-05
arts_and_crafts,-3.2816582792971616e-05
eatertainment,-3.141098789642971e-05
airport,-2.998562138982752e-05
all_agencies,-2.857236333759783e-05
all_planning,-2.2272829977842967e-05
painting,-2.156752957801489e-05
all_bookstore,-2.1291670185807908e-05
reflexology,-1.7902756661913877e-05
all_landscaping,-1.7427983758955266e-05
b2b_textiles,-1.5671306423614696e-05
all_installation,-1.5480908067766476e-05
all_insurance,-1.3405234410379663e-05
retail_lsoa_area_ratio,-1.3337802346402582e-05
all_venue,-1.2509875160315875e-05
naturopathic_holistic,-1.1549285324530256e-05
arcade,-1.0065664208702697e-05
all_instruction,-1.0026786900330099e-05
all_rink,-9.410068895310263e-06
all_team,-9.179493805300254e-06
hostel,-7.15430441823317e-06
gastropub,-6.850269225910921e-06
all_wear,-6.642803513789986e-06
