feature,mean_importance
ophthalmologist,-1.4809996903076789e-05
all_surgeon,-1.4520002941656514e-05
counseling_and_mental_health,-1.3398960618637957e-05
obstetrician_and_gynecologist,-1.0074609041022105e-05
all_dentist,-9.966076846209935e-06
all_hospital,-5.952788295153957e-06
health_and_medical,-5.911916459826178e-06
spas,-5.349893508627186e-06
permanent_makeup,-5.138227719620316e-06
embassy,-4.864701593262707e-06
nutritionist,-4.3457745596995955e-06
fertility,-3.858183389809512e-06
all_organizations,-3.7782876674987742e-06
b2b_science_and_technology,-2.9713527520452673e-06
all_association,-2.942059272359365e-06
all_media,-2.654724703842211e-06
all_psychologist,-2.50758420312811e-06
naturopathic_holistic,-2.3562128212097e-06
all_medicine,-2.2113480402794244e-06
all_building,-2.1919589449549006e-06
hypnosis_hypnotherapy,-2.1736128259164287e-06
all_service,-2.1386229998152496e-06
hotel,-1.9427210192485027e-06
all_company,-1.9356317335391928e-06
record_label,-1.915678156848985e-06
all_provider,-1.8346950926899998e-06
travel,-1.6856380678453972e-06
all_institute,-1.589884838760293e-06
all_school,-1.5257862401811062e-06
escape_rooms,-1.490067066587617e-06
all_venue,-1.4714771064105666e-06
all_advertising,-1.4160502763613713e-06
donuts,-1.4048506074211168e-06
all_office,-1.3921338109556213e-06
airlines,-1.375615820320891e-06
all_avg_building_area,-1.3174900684626863e-06
all_supply,-1.3045579141761398e-06
urologist,-1.2502990915312433e-06
eat_and_drink,-1.2444658536153714e-06
all_museum,-1.1813573344151726e-06
num_places,-1.180249747905973e-06
computer_coaching,-1.0847348008251503e-06
orthopedist,-1.0467405852806095e-06
psychiatrist,-9.888321502781941e-07
investing,-9.80537829833102e-07
bartender,-9.503264876326826e-07
shopping,-9.331067996320904e-07
hair_stylist,-8.995247313962933e-07
all_shop,-8.630745421587795e-07
all_accommodation,-8.504040197910944e-07
orthodontist,-8.485700267543114e-07
all_counseling,-8.393298263477459e-07
all_bookstore,-8.095776349794547e-07
all_mining,-8.008906013355914e-07
all_cafe,-7.833058776040815e-07
all_law,-7.619209582065186e-07
oil_and_gas,-7.446160665949901e-07
all_transportation,-7.398780963816496e-07
all_tours,-7.385546384420236e-07
university_housing,-7.379820133115376e-07
energy_equipment_and_solution,-7.266654937648732e-07
fashion,-7.132874330192339e-07
accountant,-6.70159283086311e-07
all_photography,-6.431688020670269e-07
karaoke,-6.297812638674937e-07
all_gym,-6.094914098957334e-07
family_practice,-6.020388579180524e-07
dietitian,-5.908096980672433e-07
movers,-5.830272695727642e-07
general_litigation,-5.764762879778751e-07
radiologist,-5.493087875982176e-07
residential_total_area,-5.387826147369626e-07
theatre,-5.36382627901435e-07
diner,-5.315128400092925e-07
all_companies,-5.238673298737801e-07
hostel,-5.101448833907029e-07
commercial_avg_building_area,-4.982496764062666e-07
estate_liquidation,-4.556259420048365e-07
builders,-4.328085419425361e-07
all_apartments,-4.2659930717264553e-07
kiosk,-4.2553156726521813e-07
office_total_area,-3.89216692979179e-07
motor_freight_trucking,-3.8846677225590536e-07
optometrist,-3.707659627834271e-07
process_servers,-3.610530862757644e-07
pier,-3.5598616244787804e-07
fountain,-3.3418443242859637e-07
all_stores,-3.2854761074063547e-07
neurologist,-3.2632214101752814e-07
business_consulting,-3.2407898353421795e-07
all_food,-3.23298010300441e-07
commercial_industrial,-3.2244446303003463e-07
all_union,-3.113728731815081e-07
performing_arts,-3.0655898034258377e-07
chiropractor,-2.8089891798346727e-07
all_plaza,-2.751301155232833e-07
musician,-2.676102172101359e-07
all_room,-2.664201510827786e-07
theatrical_productions,-2.5728148326549916e-07
all_rink,-2.566578118120232e-07
all_security,-2.5238544793440143e-07
bakery,-2.4646505872243475e-07
grain_elevators,-2.3935097362619644e-07
all_class,-2.331625103970704e-07
river,-2.197293245012697e-07
reiki,-2.14330083643047e-07
public_service_and_government,-2.1171862007635416e-07
all_distribution,-2.0810593424700883e-07
gastropub,-1.9708485375510517e-07
playground,-1.9640260869986332e-07
matchmaker,-1.9279063492883562e-07
library,-1.89561997683698e-07
car_wash,-1.8897491940478729e-07
all_architect,-1.8739334292408842e-07
all_wholesaler,-1.829780302469461e-07
eyewear_and_optician,-1.7901287553281172e-07
gardener,-1.7757286567228524e-07
all_foods,-1.6921575384098315e-07
parking,-1.675899345359767e-07
all_organization,-1.6689176281181291e-07
