feature,mean_importance
retail_avg_building_area,-1.724426343059132e-06
hotel,-1.4755448069823937e-06
all_avg_building_area,-1.2878790971613681e-06
all_salon,-1.1103648286540448e-06
population,-1.0257511585712317e-06
accountant,-1.003203989466426e-06
retail_total_area,-9.738609474353277e-07
all_accommodation,-9.66229201615086e-07
all_company,-8.227238534155807e-07
all_companies,-7.448709823038388e-07
church_cathedral,-6.478521420537729e-07
commercial_avg_building_area,-4.956271638166779e-07
all_service,-4.1684804756535446e-07
all_tours,-4.087092855848922e-07
all_class,-4.0685054421290844e-07
all_supplier,-3.9778436003825354e-07
all_bookstore,-3.7186098966459707e-07
all_design,-3.3322062278938806e-07
all_agency,-3.246908829499033e-07
currency_exchange,-2.8065810123685473e-07
all_consultant,-2.779673904550187e-07
lawyer,-2.580181690300262e-07
all_estate,-2.363157636144363e-07
shopping,-1.9192114782077685e-07
arts_and_crafts,-1.9160765402311166e-07
automotive,-1.493080160743922e-07
all_architect,-1.4416556930117833e-07
all_center,-1.3897699322846857e-07
hostel,-1.2992338603438664e-07
movers,-1.1571523847039519e-07
all_organizations,-1.081097627694515e-07
all_law,-1.0415304991585509e-07
karaoke,-9.951539564534206e-08
all_cleaning,-9.655402607139346e-08
all_remodeling,-9.541480245983208e-08
health_and_medical,-8.821676120949079e-08
all_therapy,-8.552693266755224e-08
all_management,-8.255337332115645e-08
bakery,-8.190920266819225e-08
fertility,-7.31633429929362e-08
steakhouse,-7.303065622438399e-08
all_bar,-6.696212828466512e-08
residential_avg_building_area,-6.568895236169575e-08
all_union,-6.44574523148893e-08
all_dentist,-5.965292070550825e-08
auto_detailing,-5.825249241701462e-08
all_security,-5.646871832550184e-08
all_production,-5.355852432265554e-08
caterer,-5.0972796863421695e-08
sewing_and_alterations,-4.939005464597201e-08
parking,-4.922990658708039e-08
commercial_industrial,-4.68055713517441e-08
all_equipment,-4.504873854611972e-08
eatertainment,-4.292660824272831e-08
all_gym,-4.2671016892122725e-08
funeral_services_and_cemeteries,-3.732598774240691e-08
office_lsoa_area_ratio,-3.561574347871253e-08
spas,-3.312262206318342e-08
all_rental,-3.093098713184917e-08
financial_advising,-2.8735363665081177e-08
all_care,-2.750317875609121e-08
orthodontist,-2.606317507345714e-08
cafetaria,-2.592387893199811e-08
b2b_science_and_technology,-2.471701342768648e-08
all_league,-2.4238578111580845e-08
community_services_non_profits,-2.321818587590975e-08
residential_total_area,-2.2124385132308254e-08
investing,-2.1044910046092097e-08
ophthalmologist,-1.9316258655533315e-08
all_agents,-1.8446688170321705e-08
all_station,-1.7504941019532697e-08
psychic,-1.4916554647182313e-08
all_entertainment,-1.4309940466810603e-08
oil_and_gas,-1.2775583062248953e-08
all_plaza,-1.260529831545985e-08
computer_coaching,-1.2051400543317925e-08
kids_recreation_and_party,-1.1892190778303854e-08
private_jet_charters,-1.0922638620254459e-08
all_testing,-1.0680448610602984e-08
all_repair,-1.0481669825567906e-08
all_education,-1.0242360326111763e-08
airlines,-9.985597375892792e-09
public_service_and_government,-9.720260928679279e-09
key_and_locksmith,-9.187594388266381e-09
casino,-8.72476366034036e-09
electrician,-7.692998324265386e-09
mosque,-7.411443550938085e-09
attractions_and_activities,-7.1194797320844994e-09
all_stadium,-6.802337255558638e-09
warehouses,-6.167727456707513e-09
general_dentistry,-5.427968732130009e-09
all_house,-5.412045858017302e-09
all_surgeon,-5.058507400705224e-09
all_photography,-4.944420232097545e-09
pet_groomer,-4.938608457838271e-09
pharmacy,-4.786259583103498e-09
all_church,-4.634018432444152e-09
horse_riding,-4.388168712775276e-09
eat_and_drink,-3.666378734339397e-09
motor_freight_trucking,-3.6448435593791084e-09
synagogue,-3.598225112627e-09
junk_removal_and_hauling,-3.5453474400508854e-09
all_psychologist,-3.1841282444614254e-09
airline,-3.0035682861570763e-09
all_preschool,-2.938942286978769e-09
all_schools,-2.889608839609214e-09
all_room,-2.7294695459487063e-09
all_rink,-2.4006517219596605e-09
chiropractor,-2.382258477229358e-09
eyewear_and_optician,-2.3507545845449436e-09
reiki,-2.11892661055739e-09
auto_customization,-1.8006714787606048e-09
laundromat,-1.717401391143126e-09
all_counselor,-1.7005671284076995e-09
nurse_practitioner,-1.6625556570107314e-09
banks,-1.6048641130153476e-09
shades_and_blinds,-1.4238637641294658e-09
all_supplies,-1.392788045904644e-09
astrologer,-1.3051703407778348e-09
veterinarian,-1.3000482711338665e-09
housing_cooperative,-1.2155847543813039e-09
television_service_providers,-1.1220545004605618e-09
all_team,-1.0378978920709265e-09
waxing,-7.305050414482253e-10
doner_kebab,-6.18253683005185e-10
lodge,-4.869284216124388e-10
marina,-4.5390224233030334e-10
vitamins_and_supplements,-3.5416958682758964e-10
airport_terminal,-3.4089122320980117e-10
carpenter,-2.4781384942560876e-10
all_accessories,-2.2725652868598508e-10
trusts,-2.0034285669779002e-10
fruits_and_vegetables,-1.9075913198905075e-10
hearing_aids,-1.459992435867523e-10
optometrist,-1.3927113647044632e-10
b2b_furniture_and_housewares,-6.78084241886737e-11
housing_authorities,0.0
gastroenterologist,0.0
furniture_wholesalers,0.0
junkyard,0.0
furniture_reupholstery,0.0
all_foods,0.0
fountain,0.0
food_truck,0.0
laboratory,0.0
gelato,0.0
all_exporter,0.0
land_surveying,0.0
all_food,0.0
all_contractors,0.0
firework_retailer,0.0
all_fair,0.0
food_stand,0.0
genealogists,0.0
general_litigation,0.0
jazz_and_blues,0.0
hot_tubs_and_pools,0.0
hospice,0.0
all_boarding,0.0
home_automation,0.0
hiking_trail,0.0
hematology,0.0
ice_cream_and_frozen_yoghurt,0.0
importers,0.0
general_festivals,0.0
hair_replacement,0.0
iron_and_steel_industry,0.0
gun_and_ammo,0.0
iron_work,0.0
jail_and_prison,0.0
grain_elevators,0.0
all_instructor,0.0
all_track,0.0
all_sitting,0.0
hair_extensions,0.0
engraving,0.0
palace,0.0
laser_tag,0.0
all_therapist,0.0
security_systems,0.0
sculpture_statue,0.0
all_instruction,0.0
screen_printing_t_shirt_printing,0.0
rugby_pitch,0.0
roofing,0.0
shutters,0.0
rock_climbing_spot,0.0
record_label,0.0
real_estate_investment,0.0
radiologist,0.0
radio_and_television_commercials,0.0
quay,0.0
psychotherapist,0.0
psychic_medium,0.0
reflexology,0.0
private_tutor,0.0
skilled_nursing,0.0
spray_tanning,0.0
wildlife_sanctuary,0.0
waterproofing,0.0
videographer,0.0
used_vintage_and_consignment,0.0
trains,0.0
tiling,0.0
ticket_sales,0.0
speakeasy,0.0
theaters_and_performance_venues,0.0
teeth_whitening,0.0
tattoo,0.0
superstore,0.0
studio_taping,0.0
structural_engineer,0.0
stone_and_masonry,0.0
steel_fabricators,0.0
test_preparation,0.0
private_investigation,0.0
private_equity_firm,0.0
all_washing,0.0
nutritionist,0.0
notary_public,0.0
neurologist,0.0
nature_reserve,0.0
musician,0.0
monument,0.0
metal_fabricator,0.0
observatory,0.0
mediator,0.0
matchmaker,0.0
masonry_concrete,0.0
marble_and_granite_professionals,0.0
magician,0.0
lottery_ticket,0.0
linen,0.0
law_enforcement,0.0
media_news_website,0.0
obstetrician_and_gynecologist,0.0
occupational_safety,0.0
oil_refiners,0.0
all_billiards,0.0
playground,0.0
plasterer,0.0
planetarium,0.0
pier,0.0
all_zoo,0.0
pets,0.0
pet_breeder,0.0
personal_chef,0.0
personal_assistant,0.0
permanent_makeup,0.0
pension,0.0
pediatrician,0.0
patio_covers,0.0
all_mill,0.0
paintball,0.0
paint_your_own_pottery,0.0
laser_eye_surgery_lasik,0.0
exporters,0.0
winery,0.0
campground,0.0
b2b_apparel,0.0
all_broker,0.0
all_inspector,0.0
all_installation,0.0
car_wash,0.0
all_tinting,0.0
cardiologist,0.0
all_counseling,0.0
cave,0.0
automobile_leasing,0.0
auto_upholstery,0.0
canal,0.0
chimney_sweep,0.0
beach,0.0
circus,0.0
all_engineers,0.0
civil_rights_lawyers,0.0
all_laboratories,0.0
auditorium,0.0
coach_bus,0.0
coal_and_coke,0.0
abuse_and_addiction_treatment,0.0
commercial_printer,0.0
commercial_refrigeration,0.0
choir,0.0
cabin,0.0
all_dealers,0.0
business_signage,0.0
bathtub_and_sink_repairs,0.0
all_garden,0.0
beer_wine_and_spirits,0.0
all_field,0.0
all_offices,0.0
all_charter,0.0
all_training,0.0
bartender,0.0
bookbinding,0.0
bookkeeper,0.0
all_classes,0.0
all_camp,0.0
boutique,0.0
bowling_alley,0.0
baby_gear_and_furniture,0.0
brasserie,0.0
b2b_textiles,0.0
b2b_rubber_and_plastics,0.0
bubble_tea,0.0
agriculture,0.0
b2b_jewelers,0.0
all_program,0.0
business_consulting,0.0
b2b_hardware,0.0
business_office_supplies_and_stationery,0.0
all_artist,0.0
condominium,0.0
christmas_trees,0.0
