feature,mean_importance
doctor,-2.847774530641366e-05
all_museum,-1.3083972925842779e-05
all_cafe,-1.049356703532671e-05
all_supplies,-8.251639814037948e-06
family_practice,-6.871875081560001e-06
all_therapy,-6.861258290877698e-06
all_organization,-6.159461818930145e-06
all_accommodation,-5.668585828464572e-06
naturopathic_holistic,-5.281528009315272e-06
all_venue,-5.079309676220549e-06
library,-4.340596061582104e-06
all_care,-4.101824000792876e-06
all_home,-3.9133894555692875e-06
all_salon,-3.6495634150004368e-06
shopping,-3.5122063457236813e-06
spas,-3.497091049202379e-06
electronics,-3.2102279866908454e-06
brewery,-3.1897850500008984e-06
all_spa,-3.1301077563253908e-06
orthopedist,-3.0712445515422204e-06
retail,-2.9580462072119957e-06
all_psychologist,-2.9449967943111103e-06
psychiatrist,-2.8389029316726104e-06
public_relations,-2.8316858071182646e-06
all_equipment,-2.7642429974153157e-06
acupuncture,-2.7248393548354828e-06
all_schools,-2.677221099119505e-06
bakery,-2.612555998203676e-06
barber,-2.5351882949291596e-06
all_publisher,-2.237419550804202e-06
all_education,-2.1503542402907773e-06
all_agencies,-2.0820421861806997e-06
all_department,-2.0489415896537696e-06
obstetrician_and_gynecologist,-1.9591300340273222e-06
audiologist,-1.9066144291285284e-06
steakhouse,-1.8346462006834784e-06
wills_trusts_and_probate,-1.8310123094552353e-06
key_and_locksmith,-1.7748267505902623e-06
all_park,-1.6015279104991697e-06
bridge,-1.5707314624043998e-06
motor_freight_trucking,-1.498190895379847e-06
all_church,-1.4899531170862686e-06
courthouse,-1.4744458909894372e-06
all_institute,-1.4346220736921838e-06
all_league,-1.4280287313964807e-06
all_preschool,-1.4171996802795739e-06
bubble_tea,-1.3953962390720643e-06
all_lsoa_area_ratio,-1.3672287177181286e-06
chocolatier,-1.3410397711899053e-06
osteopath,-1.3337381586793236e-06
currency_exchange,-1.2875325339166876e-06
hair_stylist,-1.2818772827995554e-06
all_facility,-1.2618139011868092e-06
palace,-1.2359186455043282e-06
performing_arts,-1.2092356549684803e-06
ophthalmologist,-1.1787420680500228e-06
all_wholesaler,-1.095959593900469e-06
all_distribution,-1.0845330182894204e-06
delicatessen,-1.0778558046222212e-06
energy_equipment_and_solution,-9.698776863588095e-07
all_security,-9.598348820802795e-07
auto_customization,-9.592481873702886e-07
arts_and_crafts,-9.560625184845662e-07
all_class,-9.158988622543417e-07
optometrist,-9.129122218515012e-07
trusts,-8.90623096804307e-07
pharmacy,-8.602494449833965e-07
b2b_furniture_and_housewares,-8.460299989712986e-07
eyewear_and_optician,-8.327162759870662e-07
superstore,-8.097568966917133e-07
kitchen_and_bath,-7.989950725448259e-07
all_food,-7.356167289950476e-07
warehouses,-7.064062017937158e-07
all_course,-6.088985539250103e-07
business_office_supplies_and_stationery,-6.019641061547336e-07
all_instructor,-5.964178344072812e-07
structural_engineer,-5.797746085872376e-07
mortgage_lender,-5.73663758270587e-07
b2b_textiles,-5.653945479697133e-07
eat_and_drink,-5.369543590960733e-07
all_piercing,-5.336840651220013e-07
psychotherapist,-5.32775012879877e-07
brasserie,-5.313657968591458e-07
casino,-5.292702399272754e-07
home_developer,-5.117210945738862e-07
b2b_science_and_technology,-4.892476883837208e-07
all_rentals,-4.6216673217124917e-07
theaters_and_performance_venues,-4.556483329833257e-07
monument,-4.5349357724583223e-07
karaoke,-4.486062188735387e-07
restaurant_wholesale,-4.417243676496077e-07
all_installation,-4.416537122241954e-07
distillery,-4.285609297166571e-07
pet_groomer,-4.243192623446402e-07
all_loans,-4.2018723126987006e-07
hiking_trail,-4.167131447693946e-07
all_gardening,-4.1583172137824593e-07
all_company,-4.118584774907429e-07
church_cathedral,-3.989045332501945e-07
carpenter,-3.9599116118309926e-07
supermarket,-3.9229738778088077e-07
all_business,-3.777716884329244e-07
junk_removal_and_hauling,-3.766828626987871e-07
all_room,-3.76414859556268e-07
