feature,mean_importance
record_label,-3.791602285762338e-09
all_church,-3.3711164269025753e-09
all_media,-1.3552527156068805e-20
masonry_concrete,-1.3552527156068805e-20
b2b_apparel,-1.3552527156068805e-20
psychic_medium,-1.3552527156068805e-20
psychotherapist,-1.3552527156068805e-20
public_service_and_government,-1.3552527156068805e-20
all_provider,-1.3552527156068805e-20
auto_detailing,-1.3552527156068805e-20
radio_and_television_commercials,-1.3552527156068805e-20
radiologist,-1.3552527156068805e-20
ophthalmologist,-1.3552527156068805e-20
attractions_and_activities,-1.3552527156068805e-20
arts_and_crafts,-1.3552527156068805e-20
all_museum,-1.3552527156068805e-20
retail,-1.3552527156068805e-20
all_organizations,-1.3552527156068805e-20
armed_forces_branch,-1.3552527156068805e-20
drugstore,-1.3552527156068805e-20
roofing,-1.3552527156068805e-20
all_therapy,-1.3552527156068805e-20
coach_bus,-1.3552527156068805e-20
kitchen_and_bath,-1.3552527156068805e-20
banks,-1.3552527156068805e-20
business_office_supplies_and_stationery,-1.3552527156068805e-20
outdoor_gear,-1.3552527156068805e-20
palace,-1.3552527156068805e-20
car_wash,-1.3552527156068805e-20
patio_covers,-1.3552527156068805e-20
books_mags_music_and_video,-1.3552527156068805e-20
all_counseling,-1.3552527156068805e-20
caterer,-1.3552527156068805e-20
permanent_makeup,-1.3552527156068805e-20
all_hall,-1.3552527156068805e-20
bike_repair_maintenance,-1.3552527156068805e-20
mosque,-1.3552527156068805e-20
bed_and_breakfast,-1.3552527156068805e-20
monument,-1.3552527156068805e-20
all_spa,-1.3552527156068805e-20
all_care,-1.3552527156068805e-20
chiropractor,-1.3552527156068805e-20
all_remodeling,-1.3552527156068805e-20
chocolatier,-1.3552527156068805e-20
bartender,-1.3552527156068805e-20
barber,-1.3552527156068805e-20
security_systems,-1.3552527156068805e-20
pharmacy,-1.3552527156068805e-20
business_consulting,-1.3552527156068805e-20
all_consultant,-1.3552527156068805e-20
hematology,-1.3552527156068805e-20
urologist,-1.3552527156068805e-20
hospice,-1.3552527156068805e-20
office_total_area,-1.3552527156068805e-20
firework_retailer,-1.3552527156068805e-20
fountain,-1.3552527156068805e-20
all_companies,-1.3552527156068805e-20
all_rink,-1.3552527156068805e-20
all_exporter,-1.3552527156068805e-20
spas,-1.3552527156068805e-20
all_total_area,-1.3552527156068805e-20
financial_advising,-1.3552527156068805e-20
skilled_nursing,-1.3552527156068805e-20
general_festivals,-1.3552527156068805e-20
all_program,-1.3552527156068805e-20
hair_extensions,-1.3552527156068805e-20
wills_trusts_and_probate,-1.3552527156068805e-20
all_landscaping,-1.3552527156068805e-20
shopping,-1.3552527156068805e-20
synagogue,-1.3552527156068805e-20
swimming_pool,-1.3552527156068805e-20
sign_making,-1.3552527156068805e-20
all_medicine,-1.3552527156068805e-20
choir,-1.0842021724855045e-20
fishmonger,-1.0842021724855045e-20
all_engineers,-1.0842021724855045e-20
chimney_sweep,-1.0842021724855045e-20
all_decor,-1.0842021724855045e-20
cinema,-1.0842021724855045e-20
home_developer,-1.0842021724855045e-20
christmas_trees,-1.0842021724855045e-20
hiking_trail,-1.0842021724855045e-20
all_boarding,-1.0842021724855045e-20
all_home,-1.0842021724855045e-20
iron_and_steel_industry,-1.0842021724855045e-20
funeral_services_and_cemeteries,-1.0842021724855045e-20
oil_refiners,-1.0842021724855045e-20
occupational_safety,-1.0842021724855045e-20
cabin,-1.0842021724855045e-20
obstetrician_and_gynecologist,-1.0842021724855045e-20
cafetaria,-1.0842021724855045e-20
nutritionist,-1.0842021724855045e-20
nurse_practitioner,-1.0842021724855045e-20
general_litigation,-1.0842021724855045e-20
canal,-1.0842021724855045e-20
all_inspector,-1.0842021724855045e-20
all_installation,-1.0842021724855045e-20
genealogists,-1.0842021724855045e-20
nature_reserve,-1.0842021724855045e-20
gastroenterologist,-1.0842021724855045e-20
handyman,-1.0842021724855045e-20
movers,-1.0842021724855045e-20
casino,-1.0842021724855045e-20
cave,-1.0842021724855045e-20
furniture_reupholstery,-1.0842021724855045e-20
mortgage_lender,-1.0842021724855045e-20
