feature,mean_importance
all_agent,-1.8306963046268597e-06
all_tours,-1.5428132127084178e-06
eat_and_drink,-1.1121361260139484e-06
all_bookstore,-7.689390845633921e-07
record_label,-7.39003677864298e-07
caterer,-6.580257565290583e-07
all_store,-5.161849460306281e-07
all_broker,-5.040622345974985e-07
all_massage,-4.799326610489067e-07
residential_total_area,-3.241727986568561e-07
shopping,-3.2165147962660447e-07
all_home,-3.085821522418413e-07
psychic,-2.5251358115864307e-07
residential_lsoa_area_ratio,-2.490320861265791e-07
airport_shuttles,-2.1681886744635955e-07
all_restaurant,-2.0674674961510496e-07
commercial_avg_building_area,-2.0083773004470821e-07
theatrical_productions,-1.9105194389301557e-07
library,-1.698412137560919e-07
funeral_services_and_cemeteries,-1.623502182072464e-07
electrician,-1.4022629047027936e-07
accountant,-1.3782831786434026e-07
all_museum,-1.2974678875456136e-07
all_club,-1.2948254777865674e-07
all_accommodation,-1.284342916102181e-07
supermarket,-1.1825306730182815e-07
all_company,-1.0395676204665e-07
all_rentals,-9.180811234078166e-08
all_designer,-8.989944440482165e-08
doctor,-8.785508066724492e-08
all_medicine,-8.295788482312985e-08
desserts,-8.136260068056722e-08
all_supplier,-7.157882059445462e-08
travel,-6.351328438691751e-08
psychiatrist,-5.912267261144944e-08
all_park,-5.692863698584643e-08
all_center,-5.658642361817024e-08
kids_recreation_and_party,-5.418208993632223e-08
barber,-4.914381730037053e-08
all_contractor,-4.6537161747278635e-08
pharmacy,-4.185409727809164e-08
all_estate,-4.0430197609464755e-08
all_therapist,-3.925393943384452e-08
all_house,-3.510248595896986e-08
ear_nose_and_throat,-3.357535993833791e-08
b2b_food_products,-3.2876332702069276e-08
luggage_storage,-3.19088026199497e-08
all_rental,-3.011998527160508e-08
all_classes,-2.8979581264627407e-08
family_practice,-2.869974751413607e-08
business_signage,-2.7363824113175463e-08
all_transportation,-2.4727172017142768e-08
sewing_and_alterations,-2.4150383498904253e-08
all_photography,-2.1821327227510163e-08
all_clothing,-2.1503245499334756e-08
all_hall,-2.0924732846862966e-08
business_consulting,-2.047241888379392e-08
all_court,-1.942619779440771e-08
obstetrician_and_gynecologist,-1.929682451730992e-08
currency_exchange,-1.8981558598205884e-08
boutique,-1.8157712385116755e-08
all_law,-1.775733405099647e-08
eyewear_and_optician,-1.65245550696566e-08
hostel,-1.5856515297454302e-08
