feature,mean_importance
office_lsoa_area_ratio,-5.398908270044087e-07
all_design,-3.897852076947418e-07
supermarket,-3.8804878572914674e-07
performing_arts,-3.5784017462473924e-07
bridge,-3.492247904274013e-07
residential_lsoa_area_ratio,-3.2578999344279895e-07
casino,-2.06293878946184e-07
family_practice,-1.7496113697998508e-07
all_facility,-1.7157188635447064e-07
all_education,-1.6823213439067945e-07
airlines,-1.6480650389369996e-07
public_relations,-1.3362752422754254e-07
housing_authorities,-9.247985041508283e-08
all_resort,-7.413601757273627e-08
all_station,-7.315230239444162e-08
all_estate,-6.981288592697435e-08
cafetaria,-6.882827646613807e-08
parking,-6.872713005330258e-08
all_union,-5.728100174053307e-08
public_service_and_government,-5.0452122836643784e-08
13_RandomForest_prediction,-4.875880424379963e-08
all_supply,-4.8547276455674344e-08
all_center,-4.7490681310627674e-08
b2b_textiles,-4.615070485357889e-08
all_production,-3.888233584746178e-08
all_distribution,-3.523081425292737e-08
all_instruction,-3.436695901613731e-08
kiosk,-3.2271432825082145e-08
delicatessen,-2.8211032208817038e-08
all_organizations,-2.7759910275640214e-08
escape_rooms,-2.3532487513125944e-08
funeral_services_and_cemeteries,-2.3157190180657025e-08
shades_and_blinds,-2.2696864634875362e-08
art_gallery,-2.1220849265307782e-08
all_cafe,-1.8033733043450195e-08
all_psychologist,-1.3450068774566746e-08
all_shop,-1.2688310452409668e-08
all_loans,-1.2429115670263026e-08
builders,-1.0813478940384727e-08
all_law,-8.542816359512434e-09
mosque,-8.280853365210252e-09
all_contractor,-8.017357383598113e-09
all_department,-7.821231309064654e-09
auto_manufacturers_and_distributors,-6.298204168389402e-09
bookkeeper,-6.132106389425971e-09
all_hall,-4.20912459383739e-09
all_fair,-3.731287527245646e-09
arts_and_crafts,-3.157585937994302e-09
business_office_supplies_and_stationery,-2.208747183959361e-09
civil_rights_lawyers,-2.172454460780144e-09
active_life,-1.5185397050039897e-09
all_agents,-1.1978472373922584e-09
all_therapy,-9.526840088664475e-10
books_mags_music_and_video,-7.083840407993047e-10
wholesale_grocer,-1.9476507938170298e-10
key_and_locksmith,0.0
kids_recreation_and_party,0.0
karaoke,0.0
all_foods,0.0
all_counselor,0.0
junk_removal_and_hauling,0.0
ethical_grocery,0.0
jail_and_prison,0.0
iron_work,0.0
iron_and_steel_industry,0.0
all_landscaping,0.0
junkyard,0.0
jazz_and_blues,0.0
lake,0.0
all_testing,0.0
masonry_concrete,0.0
endodontist,0.0
marina,0.0
marble_and_granite_professionals,0.0
magician,0.0
energy_equipment_and_solution,0.0
luggage_storage,0.0
lottery_ticket,0.0
estate_liquidation,0.0
lodge,0.0
linen,0.0
lawyer,0.0
laser_tag,0.0
laser_eye_surgery_lasik,0.0
importers,0.0
laboratory,0.0
kitchen_and_bath,0.0
engraving,0.0
all_consultants,0.0
all_rink,0.0
housing_cooperative,0.0
all_gardening,0.0
gun_and_ammo,0.0
grain_elevators,0.0
all_instructor,0.0
all_course,0.0
all_track,0.0
general_litigation,0.0
all_exporter,0.0
food_stand,0.0
general_festivals,0.0
hair_extensions,0.0
general_dentistry,0.0
gelato,0.0
food_truck,0.0
gastropub,0.0
gastroenterologist,0.0
fountain,0.0
furniture_wholesalers,0.0
furniture_reupholstery,0.0
all_manufacturers,0.0
furniture_assembly,0.0
genealogists,0.0
hypnosis_hypnotherapy,0.0
all_removal,0.0
handyman,0.0
all_market,0.0
fruits_and_vegetables,0.0
fashion,0.0
all_sitting,0.0
hot_tubs_and_pools,0.0
hospice,0.0
horse_riding,0.0
all_boarding,0.0
home_developer,0.0
hair_replacement,0.0
home_automation,0.0
hiking_trail,0.0
hematology,0.0
firework_retailer,0.0
hearing_aids,0.0
matchmaker,0.0
all_coach,0.0
fishmonger,0.0
all_contractors,0.0
all_florist,0.0
all_decor,0.0
media_news_website,0.0
naturopathic_holistic,0.0
metal_fabricator,0.0
spray_tanning,0.0
speakeasy,0.0
spas,0.0
sign_making,0.0
shutters,0.0
shopping,0.0
all_therapist,0.0
sewing_and_alterations,0.0
security_systems,0.0
sculpture_statue,0.0
steel_fabricators,0.0
screen_printing_t_shirt_printing,0.0
rock_climbing_spot,0.0
river,0.0
retail,0.0
restaurant_wholesale,0.0
reiki,0.0
reflexology,0.0
railroad_freight,0.0
radiologist,0.0
radio_and_television_commercials,0.0
quay,0.0
rugby_pitch,0.0
stone_and_masonry,0.0
structural_engineer,0.0
structure_and_geography,0.0
winery,0.0
wills_trusts_and_probate,0.0
wildlife_sanctuary,0.0
waxing,0.0
warehouses,0.0
vitamins_and_supplements,0.0
videographer,0.0
veterinarian,0.0
urologist,0.0
university_housing,0.0
trusts,0.0
trains,0.0
tiling,0.0
ticket_sales,0.0
theatrical_productions,0.0
theaters_and_performance_venues,0.0
test_preparation,0.0
television_service_providers,0.0
teeth_whitening,0.0
synagogue,0.0
swimming_pool,0.0
superstore,0.0
studio_taping,0.0
psychotherapist,0.0
mediator,0.0
psychic_medium,0.0
private_tutor,0.0
osteopath,0.0
orthodontist,0.0
ophthalmologist,0.0
opera_and_ballet,0.0
