feature,mean_importance
office_lsoa_area_ratio,-1.4334746385350663e-06
14_RandomForest_prediction,-1.053136558925025e-06
telecommunications,-1.0103914371509288e-06
all_development,-8.374586935005709e-07
family_practice,-5.436711843894221e-07
all_provider,-4.770623464690069e-07
office_total_area,-3.9604620107763934e-07
record_label,-3.3543269072175185e-07
6_Xgboost_prediction,-2.546581071647612e-07
all_company,-2.4498801030297914e-07
all_restaurant,-2.2690397031612382e-07
accountant,-2.0449815230945812e-07
all_facility,-1.7777667529522614e-07
lawyer,-1.735029654217527e-07
all_center,-1.5512987653092987e-07
brasserie,-1.4501573188831348e-07
all_broker,-1.3434701331871587e-07
11_CatBoost_prediction,-1.2531022602062398e-07
all_church,-1.1083768473578205e-07
brewery,-1.0810658979258138e-07
all_consultant,-1.0647877302179709e-07
travel,-1.023224458199972e-07
all_media,-8.91479963913681e-08
all_building,-8.580181253863484e-08
ticket_sales,-7.793513804876817e-08
all_service,-7.52397834739648e-08
all_union,-7.504235944548595e-08
all_total_area,-6.685120791015083e-08
office_avg_building_area,-6.649613170046703e-08
all_office,-6.595300878378364e-08
all_planning,-6.043672247953277e-08
all_repair,-5.897754405170591e-08
structural_engineer,-5.5737613769259525e-08
psychic,-5.476975485003727e-08
currency_exchange,-5.3744119450846994e-08
financial_advising,-5.173987436383229e-08
auto_detailing,-4.435563230406495e-08
all_agency,-4.2779580319024665e-08
all_agencies,-4.22235667964612e-08
fountain,-4.056459427960848e-08
all_school,-4.053609382397255e-08
real_estate_investment,-3.551836914320798e-08
movers,-3.318325599873219e-08
handyman,-2.4524910725661385e-08
orthopedist,-1.766123400085394e-08
population,-1.7446370671338304e-08
delicatessen,-9.161123486821722e-09
health_and_medical,-9.06019500550488e-09
all_law,-8.824330609893136e-09
all_stadium,-8.719015408417077e-09
all_lounge,-7.712414964872465e-09
fashion,-7.49362443714448e-09
kiosk,-7.183839730089082e-09
3_Default_RandomForest_prediction,-2.1114999653061964e-09
waxing,-2.095560214324934e-09
airlines,-4.1439531422212545e-10
land_surveying,-5.4210108624275225e-21
