feature,mean_importance
num_buildings,-2.623745799856976e-07
currency_exchange,-1.904106801132988e-08
all_service,-1.5796035550253817e-08
investing,-1.4959475217401175e-08
all_union,-3.355968164332041e-09
railroad_freight,-1.6263032587282566e-20
all_photography,-1.6263032587282566e-20
all_camp,-1.6263032587282566e-20
all_psychologist,-1.6263032587282566e-20
private_jet_charters,-1.6263032587282566e-20
private_equity_firm,-1.6263032587282566e-20
all_arena,-1.6263032587282566e-20
family_practice,-1.6263032587282566e-20
luggage_storage,-1.6263032587282566e-20
all_florist,-1.6263032587282566e-20
kitchen_and_bath,-1.6263032587282566e-20
b2b_textiles,-1.6263032587282566e-20
b2b_jewelers,-1.6263032587282566e-20
hostel,-1.6263032587282566e-20
all_insurance,-1.6263032587282566e-20
home_developer,-1.6263032587282566e-20
dog_walkers,-1.6263032587282566e-20
all_instruction,-1.6263032587282566e-20
airport_terminal,-1.6263032587282566e-20
hearing_aids,-1.6263032587282566e-20
travel,-1.6263032587282566e-20
office_avg_building_area,-1.6263032587282566e-20
accountant,-1.6263032587282566e-20
structural_engineer,-1.6263032587282566e-20
steakhouse,-1.6263032587282566e-20
all_manufacturers,-1.3552527156068805e-20
funeral_services_and_cemeteries,-1.3552527156068805e-20
all_organization,-1.3552527156068805e-20
all_foods,-1.3552527156068805e-20
all_food,-1.3552527156068805e-20
chemical_plant,-1.3552527156068805e-20
all_care,-1.3552527156068805e-20
all_contractors,-1.3552527156068805e-20
fishmonger,-1.3552527156068805e-20
firework_retailer,-1.3552527156068805e-20
furniture_reupholstery,-1.3552527156068805e-20
cave,-1.3552527156068805e-20
gardener,-1.3552527156068805e-20
fertility,-1.3552527156068805e-20
caterer,-1.3552527156068805e-20
gastroenterologist,-1.3552527156068805e-20
casino,-1.3552527156068805e-20
general_festivals,-1.3552527156068805e-20
general_litigation,-1.3552527156068805e-20
all_track,-1.3552527156068805e-20
carpenter,-1.3552527156068805e-20
all_instructor,-1.3552527156068805e-20
all_surgeon,-1.3552527156068805e-20
gun_and_ammo,-1.3552527156068805e-20
all_tinting,-1.3552527156068805e-20
hair_replacement,-1.3552527156068805e-20
handyman,-1.3552527156068805e-20
furniture_wholesalers,-1.3552527156068805e-20
fashion,-1.3552527156068805e-20
college_university,-1.3552527156068805e-20
all_counselor,-1.3552527156068805e-20
all_estate,-1.3552527156068805e-20
commercial_refrigeration,-1.3552527156068805e-20
computer_coaching,-1.3552527156068805e-20
all_wholesaler,-1.3552527156068805e-20
counseling_and_mental_health,-1.3552527156068805e-20
all_space,-1.3552527156068805e-20
civil_rights_lawyers,-1.3552527156068805e-20
all_engineers,-1.3552527156068805e-20
all_wear,-1.3552527156068805e-20
circus,-1.3552527156068805e-20
all_preschool,-1.3552527156068805e-20
cinema,-1.3552527156068805e-20
choir,-1.3552527156068805e-20
delicatessen,-1.3552527156068805e-20
all_vehicles,-1.3552527156068805e-20
desserts,-1.3552527156068805e-20
dietitian,-1.3552527156068805e-20
chocolatier,-1.3552527156068805e-20
eatertainment,-1.3552527156068805e-20
all_institute,-1.3552527156068805e-20
electronics,-1.3552527156068805e-20
embassy,-1.3552527156068805e-20
endocrinologist,-1.3552527156068805e-20
energy_equipment_and_solution,-1.3552527156068805e-20
all_consultants,-1.3552527156068805e-20
escape_rooms,-1.3552527156068805e-20
estate_liquidation,-1.3552527156068805e-20
exporters,-1.3552527156068805e-20
all_agencies,-1.3552527156068805e-20
chimney_sweep,-1.3552527156068805e-20
all_fair,-1.3552527156068805e-20
hot_tubs_and_pools,-1.3552527156068805e-20
all_home,-1.3552527156068805e-20
shutters,-1.3552527156068805e-20
shades_and_blinds,-1.3552527156068805e-20
sewing_and_alterations,-1.3552527156068805e-20
security_systems,-1.3552527156068805e-20
rugby_pitch,-1.3552527156068805e-20
river,-1.3552527156068805e-20
skilled_nursing,-1.3552527156068805e-20
real_estate_investment,-1.3552527156068805e-20
radio_and_television_commercials,-1.3552527156068805e-20
quay,-1.3552527156068805e-20
process_servers,-1.3552527156068805e-20
all_billiards,-1.3552527156068805e-20
pharmacy,-1.3552527156068805e-20
all_zoo,-1.3552527156068805e-20
radiologist,-1.3552527156068805e-20
permanent_makeup,-1.3552527156068805e-20
speakeasy,-1.3552527156068805e-20
steel_fabricators,-1.3552527156068805e-20
wildlife_sanctuary,-1.3552527156068805e-20
waxing,-1.3552527156068805e-20
warehouses,-1.3552527156068805e-20
veterinarian,-1.3552527156068805e-20
trusts,-1.3552527156068805e-20
all_agents,-1.3552527156068805e-20
spray_tanning,-1.3552527156068805e-20
tiling,-1.3552527156068805e-20
theatre,-1.3552527156068805e-20
theaters_and_performance_venues,-1.3552527156068805e-20
teeth_whitening,-1.3552527156068805e-20
tattoo,-1.3552527156068805e-20
studio_taping,-1.3552527156068805e-20
structure_and_geography,-1.3552527156068805e-20
ticket_sales,-1.3552527156068805e-20
performing_arts,-1.3552527156068805e-20
pension,-1.3552527156068805e-20
pediatrician,-1.3552527156068805e-20
laser_eye_surgery_lasik,-1.3552527156068805e-20
land_surveying,-1.3552527156068805e-20
lake,-1.3552527156068805e-20
kids_recreation_and_party,-1.3552527156068805e-20
junkyard,-1.3552527156068805e-20
junk_removal_and_hauling,-1.3552527156068805e-20
lawyer,-1.3552527156068805e-20
jail_and_prison,-1.3552527156068805e-20
all_pub,-1.3552527156068805e-20
all_rink,-1.3552527156068805e-20
housing_authorities,-1.3552527156068805e-20
all_inspector,-1.3552527156068805e-20
hospice,-1.3552527156068805e-20
all_boarding,-1.3552527156068805e-20
iron_and_steel_industry,-1.3552527156068805e-20
library,-1.3552527156068805e-20
lottery_ticket,-1.3552527156068805e-20
marble_and_granite_professionals,-1.3552527156068805e-20
parking,-1.3552527156068805e-20
painting,-1.3552527156068805e-20
paint_your_own_pottery,-1.3552527156068805e-20
ophthalmologist,-1.3552527156068805e-20
opera_and_ballet,-1.3552527156068805e-20
occupational_safety,-1.3552527156068805e-20
obstetrician_and_gynecologist,-1.3552527156068805e-20
observatory,-1.3552527156068805e-20
nurse_practitioner,-1.3552527156068805e-20
neurologist,-1.3552527156068805e-20
movers,-1.3552527156068805e-20
metal_fabricator,-1.3552527156068805e-20
media_news_website,-1.3552527156068805e-20
all_therapy,-1.3552527156068805e-20
masonry_concrete,-1.3552527156068805e-20
all_companies,-1.3552527156068805e-20
all_broker,-1.3552527156068805e-20
engraving,-1.3552527156068805e-20
all_house,-1.3552527156068805e-20
all_apartments,-1.3552527156068805e-20
all_shelter,-1.3552527156068805e-20
bathtub_and_sink_repairs,-1.3552527156068805e-20
beach,-1.3552527156068805e-20
all_rentals,-1.3552527156068805e-20
all_salon,-1.3552527156068805e-20
all_garden,-1.3552527156068805e-20
aquarium,-1.3552527156068805e-20
all_contractor,-1.3552527156068805e-20
all_offices,-1.3552527156068805e-20
airlines,-1.3552527156068805e-20
all_charter,-1.3552527156068805e-20
airline,-1.3552527156068805e-20
all_distribution,-1.3552527156068805e-20
bookbinding,-1.3552527156068805e-20
