feature,mean_importance
retail_avg_building_area,-1.6582882570428969e-06
all_broker,-1.5273775666633097e-06
all_development,-1.363943309825448e-06
electronics,-1.3104300951906802e-06
all_association,-1.1846571118954369e-06
all_agency,-9.382832007768277e-07
all_bookstore,-9.206699272377422e-07
all_union,-8.19345448816796e-07
all_company,-6.086258624312743e-07
commercial_avg_building_area,-5.007609214868061e-07
population,-4.7235103173491305e-07
community_services_non_profits,-4.5986410319917154e-07
all_provider,-4.5079068324895147e-07
all_class,-3.3092017889338207e-07
currency_exchange,-3.280759310114034e-07
all_dealer,-2.4491216708171556e-07
all_room,-2.3250019205297503e-07
health_and_medical,-2.1758058939138974e-07
all_resort,-1.89099574048827e-07
all_salon,-1.8727552828244268e-07
office_lsoa_area_ratio,-1.8211787303386973e-07
all_supplies,-1.6502656669092202e-07
all_dentist,-1.4565854625342547e-07
all_production,-1.4064293683058902e-07
all_companies,-9.963281882332241e-08
all_club,-9.850216153834654e-08
all_removal,-7.757581025765017e-08
all_piercing,-6.756653660226574e-08
all_equipment,-5.787107445664254e-08
office_total_area,-5.5514228671926934e-08
jazz_and_blues,-4.940776496363265e-08
all_church,-4.8402776973265746e-08
all_psychologist,-4.807221655315667e-08
junk_removal_and_hauling,-4.472803987025658e-08
housing_authorities,-4.192718899476058e-08
residential_lsoa_area_ratio,-4.155979757582671e-08
all_clothing,-3.570925194521521e-08
accountant,-3.277577677077793e-08
mosque,-3.1908015306438334e-08
bubble_tea,-3.024128183839672e-08
all_venue,-2.9076606872691266e-08
automotive,-2.514478354532861e-08
active_life,-2.4505277216753103e-08
key_and_locksmith,-2.1176500549531376e-08
hostel,-2.0578616928493418e-08
bike_repair_maintenance,-2.0286687089288083e-08
all_classes,-1.9912684535780132e-08
all_lounge,-1.754690890974582e-08
monument,-1.6107501337887776e-08
all_contractors,-1.5847329540488308e-08
spas,-1.5676127429212964e-08
all_league,-1.5151310307984635e-08
auto_manufacturers_and_distributors,-1.5033925568904253e-08
atms,-1.4841375072716026e-08
all_wear,-1.471755460736733e-08
bridge,-1.4391588380269302e-08
all_rental,-1.4346490829471131e-08
housing_cooperative,-1.4155980965048302e-08
library,-1.3975121302815016e-08
motor_freight_trucking,-1.3059207157990142e-08
all_stadium,-1.2770280763682921e-08
pharmacy,-1.1570383789872467e-08
doctor,-1.0876702502241487e-08
skilled_nursing,-9.207113788126933e-09
fashion,-8.844831211138207e-09
orthodontist,-8.41120145123926e-09
all_rink,-8.157566914420475e-09
all_cafe,-7.940386585630921e-09
telecommunications,-7.923738952508082e-09
funeral_services_and_cemeteries,-7.899777174106497e-09
record_label,-7.888622779487976e-09
veterinarian,-7.64628591687892e-09
all_department,-7.550687659192982e-09
all_remodeling,-7.51605339115646e-09
theatrical_productions,-7.489074495654012e-09
fishmonger,-7.338091668255252e-09
all_facility,-7.047239311132693e-09
furniture_assembly,-6.9917994037464065e-09
all_installation,-6.832732507634537e-09
all_manufacturers,-6.035988920935855e-09
all_office,-5.619531579133252e-09
all_market,-5.2473084085420846e-09
all_hall,-4.589017024184355e-09
car_wash,-4.56648034184823e-09
chiropractor,-4.512112296688469e-09
diner,-4.3989370549692305e-09
auto_detailing,-4.293909489845355e-09
all_loans,-4.028779484937313e-09
carpenter,-4.025757693404495e-09
airport_shuttles,-4.021084777303119e-09
family_practice,-3.995173814603408e-09
dog_walkers,-3.887539817385994e-09
all_tours,-3.668516356027129e-09
all_building,-3.653000582061472e-09
trusts,-2.940168555550047e-09
swimming_pool,-2.8862089856932924e-09
all_business,-2.825160352526641e-09
roofing,-2.8228950153995022e-09
all_clinic,-2.8019879038391126e-09
parking,-2.627971933514032e-09
embassy,-2.519878166445575e-09
all_wholesaler,-2.404838870283309e-09
kiosk,-2.1918275824552762e-09
all_businesses,-2.1642488085688288e-09
all_entertainment,-1.7926282177814782e-09
all_testing,-1.5577641964824741e-09
kitchen_and_bath,-1.503048703175528e-09
all_apartments,-1.4712964116391707e-09
all_team,-1.460106785576966e-09
all_estate,-1.306346311353635e-09
courthouse,-1.2845379383289693e-09
notary_public,-1.0753038748662004e-09
all_mining,-9.243230137046714e-10
psychotherapist,-8.49795121161327e-10
naturopathic_holistic,-7.589948243565277e-10
armed_forces_branch,-7.302761500469498e-10
all_laboratories,-7.175414956243951e-10
karaoke,-6.598078642098496e-10
bowling_alley,-6.386742935636015e-10
fruits_and_vegetables,-6.114778693900257e-10
boutique,-5.087026861273596e-10
mediator,-4.745465140675444e-10
nutritionist,-4.6087868032178683e-10
all_landscaping,-4.048790880741091e-10
all_manufacturer,-3.4705869036527313e-10
land_surveying,-2.184905686280006e-10
all_trainer,-1.98328694301351e-10
pet_breeder,-1.597862981332762e-10
drugstore,-1.4207954025937482e-10
all_field,-8.403456434809579e-11
electrician,-4.281628440330884e-11
pet_groomer,-2.22722764412148e-11
all_sitting,-2.1449406230930177e-11
energy_equipment_and_solution,-1.8841664270734684e-11
all_offices,-6.851490154304724e-12
audiologist,-4.7686197601325834e-12
all_engineers,-1.4073512131064849e-12
palace,0.0
exporters,0.0
dietitian,0.0
pension,0.0
diagnostic_imaging,0.0
dermatologist,0.0
ethical_grocery,0.0
all_institute,0.0
all_mill,0.0
wills_trusts_and_probate,0.0
all_consultants,0.0
pediatrician,0.0
endodontist,0.0
doner_kebab,0.0
endocrinologist,0.0
donuts,0.0
emissions_inspection,0.0
ear_nose_and_throat,0.0
embroidery_and_crochet,0.0
patio_covers,0.0
eatertainment,0.0
estate_liquidation,0.0
all_fair,0.0
grain_elevators,0.0
fertility,0.0
all_boarding,0.0
horse_riding,0.0
hospice,0.0
hot_tubs_and_pools,0.0
nurse_practitioner,0.0
hypnosis_hypnotherapy,0.0
importers,0.0
neurologist,0.0
iron_and_steel_industry,0.0
iron_work,0.0
jail_and_prison,0.0
junkyard,0.0
nature_reserve,0.0
laboratory,0.0
lake,0.0
laser_eye_surgery_lasik,0.0
musician,0.0
movers,0.0
linen,0.0
lottery_ticket,0.0
magician,0.0
marble_and_granite_professionals,0.0
marina,0.0
masonry_concrete,0.0
all_metals,0.0
matchmaker,0.0
media_news_website,0.0
home_automation,0.0
all_counselor,0.0
observatory,0.0
