feature,mean_importance
all_provider,-3.3044913360188797e-06
all_broker,-2.5739227283984946e-06
retail_avg_building_area,-2.4969914579586094e-06
all_development,-2.2807912510501473e-06
all_supplies,-2.1547260592236066e-06
all_media,-8.53433245182373e-07
all_union,-8.111188833434936e-07
telecommunications,-8.000501389625678e-07
psychic,-7.97389291522593e-07
currency_exchange,-6.507152252663735e-07
6_Xgboost_prediction,-5.381090568359583e-07
all_avg_building_area,-5.205247552622297e-07
office_lsoa_area_ratio,-3.5793998233893497e-07
all_spa,-3.4138137892781953e-07
5_Xgboost_prediction,-3.344899585224143e-07
all_companies,-2.0849435920600537e-07
retail_lsoa_area_ratio,-2.0181883130611692e-07
fashion,-1.4917988315686864e-07
record_label,-1.4744839142018208e-07
commercial_avg_building_area,-1.4356529958671384e-07
shopping,-1.3931739855674135e-07
counseling_and_mental_health,-1.0765395878708866e-07
health_and_medical,-1.0667352968781601e-07
15_RandomForest_prediction,-1.0177180113522723e-07
all_estate,-9.27323094991069e-08
distillery,-5.841848627019758e-08
all_facility,-4.919798586817481e-08
orthopedist,-4.48278433904574e-08
all_cleaning,-4.144821441566168e-08
all_rental,-3.951284309212922e-08
Ensemble_prediction,-3.879665309524901e-08
art_gallery,-3.544951071114677e-08
casino,-3.4761294477605943e-08
all_agent,-3.2957232640637676e-08
motor_freight_trucking,-3.029983910440034e-08
cafetaria,-2.902039219956215e-08
waxing,-2.831128761277533e-08
all_centers,-2.7683445079953713e-08
all_agencies,-2.4828671156922857e-08
all_production,-2.385964075056913e-08
all_massage,-2.3616922511200743e-08
bakery,-2.051345350561663e-08
residential_total_area,-2.0292625297604806e-08
all_hall,-1.92782269366025e-08
retail,-1.9222250413711848e-08
electronics,-1.6884341387017285e-08
all_club,-1.6653765741380072e-08
all_organizations,-1.5380328833146535e-08
all_repair,-1.3955390553783064e-08
all_education,-1.3588314936292356e-08
orthodontist,-1.3186036750643536e-08
all_services,-1.2890046203694835e-08
all_park,-1.2183723517374839e-08
bike_repair_maintenance,-1.0333576144650065e-08
hostel,-9.912302723199748e-09
doctor,-8.589044911004638e-09
all_clothing,-8.508491907354647e-09
desserts,-7.696355503887574e-09
computer_coaching,-7.315275105489855e-09
junk_removal_and_hauling,-6.823223351281574e-09
all_law,-6.175695277350424e-09
public_service_and_government,-6.062630928101794e-09
all_association,-5.917601021557858e-09
all_church,-4.420199828326834e-09
all_studio,-4.215716316853069e-09
key_and_locksmith,-4.078302660176242e-09
all_distribution,-3.920707151479222e-09
radio_and_television_commercials,-3.4092952995716953e-09
gardener,-2.8301976457085002e-09
banks,-2.7450792278199037e-09
nutritionist,-2.1489789831419423e-09
all_clinic,-2.076558598400227e-09
all_planning,-1.8722472425078103e-09
railroad_freight,-1.791862885727833e-09
metal_fabricator,-1.6296983746983026e-09
all_venue,-1.6278587136359274e-09
all_preschool,-1.442224998869407e-09
funeral_services_and_cemeteries,-1.3167480973901457e-09
kids_recreation_and_party,-1.0996161051130643e-09
all_landscaping,-9.04589160649334e-10
housing_authorities,-8.922675914042801e-10
painting,-7.707690325071438e-10
all_food,-7.360982979295709e-10
superstore,-4.992633964725438e-10
attractions_and_activities,-3.887290102305837e-10
theatrical_productions,-9.700175526369554e-11
all_lounge,-4.334850432709432e-11
movers,-3.152522868947981e-11
endodontist,0.0
all_testing,0.0
all_businesses,0.0
restaurant_wholesale,0.0
hair_extensions,0.0
gun_and_ammo,0.0
hair_replacement,0.0
engraving,0.0
all_consultants,0.0
energy_equipment_and_solution,0.0
all_coach,0.0
emissions_inspection,0.0
all_room,0.0
grain_elevators,0.0
hearing_aids,0.0
hematology,0.0
hiking_trail,0.0
all_arena,0.0
embroidery_and_crochet,0.0
all_decor,0.0
embassy,0.0
all_home,0.0
home_automation,0.0
home_developer,0.0
all_boarding,0.0
endocrinologist,0.0
all_instructor,0.0
horse_riding,0.0
all_track,0.0
all_exporter,0.0
all_contractors,0.0
food_stand,0.0
fishmonger,0.0
food_truck,0.0
fountain,0.0
all_foods,0.0
firework_retailer,0.0
all_department,0.0
fertility,0.0
fruits_and_vegetables,0.0
all_market,0.0
furniture_assembly,0.0
furniture_reupholstery,0.0
all_course,0.0
furniture_wholesalers,0.0
family_practice,0.0
gastroenterologist,0.0
gastropub,0.0
all_counselor,0.0
all_fair,0.0
gelato,0.0
genealogists,0.0
rock_climbing_spot,0.0
roofing,0.0
ethical_grocery,0.0
estate_liquidation,0.0
all_florist,0.0
general_festivals,0.0
general_litigation,0.0
river,0.0
rugby_pitch,0.0
exporters,0.0
hot_tubs_and_pools,0.0
pension,0.0
pediatrician,0.0
patio_covers,0.0
all_mill,0.0
palace,0.0
paintball,0.0
paint_your_own_pottery,0.0
outdoor_gear,0.0
performing_arts,0.0
osteopathic_physician,0.0
optometrist,0.0
ophthalmologist,0.0
opera_and_ballet,0.0
oil_refiners,0.0
oil_and_gas,0.0
occupational_safety,0.0
obstetrician_and_gynecologist,0.0
observatory,0.0
osteopath,0.0
permanent_makeup,0.0
personal_assistant,0.0
personal_chef,0.0
psychiatrist,0.0
process_servers,0.0
private_tutor,0.0
private_jet_charters,0.0
private_investigation,0.0
private_equity_firm,0.0
all_washing,0.0
all_billiards,0.0
plumbing,0.0
all_plaza,0.0
playground,0.0
plasterer,0.0
planetarium,0.0
all_piercing,0.0
pier,0.0
all_zoo,0.0
pets,0.0
pet_groomer,0.0
pet_breeder,0.0
nurse_practitioner,0.0
notary_public,0.0
neurologist,0.0
quay,0.0
lake,0.0
laboratory,0.0
electrician,0.0
real_estate_investment,0.0
karaoke,0.0
junkyard,0.0
jail_and_prison,0.0
iron_work,0.0
iron_and_steel_industry,0.0
reflexology,0.0
investing,0.0
importers,0.0
all_rink,0.0
reiki,0.0
hypnosis_hypnotherapy,0.0
all_gardening,0.0
housing_cooperative,0.0
all_sitting,0.0
all_resort,0.0
land_surveying,0.0
hospice,0.0
laser_eye_surgery_lasik,0.0
laundromat,0.0
nature_reserve,0.0
mountain,0.0
monument,0.0
all_metals,0.0
mediator,0.0
media_news_website,0.0
matchmaker,0.0
radiologist,0.0
masonry_concrete,0.0
marina,0.0
marble_and_granite_professionals,0.0
magician,0.0
luggage_storage,0.0
lottery_ticket,0.0
lodge,0.0
linen,0.0
all_goods,0.0
lawyer,0.0
law_enforcement,0.0
laser_tag,0.0
all_institute,0.0
cricket_ground,0.0
beer_wine_and_spirits,0.0
b2b_rubber_and_plastics,0.0
b2b_jewelers,0.0
b2b_hardware,0.0
b2b_furniture_and_housewares,0.0
all_dealers,0.0
b2b_food_products,0.0
all_mining,0.0
all_equipment,0.0
b2b_science_and_technology,0.0
b2b_apparel,0.0
automotive,0.0
automobile_leasing,0.0
auto_upholstery,0.0
all_security,0.0
all_insurance,0.0
auto_customization,0.0
studio_taping,0.0
auditorium,0.0
all_accessories,0.0
swimming_pool,0.0
structure_and_geography,0.0
all_court,0.0
books_mags_music_and_video,0.0
bookkeeper,0.0
bookbinding,0.0
all_training,0.0
all_charter,0.0
eatertainment,0.0
all_garden,0.0
steakhouse,0.0
baby_gear_and_furniture,0.0
steel_fabricators,0.0
stone_and_masonry,0.0
bathtub_and_sink_repairs,0.0
all_stores,0.0
all_stadium,0.0
all_field,0.0
bartender,0.0
all_classes,0.0
structural_engineer,0.0
all_rentals,0.0
spray_tanning,0.0
all_tours,0.0
astrologer,0.0
agriculture,0.0
all_supplier,0.0
all_program,0.0
trains,0.0
trusts,0.0
university_housing,0.0
urologist,0.0
veterinarian,0.0
tiling,0.0
videographer,0.0
abuse_and_addiction_treatment,0.0
warehouses,0.0
waterproofing,0.0
office_total_area,0.0
wholesale_grocer,0.0
wildlife_sanctuary,0.0
wills_trusts_and_probate,0.0
winery,0.0
vitamins_and_supplements,0.0
atms,0.0
ticket_sales,0.0
airport,0.0
arts_and_crafts,0.0
synagogue,0.0
all_restoration,0.0
all_museum,0.0
aromatherapy,0.0
architecture,0.0
teeth_whitening,0.0
all_range,0.0
airlines,0.0
arcade,0.0
television_service_providers,0.0
all_shelter,0.0
test_preparation,0.0
all_team,0.0
theaters_and_performance_venues,0.0
all_medicine,0.0
airport_terminal,0.0
airport_shuttles,0.0
aquarium,0.0
all_camp,0.0
psychotherapist,0.0
boutique,0.0
all_engineers,0.0
circus,0.0
cinema,0.0
sewing_and_alterations,0.0
christmas_trees,0.0
choir,0.0
chocolatier,0.0
chiropractor,0.0
chimney_sweep,0.0
all_photography,0.0
all_therapist,0.0
diagnostic_imaging,0.0
chemical_plant,0.0
all_loans,0.0
shades_and_blinds,0.0
dietitian,0.0
all_wear,0.0
civil_rights_lawyers,0.0
diner,0.0
all_laboratories,0.0
coal_and_coke,0.0
delicatessen,0.0
all_farm,0.0
psychic_medium,0.0
all_space,0.0
courthouse,0.0
cottage,0.0
screen_printing_t_shirt_printing,0.0
condominium,0.0
all_instruction,0.0
sculpture_statue,0.0
all_artist,0.0
all_vehicles,0.0
commercial_refrigeration,0.0
dermatologist,0.0
commercial_printer,0.0
commercial_industrial,0.0
security_systems,0.0
coach_bus,0.0
caterer,0.0
cave,0.0
carpenter,0.0
all_trainer,0.0
all_management,0.0
business_office_supplies_and_stationery,0.0
all_supply,0.0
business_consulting,0.0
donuts,0.0
all_business,0.0
drugstore,0.0
doner_kebab,0.0
builders,0.0
bubble_tea,0.0
ear_nose_and_throat,0.0
bridge,0.0
brewery,0.0
brasserie,0.0
skilled_nursing,0.0
speakeasy,0.0
bowling_alley,0.0
all_temple,0.0
business_signage,0.0
all_schools,0.0
dog_walkers,0.0
all_counseling,0.0
all_surgeon,0.0
cardiologist,0.0
all_tinting,0.0
car_wash,0.0
all_installation,0.0
all_inspector,0.0
canal,0.0
shutters,0.0
data_recovery,0.0
campground,0.0
sign_making,0.0
cabin,0.0
all_brokers,6.506533007689941e-12
handyman,8.275108524845657e-11
library,1.5640140477483304e-10
all_advertising,1.5958938827831825e-10
musician,2.3241021878273732e-10
parking,2.478370214484488e-10
podiatrist,2.968960860879255e-10
armed_forces_branch,2.9840989741085693e-10
all_transportation,3.536405758400134e-10
hair_stylist,5.667172256376262e-10
all_agents,5.936732414831913e-10
eat_and_drink,7.722661008076337e-10
all_house,1.3418760097332582e-09
auto_detailing,1.7035824451610376e-09
barber,1.7240721460827676e-09
mortgage_lender,1.9942490208843793e-09
all_station,2.062138315607389e-09
financial_advising,2.0718564110194404e-09
auto_manufacturers_and_distributors,2.0902326960345894e-09
all_offices,2.4775452690041802e-09
audiologist,2.5436897007193124e-09
all_manufacturers,3.747028499599073e-09
all_remodeling,3.7969002209892536e-09
all_buyer,4.588079676693334e-09
all_contractor,5.0066884990873854e-09
all_agency,6.02769427380525e-09
acupuncture,6.0970072523201024e-09
13_RandomForest_prediction,7.179993349274317e-09
kiosk,7.836138323768778e-09
all_school,9.338395916575902e-09
ice_cream_and_frozen_yoghurt,9.659105318384734e-09
all_design,1.2039573522959847e-08
all_league,1.2105476779341695e-08
active_life,1.2111236354409548e-08
all_bar,1.3620660216327458e-08
all_removal,1.4961666382621903e-08
spas,1.5880582792993136e-08
office_avg_building_area,1.6007369166870534e-08
mosque,1.6209994321538186e-08
all_psychologist,1.6406113028942276e-08
all_architect,1.6833539934194205e-08
all_dentist,1.8485167646020164e-08
1_Default_Xgboost_prediction,1.860605093001813e-08
general_dentistry,2.2871392459932762e-08
hotel,2.5665373854096787e-08
all_building,2.6557868925799662e-08
all_care,2.6761183417143708e-08
used_vintage_and_consignment,2.752102480968119e-08
airline,2.9871661779348337e-08
all_entertainment,2.9937684783995304e-08
eyewear_and_optician,3.1077294257406975e-08
jazz_and_blues,3.1139035960991575e-08
naturopathic_holistic,3.187641966635973e-08
all_designer,3.1911039627665545e-08
all_center,3.394470053584531e-08
pharmacy,3.4502444024457126e-08
kitchen_and_bath,3.619829253946876e-08
12_RandomForest_prediction,4.574717523120862e-08
all_cafe,4.9096040244541414e-08
escape_rooms,5.4742388200820864e-08
b2b_textiles,5.51116773996914e-08
7_Xgboost_prediction,5.720752360069935e-08
all_therapy,6.180082809440456e-08
church_cathedral,6.990197949819526e-08
all_shop,8.617966927184197e-08
population,1.2743163874185717e-07
all_company,1.2766454564040428e-07
college_university,1.5098381196453156e-07
all_bookstore,1.511338733898779e-07
all_pub,1.5246823557315505e-07
supermarket,1.5384307929546513e-07
theatre,1.7132522332560123e-07
all_organization,1.7233178888164227e-07
bed_and_breakfast,1.9473543419885582e-07
all_accommodation,1.9493758271908247e-07
all_service,1.9583747475519568e-07
accountant,2.3615229218070247e-07
tattoo,2.6191107918709676e-07
all_office,2.830433610895235e-07
all_salon,3.1972906474320424e-07
community_services_non_profits,3.2035785701911494e-07
all_consultant,3.2152622712221443e-07
all_manufacturer,3.4029856960187365e-07
11_CatBoost_prediction,3.6478497533575646e-07
8_CatBoost_prediction,3.7788681481857083e-07
all_publisher,4.961513297106421e-07
residential_lsoa_area_ratio,5.364793512752981e-07
all_restaurant,5.592995565634987e-07
residential_avg_building_area,6.170795703486231e-07
public_relations,6.34204988138662e-07
2_Default_CatBoost_prediction,6.518200864277773e-07
all_dealer,6.595979228078182e-07
all_class,6.69110458490689e-07
travel,7.981676575380739e-07
all_gym,9.118873233834163e-07
all_store,1.0137694080847039e-06
14_RandomForest_prediction,1.144878135217521e-06
all_wholesaler,1.160517968951428e-06
3_Default_RandomForest_prediction,1.3406731152947039e-06
all_total_area,1.4352957335361322e-06
num_buildings,1.7686558999344392e-06
commercial_lsoa_area_ratio,2.19887171195788e-06
num_places,2.2002889880234224e-06
all_apartments,2.3000733405057702e-06
all_hospital,2.4051134665509e-06
10_CatBoost_prediction,2.4367893057838826e-06
beach,2.4821169986843352e-06
commercial_total_area,4.167151603215019e-06
4_Xgboost_prediction,4.836657806950534e-06
retail_total_area,5.789240797548592e-06
all_lsoa_area_ratio,6.891556797460698e-06
9_CatBoost_prediction,2.8225428889082782e-05
