feature,mean_importance
naturopathic_holistic,-4.3423946316257835e-06
all_lounge,-2.621533934696533e-06
bakery,-2.4246958273689007e-06
outdoor_gear,-1.631350475262024e-06
escape_rooms,-1.3887082651997737e-06
land_surveying,-9.674117162557857e-07
all_brokers,-9.494255915144084e-07
painting,-6.671795472911585e-07
nutritionist,-5.681674572157792e-07
fountain,-5.52152675265536e-07
fertility,-5.357953998441764e-07
lake,-5.130284959628322e-07
eyewear_and_optician,-5.119421150619847e-07
all_spa,-4.554913564732853e-07
winery,-4.486065933293111e-07
all_company,-3.564718653613244e-07
key_and_locksmith,-3.4719679964200076e-07
all_store,-3.1900303041347184e-07
all_program,-2.9150275388924263e-07
all_therapy,-2.9118662591685905e-07
magician,-2.785145820798085e-07
delicatessen,-2.5638049002089524e-07
hair_replacement,-2.458301130207137e-07
luggage_storage,-2.359391462766183e-07
gardener,-2.2386360295997572e-07
all_clinic,-2.1493557737361645e-07
doctor,-2.1421496182921556e-07
obstetrician_and_gynecologist,-2.0720151763806497e-07
cinema,-1.886010125227251e-07
all_agent,-1.6872341420609907e-07
computer_coaching,-1.6085391438483833e-07
office_total_area,-1.3913364919036232e-07
used_vintage_and_consignment,-1.3644676498783039e-07
all_arena,-1.327059256677767e-07
books_mags_music_and_video,-1.2360382755769891e-07
supermarket,-1.0402016289675405e-07
all_station,-9.562065146865727e-08
acupuncture,-9.227283683768314e-08
all_total_area,-8.880049512965297e-08
airlines,-8.203168904948108e-08
auto_detailing,-7.562917276761729e-08
all_venue,-7.508251053014027e-08
all_buyer,-7.279458720187929e-08
funeral_services_and_cemeteries,-5.7651954385977294e-08
all_contractor,-5.45704017538022e-08
all_rental,-5.4026666806321954e-08
donuts,-4.883929063021516e-08
spas,-4.508495418299339e-08
atms,-4.43320723355462e-08
all_architect,-4.1573608233899056e-08
all_supply,-3.7495747093584934e-08
all_garden,-3.6916218760715824e-08
osteopathic_physician,-3.5038728967719776e-08
all_coach,-3.377749325091605e-08
all_league,-3.225334665332377e-08
all_insurance,-3.1061749458850426e-08
all_landscaping,-2.5370666673746843e-08
structural_engineer,-2.4708835014440645e-08
all_institute,-2.2789610018889406e-08
kitchen_and_bath,-2.2311543669296118e-08
travel,-2.212213509500036e-08
veterinarian,-2.1580815750361567e-08
retail,-2.1270611876434818e-08
hair_extensions,-1.8901694883008327e-08
all_tours,-1.8892482310864377e-08
personal_chef,-1.6668724838559898e-08
all_house,-1.6218905062368284e-08
parking,-1.5250920157419733e-08
all_billiards,-1.5196143924813996e-08
all_cleaning,-1.4984122734832067e-08
dog_walkers,-1.4328523211150486e-08
steakhouse,-1.1897377050841583e-08
kids_recreation_and_party,-1.0164612167685039e-08
all_remodeling,-9.935365490851321e-09
movers,-9.06849263769072e-09
all_counseling,-7.849872283969976e-09
urologist,-6.3261192411519665e-09
doner_kebab,-6.207902191227802e-09
screen_printing_t_shirt_printing,-5.852693686202864e-09
laser_eye_surgery_lasik,-4.1486099812198736e-09
general_dentistry,-3.963863079648388e-09
podiatrist,-3.8705197108772e-09
pet_groomer,-3.736345562777672e-09
trains,-3.1900916709778035e-09
all_wholesaler,-3.0912187976993473e-09
all_salon,-2.1627146219293373e-09
all_instruction,-1.900043242240943e-09
hospice,-1.767495078883229e-09
all_course,-1.6896209471958194e-09
all_stadium,-1.339112982003468e-09
condominium,-1.2746797492470176e-09
rugby_pitch,-7.693366124500098e-10
laser_tag,-7.256822389908098e-10
courthouse,-6.076532116025546e-10
planetarium,-5.908734888198687e-10
