feature,mean_importance
eat_and_drink,-2.136243488743928e-06
supermarket,-1.840350647759407e-06
all_avg_building_area,-1.7942062582309911e-06
4_Xgboost_prediction,-1.176223682529428e-06
barber,-7.367810087025196e-07
chiropractor,-7.265040167723158e-07
all_accommodation,-6.830779479302001e-07
all_organization,-6.614887654880888e-07
all_coach,-5.360337229434159e-07
all_medicine,-5.040883948806776e-07
all_venue,-4.6024631081471887e-07
all_designer,-3.9975984977404984e-07
all_florist,-3.8015970449108516e-07
health_and_medical,-3.6664211338600593e-07
all_rentals,-3.6420422082301464e-07
all_care,-3.456803534855477e-07
general_dentistry,-3.318179970231708e-07
all_agencies,-3.1341714912990943e-07
all_repair,-2.9646581805014004e-07
trusts,-2.8939074877273396e-07
residential_total_area,-2.540517898968217e-07
eyewear_and_optician,-2.427569078472492e-07
fashion,-2.359031544910573e-07
all_service,-2.3006394201235812e-07
currency_exchange,-2.2796583004517577e-07
hostel,-2.1510572680074615e-07
all_station,-2.025383497832186e-07
all_design,-1.9455499411255659e-07
all_park,-1.675891155771301e-07
nutritionist,-1.4817034321103798e-07
all_services,-1.353934018884505e-07
all_agency,-1.3150566148248177e-07
office_lsoa_area_ratio,-1.3040868331610362e-07
all_estate,-1.2906028065316566e-07
all_farm,-1.28810553485831e-07
swimming_pool,-1.1726739336242472e-07
doctor,-1.136679849472329e-07
lawyer,-1.0710042362499993e-07
all_broker,-9.74872976714945e-08
all_dentist,-9.039728767230582e-08
all_architect,-8.992725667689931e-08
record_label,-8.537762134011449e-08
5_Xgboost_prediction,-8.258435204707235e-08
all_insurance,-8.185789005949867e-08
15_RandomForest_prediction,-8.118277841060751e-08
acupuncture,-6.841298058780101e-08
office_total_area,-6.738564351107081e-08
commercial_avg_building_area,-6.466083496819568e-08
theatre,-5.7588392569007596e-08
electronics,-4.497007320912574e-08
all_house,-4.1212825609273976e-08
bridge,-4.099311874975148e-08
all_classes,-3.8108705355680896e-08
all_arena,-3.1635736179301835e-08
nurse_practitioner,-3.123469664275059e-08
painting,-2.5815379861732504e-08
all_building,-2.500350511197276e-08
all_contractor,-2.3377776749452886e-08
business_signage,-1.4770932262355687e-08
commercial_industrial,-1.4608815603395415e-08
tattoo,-1.3326515506489032e-08
family_practice,-1.2120245639697831e-08
gastropub,-1.1376484458385688e-08
sign_making,-9.653663455743616e-09
chocolatier,-9.645768749915417e-09
waterproofing,-7.21439046399221e-09
obstetrician_and_gynecologist,-5.75220492288138e-09
speakeasy,-4.852386394404225e-09
all_zoo,-4.815262805559027e-09
housing_authorities,-4.142779802487776e-09
delicatessen,-3.73995324072393e-09
opera_and_ballet,-3.096739743026775e-09
psychiatrist,-2.841348363302786e-09
automobile_leasing,-1.9475995518012996e-09
osteopath,-1.9178398063304227e-09
all_clinic,-1.6369278469518946e-09
luggage_storage,-1.4077801783018268e-09
all_court,-1.0271182061298502e-09
cinema,-9.603651714910725e-10
hiking_trail,-8.240006352808541e-10
psychotherapist,-7.987650945594184e-10
laundromat,-6.304484043135163e-10
all_church,-2.3444937918143394e-10
pension,-2.152791708624497e-10
rock_climbing_spot,-1.8427080631912503e-10
art_gallery,-1.6549963319684472e-10
caterer,-1.331358442585649e-10
kiosk,-3.284638397046697e-11
genealogists,-2.6002725630515107e-11
junkyard,0.0
all_landscaping,0.0
importers,0.0
iron_work,0.0
all_rink,0.0
junk_removal_and_hauling,0.0
iron_and_steel_industry,0.0
all_companies,0.0
horse_riding,0.0
jazz_and_blues,0.0
all_decor,0.0
all_gardening,0.0
all_home,0.0
home_automation,0.0
all_boarding,0.0
housing_cooperative,0.0
all_sitting,0.0
hot_tubs_and_pools,0.0
hospice,0.0
ice_cream_and_frozen_yoghurt,0.0
jail_and_prison,0.0
exporters,0.0
hearing_aids,0.0
food_truck,0.0
all_exporter,0.0
all_contractors,0.0
fishmonger,0.0
firework_retailer,0.0
television_service_providers,0.0
all_market,0.0
all_counselor,0.0
all_fair,0.0
test_preparation,0.0
ethical_grocery,0.0
estate_liquidation,0.0
escape_rooms,0.0
theaters_and_performance_venues,0.0
all_testing,0.0
all_businesses,0.0
engraving,0.0
fountain,0.0
hematology,0.0
all_foods,0.0
funeral_services_and_cemeteries,0.0
handyman,0.0
hair_replacement,0.0
hair_extensions,0.0
gun_and_ammo,0.0
grain_elevators,0.0
all_instructor,0.0
all_course,0.0
all_track,0.0
general_litigation,0.0
general_festivals,0.0
gelato,0.0
gastroenterologist,0.0
gardener,0.0
teeth_whitening,0.0
furniture_wholesalers,0.0
furniture_reupholstery,0.0
furniture_assembly,0.0
fruits_and_vegetables,0.0
karaoke,0.0
all_metals,0.0
kitchen_and_bath,0.0
all_psychologist,0.0
psychic_medium,0.0
superstore,0.0
process_servers,0.0
private_tutor,0.0
private_jet_charters,0.0
private_investigation,0.0
private_equity_firm,0.0
all_washing,0.0
quay,0.0
