feature,mean_importance
investing,-2.9406847060281857e-07
psychic,-9.601102544000558e-08
all_office,-1.1473523463790778e-09
armed_forces_branch,-1.2197274440461925e-20
theaters_and_performance_venues,-1.0842021724855045e-20
business_office_supplies_and_stationery,-9.486769009248163e-21
motor_freight_trucking,-9.486769009248163e-21
synagogue,-9.486769009248163e-21
used_vintage_and_consignment,-9.486769009248163e-21
railroad_freight,-8.131516293641283e-21
reflexology,-8.131516293641283e-21
personal_assistant,-8.131516293641283e-21
cabin,-8.131516293641283e-21
fertility,-8.131516293641283e-21
distillery,-8.131516293641283e-21
all_market,-8.131516293641283e-21
coal_and_coke,-8.131516293641283e-21
all_manufacturers,-8.131516293641283e-21
all_entertainment,-8.131516293641283e-21
furniture_wholesalers,-8.131516293641283e-21
all_supplies,-8.131516293641283e-21
jail_and_prison,-8.131516293641283e-21
all_removal,-8.131516293641283e-21
auto_manufacturers_and_distributors,-8.131516293641283e-21
all_course,-8.131516293641283e-21
tattoo,-8.131516293641283e-21
urologist,-8.131516293641283e-21
emissions_inspection,-8.131516293641283e-21
all_fair,-8.131516293641283e-21
kiosk,-8.131516293641283e-21
all_distribution,-8.131516293641283e-21
mosque,-8.131516293641283e-21
all_therapy,-8.131516293641283e-21
embroidery_and_crochet,-8.131516293641283e-21
commercial_total_area,-8.131516293641283e-21
all_temple,-6.776263578034403e-21
all_training,-6.776263578034403e-21
attractions_and_activities,-6.776263578034403e-21
all_care,-6.776263578034403e-21
all_charter,-6.776263578034403e-21
boutique,-6.776263578034403e-21
all_house,-6.776263578034403e-21
library,-6.776263578034403e-21
church_cathedral,-6.776263578034403e-21
chiropractor,-6.776263578034403e-21
commercial_printer,-6.776263578034403e-21
all_station,-6.776263578034403e-21
all_schools,-6.776263578034403e-21
business_signage,-6.776263578034403e-21
all_stores,-6.776263578034403e-21
all_venue,-6.776263578034403e-21
mountain,-6.776263578034403e-21
bakery,-6.776263578034403e-21
computer_coaching,-6.776263578034403e-21
carpenter,-6.776263578034403e-21
hospice,-6.776263578034403e-21
painting,-6.776263578034403e-21
palace,-6.776263578034403e-21
karaoke,-6.776263578034403e-21
all_equipment,-6.776263578034403e-21
all_clothing,-6.776263578034403e-21
automotive,-6.776263578034403e-21
home_automation,-6.776263578034403e-21
all_security,-6.776263578034403e-21
all_landscaping,-6.776263578034403e-21
lottery_ticket,-6.776263578034403e-21
family_practice,-6.776263578034403e-21
all_store,-6.776263578034403e-21
ear_nose_and_throat,-6.776263578034403e-21
eat_and_drink,-6.776263578034403e-21
active_life,-6.776263578034403e-21
all_organizations,-6.776263578034403e-21
spray_tanning,-6.776263578034403e-21
skilled_nursing,-6.776263578034403e-21
electronics,-6.776263578034403e-21
fashion,-6.776263578034403e-21
shades_and_blinds,-6.776263578034403e-21
trains,-6.776263578034403e-21
all_food,-6.776263578034403e-21
