feature,mean_importance
telecommunications,-1.3012398785119418e-06
office_lsoa_area_ratio,-1.2758040626990652e-06
14_RandomForest_prediction,-6.429137178337308e-07
family_practice,-4.923544227883672e-07
brewery,-2.4616970658503155e-07
psychic,-2.3544184473372576e-07
4_Xgboost_prediction,-2.2351066322312107e-07
all_company,-2.1403022694616883e-07
all_union,-1.5799838754656973e-07
6_Xgboost_prediction,-1.364758671314664e-07
office_avg_building_area,-1.3389071829657718e-07
brasserie,-9.79070485985855e-08
all_agency,-8.850279316004759e-08
all_offices,-8.81352102978793e-08
residential_total_area,-7.592595240121953e-08
orthopedist,-6.471905879033922e-08
all_office,-5.260958310000785e-08
3_Default_RandomForest_prediction,-4.604739451798199e-08
bridge,-4.0781383129349143e-08
doctor,-3.846992890966009e-08
all_consultant,-3.2697614012100106e-08
all_church,-2.689935718354472e-08
all_planning,-2.6455085061922448e-08
currency_exchange,-2.4607920881964926e-08
all_development,-2.3772460256365166e-08
all_pub,-2.0424643917834967e-08
13_RandomForest_prediction,-2.022163739167043e-08
lawyer,-1.6444188275044977e-08
kiosk,-1.6324539137854113e-08
all_entertainment,-1.42458396202818e-08
books_mags_music_and_video,-1.291529688771467e-08
population,-1.1406731666188077e-08
jazz_and_blues,-1.106662721645803e-08
all_companies,-1.087839084452024e-08
all_store,-7.474730918092696e-09
all_food,-7.398420288673478e-09
all_bar,-7.230511304888942e-09
all_bookstore,-6.5937770310048025e-09
all_tours,-6.1485026756617114e-09
investing,-4.490237872533309e-09
arts_and_crafts,-4.4824262107883305e-09
waxing,-3.827230673746355e-09
attractions_and_activities,-1.882802595353384e-09
theatrical_productions,-4.2629609224684347e-10
orthodontist,-1.4963636247786443e-10
all_medicine,-1.1425192970794962e-10
genealogists,-2.7105054312137612e-21
commercial_refrigeration,-2.7105054312137612e-21
commercial_printer,-2.7105054312137612e-21
palace,-2.7105054312137612e-21
ear_nose_and_throat,0.0
bookkeeper,0.0
all_supply,0.0
all_transportation,0.0
all_contractors,0.0
fishmonger,0.0
fashion,0.0
campground,0.0
canal,0.0
all_fair,0.0
ethical_grocery,0.0
all_tinting,0.0
all_organizations,0.0
all_counseling,0.0
escape_rooms,0.0
engraving,0.0
