feature,mean_importance
all_office,-3.139155909750394e-06
all_avg_building_area,-2.617577173066963e-06
commercial_lsoa_area_ratio,-2.084383280261149e-06
residential_lsoa_area_ratio,-1.3565290387430543e-06
commercial_total_area,-1.2328658111726133e-06
all_development,-9.33160339022126e-07
commercial_avg_building_area,-7.54615982376521e-07
naturopathic_holistic,-4.974549714989156e-07
all_piercing,-4.572174579850382e-07
donuts,-4.259083064994256e-07
all_venue,-3.995405218268477e-07
all_agencies,-3.750431003208339e-07
residential_avg_building_area,-3.614802189092208e-07
barber,-3.4352454657639906e-07
retail_avg_building_area,-2.7266789757512474e-07
office_avg_building_area,-2.459144035186391e-07
all_restaurant,-1.9220735811313676e-07
psychic,-1.9109109797643481e-07
all_union,-1.5451240550598033e-07
all_association,-1.4446787505289484e-07
all_space,-1.396519953560064e-07
college_university,-1.3859117438542307e-07
active_life,-1.3362715276116356e-07
caterer,-1.2987315298419917e-07
community_services_non_profits,-1.1804332702125531e-07
all_agency,-1.155049621401997e-07
all_company,-9.960073918617964e-08
handyman,-9.952526848496472e-08
home_developer,-8.414810082996252e-08
counseling_and_mental_health,-8.365649095731163e-08
all_cleaning,-7.104528109587574e-08
all_consultants,-6.866504382933407e-08
all_club,-6.44834786414083e-08
art_gallery,-5.8425686787348156e-08
all_clinic,-5.5564819666711485e-08
all_repair,-5.51791255994186e-08
all_gym,-4.3277270822800854e-08
retail_total_area,-4.045570925686006e-08
all_bookstore,-3.9624524296715674e-08
all_equipment,-3.4506364399179406e-08
business_consulting,-3.31773854669927e-08
supermarket,-2.8171241746114403e-08
all_food,-2.248576880946627e-08
security_systems,-2.2327855170539787e-08
bakery,-1.9562099875540984e-08
all_transportation,-1.9330467923056495e-08
plumbing,-1.8674801027509992e-08
all_rentals,-1.8528279747575714e-08
all_station,-1.795114222233633e-08
all_lounge,-1.3897209396877462e-08
all_architect,-1.2090668334932293e-08
hair_stylist,-1.1361939647297188e-08
kiosk,-1.0673453862743448e-08
kids_recreation_and_party,-9.298893133804956e-09
automotive,-8.813870204257109e-09
acupuncture,-7.681427588085757e-09
all_building,-7.479350925827366e-09
all_advertising,-6.895681347962948e-09
gastropub,-6.645388363846021e-09
all_gardening,-5.99127256769059e-09
banks,-5.8595046289726545e-09
electrician,-5.324133659349883e-09
distillery,-5.2397124826139046e-09
gardener,-5.199128980283704e-09
all_home,-4.929790338239495e-09
theatrical_productions,-3.0778150085774288e-09
all_buyer,-2.271132359711874e-09
all_facility,-2.0192150614785766e-09
all_distribution,-1.967261536507149e-09
all_school,-1.9322677846005457e-09
warehouses,-1.7053606865606541e-09
eyewear_and_optician,-1.664443110393338e-09
all_goods,-1.6476196177306247e-09
orthopedist,-1.6226749315607328e-09
condominium,-1.520227662564445e-09
all_preschool,-1.5177116736566167e-09
airport,-1.1410192734620798e-09
boutique,-1.021718249721447e-09
all_classes,-8.616708985938995e-10
veterinarian,-8.081458203752345e-10
lake,-7.148929700577815e-10
general_dentistry,-5.744804483886318e-10
hostel,-5.458902784950923e-10
astrologer,-4.992525668378288e-10
pharmacy,-3.642206148902734e-10
all_security,-3.461712989557327e-10
notary_public,-1.9928430343917838e-10
all_market,-1.9217041987112764e-10
attractions_and_activities,-1.56115430621133e-10
all_stadium,-1.2841121194259904e-10
all_institute,-9.511328841362151e-11
housing_cooperative,-8.943415140676581e-11
roofing,-2.3175068126753216e-11
psychotherapist,-7.822623236295681e-12
laboratory,0.0
all_rink,0.0
importers,0.0
all_landscaping,0.0
laser_tag,0.0
laser_eye_surgery_lasik,0.0
junkyard,0.0
lottery_ticket,0.0
lodge,0.0
jazz_and_blues,0.0
jail_and_prison,0.0
land_surveying,0.0
law_enforcement,0.0
iron_work,0.0
iron_and_steel_industry,0.0
linen,0.0
engraving,0.0
hypnosis_hypnotherapy,0.0
gastroenterologist,0.0
furniture_wholesalers,0.0
furniture_reupholstery,0.0
all_manufacturers,0.0
furniture_assembly,0.0
fruits_and_vegetables,0.0
