feature,mean_importance
12_RandomForest_prediction,-4.286580017009886e-06
shopping,-3.587225900274492e-06
3_Default_RandomForest_prediction,-2.4381694269364327e-06
13_RandomForest_prediction,-2.237067334382871e-06
all_restaurant,-2.2188381603417157e-06
all_building,-2.165902420826768e-06
all_cafe,-2.143894147630174e-06
all_store,-1.4136760706352687e-06
all_total_area,-1.3378342444963044e-06
all_room,-1.228760741212365e-06
all_salon,-1.0535340357460824e-06
num_places,-1.0066831680022169e-06
15_RandomForest_prediction,-9.561492966999604e-07
all_agent,-7.973212979301634e-07
all_school,-7.613238846325567e-07
steakhouse,-7.073180812666128e-07
all_cleaning,-6.874506186334468e-07
retail,-6.111460602414793e-07
commercial_total_area,-4.882922341688754e-07
security_systems,-3.796861798480779e-07
bakery,-3.7501152767838424e-07
all_tours,-3.544599201375277e-07
all_management,-2.0713102896705047e-07
all_contractor,-1.9199918428484053e-07
all_gym,-1.8018732095529018e-07
all_supplier,-1.7293847325238713e-07
spas,-1.6994933567008684e-07
all_estate,-1.5562262796966912e-07
monument,-1.517012586268622e-07
supermarket,-1.2869043951477752e-07
residential_lsoa_area_ratio,-1.1298529132574317e-07
kitchen_and_bath,-1.1205557906201678e-07
desserts,-8.22128752228944e-08
all_department,-6.83204749866252e-08
all_education,-3.705163362380866e-08
all_accommodation,-3.282447203123613e-08
general_dentistry,-2.1904029092541418e-08
all_studio,-2.134224783515034e-08
office_avg_building_area,-1.7169847902012855e-08
currency_exchange,-1.693970874471298e-08
all_photography,-1.2705374509471295e-08
all_dealer,-1.1079238207995097e-08
all_therapy,-1.0849012233924544e-08
caterer,-6.650593371699512e-09
public_service_and_government,-5.554947780030844e-09
library,-5.252934390595357e-09
all_supplies,-5.135613483612947e-09
all_club,-3.933883419699174e-09
all_gardening,-3.0601132244796388e-09
auto_detailing,-2.2641299610197875e-09
home_developer,-1.95806899613675e-09
all_care,-1.6178810528213928e-09
pet_groomer,-8.418939295679702e-10
all_piercing,-1.2195135365683073e-10
karaoke,0.0
motor_freight_trucking,0.0
mortgage_lender,0.0
junk_removal_and_hauling,0.0
jazz_and_blues,0.0
key_and_locksmith,0.0
kiosk,0.0
jail_and_prison,0.0
iron_work,0.0
iron_and_steel_industry,0.0
investing,0.0
mosque,0.0
junkyard,0.0
laboratory,0.0
marble_and_granite_professionals,0.0
marina,0.0
masonry_concrete,0.0
magician,0.0
all_media,0.0
luggage_storage,0.0
matchmaker,0.0
lottery_ticket,0.0
lodge,0.0
linen,0.0
importers,0.0
all_goods,0.0
law_enforcement,0.0
laundromat,0.0
laser_tag,0.0
media_news_website,0.0
laser_eye_surgery_lasik,0.0
lake,0.0
mediator,0.0
metal_fabricator,0.0
all_metals,0.0
all_rink,0.0
home_automation,0.0
hypnosis_hypnotherapy,0.0
gastropub,0.0
gastroenterologist,0.0
gardener,0.0
furniture_wholesalers,0.0
furniture_reupholstery,0.0
all_manufacturers,0.0
furniture_assembly,0.0
fruits_and_vegetables,0.0
all_foods,0.0
fountain,0.0
food_truck,0.0
food_stand,0.0
all_exporter,0.0
all_food,0.0
all_florist,0.0
all_contractors,0.0
fishmonger,0.0
firework_retailer,0.0
financial_advising,0.0
fertility,0.0
all_market,0.0
all_counselor,0.0
all_fair,0.0
gelato,0.0
ice_cream_and_frozen_yoghurt,0.0
genealogists,0.0
general_litigation,0.0
housing_cooperative,0.0
housing_authorities,0.0
all_sitting,0.0
hot_tubs_and_pools,0.0
hostel,0.0
hospice,0.0
horse_riding,0.0
all_boarding,0.0
all_decor,0.0
all_companies,0.0
hiking_trail,0.0
hematology,0.0
hearing_aids,0.0
handyman,0.0
hair_stylist,0.0
hair_replacement,0.0
all_removal,0.0
hair_extensions,0.0
gun_and_ammo,0.0
grain_elevators,0.0
all_instructor,0.0
all_course,0.0
all_track,0.0
general_festivals,0.0
mountain,0.0
optometrist,0.0
musician,0.0
superstore,0.0
studio_taping,0.0
structure_and_geography,0.0
structural_engineer,0.0
stone_and_masonry,0.0
steel_fabricators,0.0
spray_tanning,0.0
speakeasy,0.0
skilled_nursing,0.0
sign_making,0.0
shutters,0.0
swimming_pool,0.0
shades_and_blinds,0.0
sewing_and_alterations,0.0
sculpture_statue,0.0
all_instruction,0.0
screen_printing_t_shirt_printing,0.0
rugby_pitch,0.0
roofing,0.0
rock_climbing_spot,0.0
river,0.0
restaurant_wholesale,0.0
all_resort,0.0
reiki,0.0
all_therapist,0.0
reflexology,0.0
synagogue,0.0
teeth_whitening,0.0
winery,0.0
wills_trusts_and_probate,0.0
wildlife_sanctuary,0.0
wholesale_grocer,0.0
waxing,0.0
waterproofing,0.0
warehouses,0.0
vitamins_and_supplements,0.0
videographer,0.0
veterinarian,0.0
used_vintage_and_consignment,0.0
tattoo,0.0
urologist,0.0
trusts,0.0
all_agents,0.0
travel,0.0
trains,0.0
tiling,0.0
ticket_sales,0.0
theatrical_productions,0.0
theaters_and_performance_venues,0.0
test_preparation,0.0
television_service_providers,0.0
