feature,mean_importance
lag_all_planning,-4.2199773923061086e-07
lag_osteopathic_physician,-4.1665708200200633e-07
lag_all_services,-4.0296738792840514e-07
lag_retail_total_area,-3.3161791307852175e-07
lag_steakhouse,-2.830964089074563e-07
all_lounge,-2.3736924944320495e-07
lag_all_law,-2.1315985535310094e-07
lag_all_repair,-1.8723500642168838e-07
lag_all_manufacturer,-1.8022395656778496e-07
notary_public,-1.703869088062171e-07
all_production,-1.520415618081413e-07
lag_financial_advising,-1.2271660142774596e-07
commercial_lsoa_area_ratio,-1.1648250503677516e-07
all_building,-1.140234931545022e-07
all_office,-1.0848891286629667e-07
all_accommodation,-9.403246411691186e-08
lag_all_company,-8.353640287824883e-08
lag_all_coach,-8.139136431235122e-08
lag_all_space,-7.530663611901545e-08
lag_public_relations,-6.46202613727276e-08
retail_total_area,-5.96644074973306e-08
lag_fountain,-5.388253836735048e-08
lag_books_mags_music_and_video,-5.0606602199320924e-08
lag_hotel,-4.611587272473775e-08
lag_all_organization,-3.842050000902827e-08
orthopedist,-3.089967210933263e-08
lag_nurse_practitioner,-2.9578921801489787e-08
lag_public_service_and_government,-2.7047283489905147e-08
lag_all_salon,-1.532488771312484e-08
handyman,-1.0962845508547935e-08
all_bar,-8.575040707446126e-09
lag_all_office,-4.540087713010609e-09
airlines,-4.195366692811013e-09
all_service,-3.259171171657337e-09
all_rentals,-2.317270487637007e-09
lag_all_building,-6.200387855952909e-10
lag_diagnostic_imaging,-1.3552527156068805e-20
lag_caterer,-1.2197274440461925e-20
all_church,-1.0842021724855045e-20
all_florist,-1.0842021724855045e-20
laundromat,-1.0842021724855045e-20
embassy,-1.0842021724855045e-20
residential_lsoa_area_ratio,-1.0842021724855045e-20
furniture_reupholstery,-1.0842021724855045e-20
lag_all_program,-1.0842021724855045e-20
lag_all_hospital,-1.0842021724855045e-20
spas,-9.486769009248163e-21
b2b_food_products,-9.486769009248163e-21
spray_tanning,-9.486769009248163e-21
junkyard,-9.486769009248163e-21
theaters_and_performance_venues,-9.486769009248163e-21
chocolatier,-9.486769009248163e-21
lag_all_garden,-9.486769009248163e-21
lag_b2b_textiles,-9.486769009248163e-21
lag_all_classes,-9.486769009248163e-21
lag_planetarium,-9.486769009248163e-21
desserts,-9.486769009248163e-21
lag_personal_chef,-9.486769009248163e-21
endocrinologist,-9.486769009248163e-21
all_plaza,-9.486769009248163e-21
all_stadium,-9.486769009248163e-21
lag_all_engineers,-9.486769009248163e-21
lag_all_loans,-9.486769009248163e-21
lag_lottery_ticket,-9.486769009248163e-21
all_field,-9.486769009248163e-21
housing_cooperative,-9.486769009248163e-21
marina,-9.486769009248163e-21
lag_all_laboratories,-9.486769009248163e-21
hot_tubs_and_pools,-9.486769009248163e-21
all_clinic,-9.486769009248163e-21
all_offices,-9.486769009248163e-21
all_apartments,-9.486769009248163e-21
lag_car_wash,-9.486769009248163e-21
lag_all_sitting,-9.486769009248163e-21
lag_all_brokers,-9.486769009248163e-21
playground,-9.486769009248163e-21
