feature,mean_importance
num_buildings,-2.6606421233460096e-06
lag_brewery,-2.2317948708923943e-06
lag_all_transportation,-1.0702164095007486e-06
lag_all_development,-9.828122931872122e-07
all_removal,-7.415294085994281e-07
lag_all_restaurant,-7.363459178281285e-07
all_preschool,-6.213981460602191e-07
lag_all_advertising,-4.443605027357016e-07
all_supplies,-4.2732459993188744e-07
lag_notary_public,-4.1137305507850204e-07
lag_all_church,-4.020981437015159e-07
residential_lsoa_area_ratio,-3.7850327310536716e-07
lag_motor_freight_trucking,-3.6709967563235264e-07
college_university,-3.4531736597341306e-07
lag_all_education,-3.1991743975218225e-07
all_total_area,-2.9360127459374844e-07
health_and_medical,-2.9120552520178743e-07
lag_all_museum,-2.77034402544179e-07
lag_barber,-2.553040718013516e-07
all_cafe,-2.3744839887906152e-07
lag_all_coach,-2.249568890262953e-07
lag_art_gallery,-2.247842135854602e-07
lag_all_production,-2.1948638344906868e-07
lag_all_contractor,-2.1154457103737627e-07
lag_monument,-2.0042074956110555e-07
lag_b2b_apparel,-1.956271352968991e-07
lag_performing_arts,-1.806536096585719e-07
lag_all_preschool,-1.7115116109638777e-07
supermarket,-1.586296474829124e-07
b2b_science_and_technology,-1.5209435071492258e-07
all_wholesaler,-1.4195972122722106e-07
lag_all_apartments,-1.358293276254596e-07
accountant,-1.3579484953474838e-07
lag_all_building,-1.3062299372131406e-07
lag_all_planning,-1.288765999106679e-07
lag_all_agent,-1.2098214834139078e-07
lag_supermarket,-1.1492557127980893e-07
lag_all_clothing,-1.1038956805173229e-07
all_school,-1.0416655687565946e-07
lag_embassy,-1.0030145207562782e-07
all_photography,-9.997868751816124e-08
lag_all_testing,-9.774379623645498e-08
all_repair,-9.429590647161044e-08
lag_retail_lsoa_area_ratio,-9.049809368377563e-08
all_bookstore,-8.899510824378061e-08
lag_jazz_and_blues,-8.828832000011263e-08
all_designer,-8.765432948197464e-08
lag_lodge,-8.503558613188946e-08
lag_active_life,-8.194425242454581e-08
lag_theatre,-7.90437459520266e-08
all_institute,-7.899306226553894e-08
lag_all_salon,-7.561128626188589e-08
all_consultant,-7.440329689914743e-08
lag_office_lsoa_area_ratio,-7.182261079138343e-08
hostel,-6.971302889370525e-08
lag_all_service,-6.88427812207959e-08
all_company,-6.848847174272302e-08
counseling_and_mental_health,-6.81892107404214e-08
all_law,-6.817203518144828e-08
lag_casino,-6.602824933882843e-08
all_dentist,-5.989048523585513e-08
all_rental,-5.778446654999294e-08
lag_public_relations,-5.46502816773628e-08
lag_all_dealer,-5.377830691904897e-08
lag_private_tutor,-4.967965105474089e-08
lawyer,-4.787472532920853e-08
lag_all_businesses,-4.7843996864316026e-08
lag_key_and_locksmith,-4.480301762607752e-08
all_salon,-4.240890346789432e-08
lag_screen_printing_t_shirt_printing,-3.9844686206544964e-08
electrician,-3.971074204712436e-08
lag_all_program,-3.927611529085974e-08
lag_all_union,-3.816406425866234e-08
all_agent,-3.645093637375885e-08
bakery,-3.5268356312584773e-08
all_planning,-3.4221719776643636e-08
lag_shopping,-3.407413488503504e-08
funeral_services_and_cemeteries,-3.3437223931619436e-08
lag_all_facility,-3.332034953619576e-08
lag_cinema,-3.148185847754955e-08
lag_all_course,-3.122210060285343e-08
lag_waxing,-3.1219576150298884e-08
library,-3.109842321843623e-08
lag_all_studio,-3.0429776496203603e-08
lag_all_pub,-3.041894739126499e-08
lag_all_arena,-2.982189658167541e-08
lag_all_trainer,-2.9112613671720185e-08
lag_commercial_lsoa_area_ratio,-2.8980829964810376e-08
lag_all_agencies,-2.8460563987258923e-08
lag_ticket_sales,-2.596917954986926e-08
lag_all_accessories,-2.575343395793187e-08
all_companies,-2.5225627990114693e-08
lag_commercial_avg_building_area,-2.48297288532606e-08
lag_num_places,-2.4145633894680068e-08
eat_and_drink,-2.2999191838320622e-08
all_gym,-2.2998365827093973e-08
lag_arcade,-2.0961302308228585e-08
lag_acupuncture,-2.0935248886368358e-08
telecommunications,-2.081711238080715e-08
lag_chimney_sweep,-2.0787965083099675e-08
musician,-2.0405250070280054e-08
all_building,-1.947530995241402e-08
all_club,-1.926456538305175e-08
lag_all_metals,-1.8993572698653068e-08
eyewear_and_optician,-1.8660646526358913e-08
laundromat,-1.8239769263665434e-08
lag_all_design,-1.8112798403626883e-08
lag_all_venue,-1.7924359606153447e-08
lag_car_wash,-1.7765001919953985e-08
lag_bed_and_breakfast,-1.754056732905236e-08
lag_outdoor_gear,-1.697656582924417e-08
lag_all_media,-1.6567902945191157e-08
all_advertising,-1.5928800117136946e-08
all_organization,-1.59272065941102e-08
lag_structural_engineer,-1.5664645155419625e-08
lag_all_fair,-1.5646852665588438e-08
lag_all_estate,-1.47024267450229e-08
lag_all_market,-1.4018035416856596e-08
casino,-1.3949684611716571e-08
all_restaurant,-1.316424921032509e-08
lag_all_piercing,-1.3093907030238181e-08
lag_all_manufacturers,-1.2773352330903596e-08
orthodontist,-1.263854189663871e-08
lag_hotel,-1.2244988842620539e-08
lag_lake,-1.1641040465829316e-08
all_center,-1.08451118139961e-08
lag_all_school,-1.0635527405652729e-08
lag_counseling_and_mental_health,-1.0146266452891266e-08
all_venue,-9.97545912396862e-09
lag_all_station,-9.910074557227164e-09
lag_all_agents,-9.141276429187211e-09
warehouses,-9.054174289233421e-09
lag_auto_customization,-8.139984011213873e-09
lag_home_developer,-7.3459061391829665e-09
lag_all_house,-7.123714779470793e-09
lag_all_supplier,-6.848076999874954e-09
lag_steel_fabricators,-6.366388785166441e-09
lag_doner_kebab,-6.2521218495257975e-09
lag_palace,-6.1864093619233045e-09
all_distribution,-6.015435901203211e-09
all_museum,-5.983772415524323e-09
all_spa,-5.427520590307964e-09
lag_land_surveying,-5.417840513816607e-09
lag_all_equipment,-5.34352752318138e-09
lag_sewing_and_alterations,-5.2582430114640975e-09
lag_choir,-5.24559221780547e-09
handyman,-5.115684039764699e-09
osteopath,-4.961428007817823e-09
all_dealer,-4.959719553492545e-09
lag_travel,-4.5971029721152745e-09
all_league,-4.5667483227683445e-09
firework_retailer,-4.500181296520061e-09
lag_all_stadium,-4.467143622312363e-09
lag_steakhouse,-4.454659396522717e-09
all_installation,-4.449847268650974e-09
monument,-4.353643548414012e-09
all_church,-4.179886653257205e-09
all_park,-4.1349851335505115e-09
lag_plasterer,-3.942195816696568e-09
lag_hair_extensions,-3.859568135081885e-09
skilled_nursing,-3.835514896308309e-09
lag_kitchen_and_bath,-3.781778777940258e-09
lag_desserts,-3.6651494106923952e-09
lag_superstore,-3.5640632036848617e-09
lag_currency_exchange,-3.128427608623235e-09
lag_residential_avg_building_area,-3.0221300639744416e-09
spas,-2.999210592564711e-09
lag_family_practice,-2.951066216841749e-09
lag_general_festivals,-2.731131210052004e-09
lag_personal_chef,-2.564009005551768e-09
lag_all_mill,-2.148373742894374e-09
lag_all_psychologist,-2.134564106164873e-09
barber,-2.0083887735154e-09
all_transportation,-1.8809633227742e-09
lag_all_dentist,-1.863707193802168e-09
optometrist,-1.7611464056928794e-09
all_estate,-1.7459287823725624e-09
lag_office_avg_building_area,-1.5655117541397458e-09
all_production,-1.5098463576531393e-09
lag_b2b_food_products,-1.2391182967257065e-09
opera_and_ballet,-1.1814261238388526e-09
lag_audiologist,-1.1769768239557922e-09
lag_all_department,-1.1743536531020823e-09
all_buyer,-1.1048329865402402e-09
lag_automotive,-1.0653240155132767e-09
lag_all_laboratories,-9.376859685662461e-10
lag_all_tinting,-8.959698104125296e-10
steakhouse,-8.731480671055362e-10
lag_hiking_trail,-7.674406456463154e-10
all_arena,-7.594624588339473e-10
lag_radio_and_television_commercials,-6.085830733131882e-10
lag_all_installation,-5.72674001752746e-10
lag_all_insurance,-5.51213392093494e-10
all_security,-5.476668694828594e-10
lag_all_gardening,-5.041949430038178e-10
lag_junkyard,-5.019936970393403e-10
nutritionist,-4.929005390581949e-10
lag_swimming_pool,-4.748917862873762e-10
lag_all_bookstore,-3.8875528034622386e-10
all_care,-3.3205500843261955e-10
diner,-3.0524134085943827e-10
lag_all_league,-2.91946403423865e-10
eatertainment,-2.8711530767906027e-10
psychotherapist,-2.7896034802336703e-10
junk_removal_and_hauling,-2.734863118006867e-10
all_contractor,-2.052191799904301e-10
lag_lawyer,-1.329691251582884e-10
lag_all_security,-1.1663451765812558e-10
all_broker,-1.1643861132985649e-10
all_home,-9.645733029309527e-11
lag_all_resort,-9.126309186179623e-11
lag_airline,-3.8263064578206683e-11
used_vintage_and_consignment,-3.570665224540866e-11
movers,-3.5123877631794244e-11
lag_metal_fabricator,-2.1543415215283766e-11
lag_all_wholesaler,-1.3946567696283135e-12
vitamins_and_supplements,0.0
lag_all_manufacturer,0.0
lag_carpenter,0.0
lag_all_counseling,0.0
lag_airlines,0.0
lag_airport,0.0
lag_all_artist,0.0
lag_all_surgeon,0.0
lag_airport_terminal,0.0
lag_all_centers,0.0
lag_all_medicine,0.0
wholesale_grocer,0.0
lag_cardiologist,0.0
lag_computer_coaching,0.0
wildlife_sanctuary,0.0
lag_commercial_refrigeration,0.0
lag_agriculture,0.0
wills_trusts_and_probate,0.0
lag_all_supplies,0.0
videographer,0.0
lag_coal_and_coke,0.0
waterproofing,0.0
veterinarian,0.0
lag_civil_rights_lawyers,0.0
lag_all_engineers,0.0
lag_circus,0.0
lag_commercial_total_area,0.0
lag_wills_trusts_and_probate,0.0
