feature,mean_importance
naturopathic_holistic,-2.5627360931814294e-06
all_broker,-2.0870923335044525e-06
lag_retail,-1.7762401047793061e-06
all_therapy,-1.7142225193465323e-06
real_estate_investment,-1.6272496998279076e-06
lag_lodge,-1.3037280404636715e-06
all_agency,-1.2342310524460568e-06
lag_all_range,-1.1500105767480178e-06
all_department,-1.1467069354108805e-06
lag_bubble_tea,-1.13333745701288e-06
lag_office_total_area,-9.516368510812084e-07
steakhouse,-8.607644069477541e-07
all_plaza,-8.441034820959737e-07
all_total_area,-7.564704765140341e-07
all_institute,-5.714062912406384e-07
all_transportation,-5.048213171995962e-07
all_arena,-4.838077414929024e-07
office_avg_building_area,-4.6213037270122993e-07
luggage_storage,-4.5693389720050906e-07
all_clinic,-4.559348034127947e-07
lag_all_program,-4.4703384551721624e-07
lag_courthouse,-3.709839105942513e-07
residential_lsoa_area_ratio,-3.6762323642093455e-07
parking,-3.537757356183427e-07
lag_population,-3.2635451876960263e-07
lag_residential_lsoa_area_ratio,-3.257307751895094e-07
lag_hypnosis_hypnotherapy,-3.0543849190974657e-07
lag_all_medicine,-2.866331496591593e-07
all_accommodation,-2.7121734117256095e-07
lag_all_design,-2.483725031596077e-07
electrician,-2.3296288923388918e-07
lag_metal_fabricator,-2.3036073252757308e-07
kitchen_and_bath,-2.2805779034968786e-07
lag_airport,-2.2064663580839716e-07
all_class,-2.0814386611366801e-07
hostel,-1.9021551348155532e-07
lag_banks,-1.879952672324478e-07
supermarket,-1.7315874000922586e-07
lag_junk_removal_and_hauling,-1.68258439060061e-07
all_law,-1.5531658613861524e-07
lag_investing,-1.546894548972225e-07
lag_all_entertainment,-1.5244227201651134e-07
lag_all_management,-1.5130578641545188e-07
all_medicine,-1.4245200235274729e-07
residential_total_area,-1.404394840708186e-07
all_dealer,-1.3714362121333745e-07
lag_all_bar,-1.3530873364891138e-07
lag_structural_engineer,-1.338551155572387e-07
all_organizations,-1.338045921736716e-07
fertility,-1.2575993454930537e-07
art_gallery,-1.2336622226319892e-07
lag_b2b_jewelers,-1.2335014772239026e-07
lag_karaoke,-1.2281447017634118e-07
lag_all_park,-1.2044220649664564e-07
lag_all_arena,-1.1878541354100109e-07
lag_automotive,-1.1683956253343724e-07
all_piercing,-1.1629746549317137e-07
lag_car_wash,-1.0621490826883306e-07
lag_spas,-1.0579958446436727e-07
all_shop,-1.0276655764301403e-07
lag_hematology,-9.876760453994397e-08
lag_num_buildings,-9.566076190530904e-08
lag_all_services,-9.537937329830831e-08
lag_all_rental,-9.307991573202952e-08
lag_all_cafe,-8.506588101477594e-08
lag_all_photography,-8.391659922697171e-08
all_development,-8.253508838549913e-08
lag_luggage_storage,-8.055156982952547e-08
lag_fertility,-7.819784850004812e-08
lag_all_production,-7.021607149837418e-08
lag_iron_and_steel_industry,-6.799063813711735e-08
doctor,-6.781925458687307e-08
lag_monument,-6.76943854875569e-08
all_church,-6.678308118620008e-08
lag_all_billiards,-6.604495449779409e-08
all_facility,-6.585573112099911e-08
all_station,-6.435438775866174e-08
all_gym,-5.969596281794432e-08
lag_wills_trusts_and_probate,-5.7053287858352004e-08
lag_all_center,-5.6110334297165527e-08
lag_residential_total_area,-5.168028002115006e-08
all_office,-5.117663729705866e-08
travel,-5.0812592784706425e-08
oil_and_gas,-4.825974866437652e-08
lag_supermarket,-4.7462070995553035e-08
lag_bakery,-4.5464722663447583e-08
delicatessen,-3.967560033050436e-08
lag_all_tours,-3.887674229435356e-08
lag_all_landscaping,-3.7897250109927835e-08
private_jet_charters,-3.6587139613558814e-08
retail,-3.5829646254570065e-08
all_bookstore,-3.423401289466186e-08
lag_plumbing,-3.4227818805252725e-08
all_architect,-3.39751747378944e-08
lag_all_fair,-3.330766395314572e-08
