feature,mean_importance
lag_all_company,-4.0108312670734424e-07
lag_all_agencies,-1.8236857127379738e-07
lag_art_gallery,-1.349159444415126e-07
lag_all_consultant,-6.902970903839188e-08
lag_all_resort,-1.6528133400762687e-09
all_salon,-1.170380163921167e-09
lag_college_university,-6.251200266682664e-10
all_dealers,2.7105054312137612e-21
lag_agriculture,2.7105054312137612e-21
bartender,2.7105054312137612e-21
lag_all_clinic,2.7105054312137612e-21
lag_retail_avg_building_area,2.7105054312137612e-21
lag_wills_trusts_and_probate,2.7105054312137612e-21
lag_all_architect,2.7105054312137612e-21
health_and_medical,2.7105054312137612e-21
lag_rugby_pitch,2.7105054312137612e-21
all_broker,2.7105054312137612e-21
lag_trains,2.7105054312137612e-21
lag_all_consultants,2.7105054312137612e-21
mortgage_lender,5.4210108624275225e-21
all_arena,5.4210108624275225e-21
quay,5.4210108624275225e-21
spas,5.4210108624275225e-21
urologist,5.4210108624275225e-21
funeral_services_and_cemeteries,5.4210108624275225e-21
lag_office_avg_building_area,5.4210108624275225e-21
all_preschool,5.4210108624275225e-21
chocolatier,5.4210108624275225e-21
all_remodeling,5.4210108624275225e-21
plasterer,5.4210108624275225e-21
winery,5.4210108624275225e-21
lag_auto_detailing,5.4210108624275225e-21
lag_vitamins_and_supplements,5.4210108624275225e-21
lag_swimming_pool,5.4210108624275225e-21
lag_sewing_and_alterations,5.4210108624275225e-21
lag_all_zoo,5.4210108624275225e-21
lag_performing_arts,5.4210108624275225e-21
lag_obstetrician_and_gynecologist,5.4210108624275225e-21
lag_musician,5.4210108624275225e-21
lag_all_metals,5.4210108624275225e-21
lag_airport_terminal,5.4210108624275225e-21
lag_food_truck,5.4210108624275225e-21
lag_christmas_trees,5.4210108624275225e-21
lag_caterer,5.4210108624275225e-21
lag_carpenter,5.4210108624275225e-21
lag_all_cafe,5.4210108624275225e-21
lag_all_camp,5.4210108624275225e-21
lag_all_hall,5.4210108624275225e-21
lag_bike_repair_maintenance,5.4210108624275225e-21
lag_b2b_science_and_technology,5.4210108624275225e-21
lag_commercial_printer,5.4210108624275225e-21
lag_all_dealers,5.4210108624275225e-21
lag_winery,5.4210108624275225e-21
all_center,5.4210108624275225e-21
population,5.4210108624275225e-21
airlines,5.4210108624275225e-21
lag_all_field,8.131516293641283e-21
desserts,8.131516293641283e-21
reflexology,8.131516293641283e-21
lag_banks,8.131516293641283e-21
lag_all_companies,8.131516293641283e-21
drugstore,8.131516293641283e-21
lag_pet_groomer,8.131516293641283e-21
lag_furniture_wholesalers,8.131516293641283e-21
lag_baby_gear_and_furniture,8.131516293641283e-21
lag_personal_assistant,8.131516293641283e-21
lag_permanent_makeup,8.131516293641283e-21
lag_b2b_textiles,8.131516293641283e-21
lag_num_buildings,8.131516293641283e-21
all_businesses,8.131516293641283e-21
exporters,8.131516293641283e-21
lag_drugstore,8.131516293641283e-21
family_practice,8.131516293641283e-21
lag_ear_nose_and_throat,8.131516293641283e-21
all_exporter,8.131516293641283e-21
lag_beach,8.131516293641283e-21
retail,8.131516293641283e-21
retail_avg_building_area,8.131516293641283e-21
computer_coaching,8.131516293641283e-21
all_supply,8.131516293641283e-21
lag_rock_climbing_spot,8.131516293641283e-21
lag_all_temple,8.131516293641283e-21
cafetaria,8.131516293641283e-21
shades_and_blinds,8.131516293641283e-21
lag_reiki,8.131516293641283e-21
lag_all_club,8.131516293641283e-21
all_surgeon,8.131516293641283e-21
lag_real_estate_investment,8.131516293641283e-21
lag_railroad_freight,8.131516293641283e-21
lag_desserts,8.131516293641283e-21
