feature,mean_importance
all_company,-4.181770871990646e-06
lag_audiologist,-7.4276034809821e-07
lag_all_therapy,-6.362635131201434e-07
lag_all_development,-5.904887251060236e-07
all_building,-5.553345873533447e-07
lag_bakery,-4.912982615362961e-07
lag_all_total_area,-3.387257749403797e-07
commercial_avg_building_area,-2.48999784559147e-07
telecommunications,-2.4059094823487e-07
lag_all_club,-2.3514119089453935e-07
public_service_and_government,-1.9950331726298554e-07
all_room,-1.885927125144397e-07
lag_all_association,-1.5448429045549894e-07
office_lsoa_area_ratio,-1.234862063194777e-07
lag_arts_and_crafts,-1.1617203666434365e-07
lag_beach,-1.0666040897990367e-07
all_publisher,-1.0611048515534469e-07
lag_all_wear,-9.90917223023271e-08
lag_all_planning,-9.822909079659683e-08
orthopedist,-9.777010012801905e-08
all_cleaning,-8.986864348063119e-08
all_total_area,-8.101891768530029e-08
lag_all_services,-7.995412442578443e-08
all_broker,-7.832735181731942e-08
lag_junk_removal_and_hauling,-7.623143989339201e-08
all_shop,-7.224607378584125e-08
lag_all_designer,-6.966444515839028e-08
parking,-6.734284321181095e-08
lag_all_museum,-6.266488871570772e-08
lag_population,-6.248295542385607e-08
lag_cinema,-6.221692067386085e-08
lag_hostel,-5.61410598760013e-08
lag_all_consultant,-5.4293264720974215e-08
all_accommodation,-5.145238004556214e-08
lag_retail_total_area,-5.033574036572661e-08
all_agency,-4.93568298801542e-08
lag_plumbing,-4.8109827774845855e-08
lag_all_accommodation,-4.792080819700369e-08
lag_all_space,-4.593037444011354e-08
lag_doctor,-4.531221608332516e-08
lag_naturopathic_holistic,-4.5087371187538846e-08
lag_osteopathic_physician,-4.3703188631061805e-08
lag_all_cleaning,-3.996019503134683e-08
all_testing,-3.9237775046382235e-08
all_department,-3.918473788052979e-08
lag_all_architect,-3.74407428938413e-08
all_removal,-3.652295140652923e-08
lag_electronics,-3.524418509625693e-08
lag_fashion,-3.379660091027813e-08
lag_lawyer,-3.326370040891485e-08
college_university,-3.3114400512250424e-08
lag_all_law,-3.299459835273005e-08
barber,-3.192617171897714e-08
all_home,-3.190576965572705e-08
lag_all_organizations,-3.1806857138438945e-08
lag_business_consulting,-3.155941731269727e-08
lag_embassy,-3.115754492591708e-08
health_and_medical,-3.006938622549318e-08
lag_all_church,-2.8701892798642206e-08
lag_all_supply,-2.7031789962445344e-08
lag_performing_arts,-2.610851610560937e-08
eyewear_and_optician,-2.5185295574459004e-08
lag_bed_and_breakfast,-2.353397036057673e-08
pharmacy,-2.3087776159160412e-08
lag_airport,-2.298799220619587e-08
lag_all_installation,-2.2184101847908486e-08
caterer,-2.1185215082423072e-08
investing,-2.0894073818360963e-08
lag_all_park,-2.068778998680945e-08
all_gym,-1.98431878051876e-08
residential_total_area,-1.9591716560064928e-08
lag_all_loans,-1.9317274453036665e-08
lag_all_repair,-1.896765171298132e-08
lag_commercial_avg_building_area,-1.8406832489787392e-08
lawyer,-1.824088587808626e-08
lag_all_preschool,-1.823235723392438e-08
all_transportation,-1.74721751426083e-08
lag_private_tutor,-1.717688067453258e-08
lag_all_media,-1.6439179077878214e-08
lag_all_instruction,-1.5609510703486748e-08
