feature,mean_importance
lag_office_avg_building_area,-0.0010641263112236231
lag_all_salon,-0.0010227680064221144
lag_population,-0.000968487813610619
lag_commercial_lsoa_area_ratio,-0.0009463139761102357
lag_all_school,-0.0007722483565455018
lag_commercial_total_area,-0.0007126698028964484
lag_community_services_non_profits,-0.0006953636737335733
lag_all_bar,-0.0006482808187872613
residential_total_area,-0.0006021854204872557
lag_residential_total_area,-0.0005862184851784024
lag_pet_breeder,-0.0005605711977829219
lag_all_total_area,-0.0005435377337630776
residential_avg_building_area,-0.0005361707277318217
lag_church_cathedral,-0.0005350428936931828
all_cafe,-0.0005294145115708138
lag_circus,-0.0005048028001106597
all_services,-0.0005028436776882917
lag_hiking_trail,-0.000470621759279477
lag_mountain,-0.000374459771721114
lag_residential_lsoa_area_ratio,-0.00035810431147292876
lag_all_shop,-0.0003532062536873881
lag_all_piercing,-0.00035134437524513283
lag_casino,-0.00034553784625964703
lag_electrician,-0.0003347758483109309
lag_all_production,-0.00032280018646252406
lag_commercial_avg_building_area,-0.0003113219816804458
lag_all_home,-0.00028608022161519253
lag_warehouses,-0.0002805845812762886
all_transportation,-0.0002754894208437331
lag_all_camp,-0.00026957784746718395
lag_chiropractor,-0.0002591725329736727
lag_all_contractor,-0.00025063270982548234
all_bar,-0.00024379688484488238
lag_commercial_printer,-0.00023927906066194548
all_pub,-0.0002346542190063361
lag_movers,-0.00023246200392859073
lag_all_gym,-0.00022469521790778878
all_station,-0.0002202262241325692
lag_all_advertising,-0.00021680873259212198
lag_armed_forces_branch,-0.00021299187810221997
lag_veterinarian,-0.0002090544605428568
all_preschool,-0.00020419585585814692
lag_electronics,-0.0002007598870602867
all_farm,-0.00018980559767953765
lag_distillery,-0.00018359305919085633
lag_all_accommodation,-0.00017883156463042172
lag_all_building,-0.00017808098315614808
lag_all_bookstore,-0.00017734716349673273
lag_commercial_industrial,-0.00017551276202490974
barber,-0.00017488834788755847
all_park,-0.0001730774780059674
lag_all_consultant,-0.00017030411369453046
office_avg_building_area,-0.00016397026621349785
lag_automotive,-0.0001604931770630591
lag_all_florist,-0.00015112909767266424
chocolatier,-0.0001492743257570872
