feature,mean_importance
lag_office_lsoa_area_ratio,-0.0009453114221693648
lag_office_avg_building_area,-0.0007333769588050044
all_store,-0.0005446042284387553
lag_swimming_pool,-0.0005227389597807997
lag_retail,-0.00046898868830015373
lag_kids_recreation_and_party,-0.0004543982109597888
lag_all_agencies,-0.00041711818095911956
cricket_ground,-0.0004143949357520493
lag_theatre,-0.000399782036472518
counseling_and_mental_health,-0.0003919800329313772
lag_car_wash,-0.00038622497977932604
lag_residential_avg_building_area,-0.0003811667627587667
lag_bakery,-0.0003799445241992161
lag_retail_lsoa_area_ratio,-0.00037856103410427997
lag_all_arena,-0.0003616344614165712
lag_shopping,-0.0003396266286038119
lag_all_estate,-0.00033539910371993553
lag_electrician,-0.00030545162142040503
lag_commercial_lsoa_area_ratio,-0.0003015076575122011
lag_all_photography,-0.00028279370448097696
lag_all_stadium,-0.00028199404820713483
lag_college_university,-0.00028059438219735775
lag_brewery,-0.00025803254364030747
lag_all_contractors,-0.0002574166710047732
lag_armed_forces_branch,-0.0002415032870101641
oil_and_gas,-0.00022106582169075238
lag_campground,-0.00021047864052974873
all_court,-0.00021041081857914312
all_pub,-0.00020623980142762122
lag_coach_bus,-0.00020567308940191986
lag_lodge,-0.00020484635750185333
lag_all_media,-0.00018984049618765985
lag_all_provider,-0.0001867457625399749
lag_linen,-0.00018098800784476787
lag_motor_freight_trucking,-0.00017230883137202003
lag_all_school,-0.00017207535541770568
lag_acupuncture,-0.00017175389244116767
lag_all_temple,-0.0001675400856683662
lag_automotive,-0.00016374165008042896
lag_all_remodeling,-0.00016221126003291287
b2b_furniture_and_housewares,-0.00016166482484428202
attractions_and_activities,-0.00015591427297640404
housing_authorities,-0.00014763135191838694
lag_all_brokers,-0.0001453942768436578
all_plaza,-0.00013987613144512135
key_and_locksmith,-0.000134894959991394
lag_steakhouse,-0.00013462454498994748
lag_casino,-0.00013250573826629198
lag_naturopathic_holistic,-0.0001301386910240121
lag_wildlife_sanctuary,-0.0001259028756825431
lag_all_church,-0.00012330307969436461
lag_public_service_and_government,-0.00011832136750259958
lag_record_label,-0.00011620851939158073
lag_all_management,-0.00011601723770423012
lag_all_association,-0.00011211776707834576
lag_fishmonger,-0.00011060676438062744
lag_kiosk,-0.00010827025378872812
lag_jail_and_prison,-0.000101509974083136
all_medicine,-9.967015720122597e-05
lag_currency_exchange,-9.682707205551089e-05
lag_b2b_textiles,-9.249541237527637e-05
lag_pet_groomer,-9.160082375375133e-05
lag_gastropub,-9.05721052406716e-05
lag_all_advertising,-9.046970892603312e-05
lag_distillery,-8.950313640074815e-05
lag_community_services_non_profits,-8.940075771839418e-05
all_station,-8.727363467511128e-05
lag_sewing_and_alterations,-8.273194244987626e-05
lag_all_home,-8.215304458112361e-05
lag_podiatrist,-8.175748866302568e-05
all_artist,-8.16164705450706e-05
community_services_non_profits,-8.084558066548397e-05
