feature,mean_importance
num_buildings,-0.00019209463468239374
lag_all_tinting,-0.00012942993622387932
lag_hostel,-8.61445293665275e-05
lag_nutritionist,-7.952801816828448e-05
lag_swimming_pool,-6.003116053672208e-05
lag_all_park,-5.7156085275456014e-05
lag_land_surveying,-5.6693762497028734e-05
all_shelter,-4.883594217315323e-05
lag_currency_exchange,-3.821908158706533e-05
eat_and_drink,-3.241170075580779e-05
lag_auditorium,-3.228623819101495e-05
all_design,-2.941738131656546e-05
lag_all_shop,-2.8391989143361497e-05
psychotherapist,-2.8364074310793797e-05
lag_mortgage_lender,-2.5103672792115005e-05
lag_all_publisher,-2.5056527639744087e-05
lag_all_loans,-2.0474262313363577e-05
lag_shopping,-2.0025070604401397e-05
lag_laboratory,-1.7314641587429235e-05
lag_residential_lsoa_area_ratio,-1.2498213786027446e-05
lag_radiologist,-1.2045600145804691e-05
all_rental,-1.1148334554678119e-05
retail,-8.084948576814188e-06
retail_avg_building_area,-7.180666647466083e-06
all_accommodation,-2.9720815151734747e-06
lag_nature_reserve,-2.8217138174135847e-06
chemical_plant,-2.2204460492503132e-17
all_church,-2.2204460492503132e-17
lag_general_dentistry,-2.2204460492503132e-17
lag_structural_engineer,-1.1102230246251566e-17
choir,-1.1102230246251566e-17
oil_refiners,-1.1102230246251566e-17
lag_cardiologist,-1.1102230246251566e-17
lag_business_signage,-1.1102230246251566e-17
lag_cabin,-1.1102230246251566e-17
all_dentist,-1.1102230246251566e-17
cricket_ground,-1.1102230246251566e-17
all_vehicles,-1.1102230246251566e-17
lag_bike_repair_maintenance,-1.1102230246251566e-17
lag_bartender,-1.1102230246251566e-17
commercial_refrigeration,-1.1102230246251566e-17
lag_circus,-1.1102230246251566e-17
lag_college_university,-1.1102230246251566e-17
lag_all_laboratories,-1.1102230246251566e-17
electronics,-1.1102230246251566e-17
all_office,-1.1102230246251566e-17
all_cleaning,-1.1102230246251566e-17
all_counseling,-1.1102230246251566e-17
lag_dietitian,-1.1102230246251566e-17
business_signage,-1.1102230246251566e-17
all_garden,-1.1102230246251566e-17
all_rentals,-1.1102230246251566e-17
lag_all_decor,-1.1102230246251566e-17
lag_horse_riding,-1.1102230246251566e-17
lag_all_sitting,-1.1102230246251566e-17
