feature,mean_importance
lag_all_station,-0.001301205723630583
lag_airport_shuttles,-0.001140793360676251
lag_all_salon,-0.0007153395567800702
lag_commercial_printer,-0.0006470832131110716
lag_all_preschool,-0.0005823891378488932
laser_tag,-0.0005278597059723445
lag_all_repair,-0.0005140011695434043
all_lounge,-0.0004831711676307138
lag_plasterer,-0.0003740122462291051
all_centers,-0.0003521487241642085
atms,-0.0003253989939666302
lag_all_stadium,-0.00031717843033827743
lag_residential_lsoa_area_ratio,-0.0003072066362850845
lag_all_transportation,-0.0003019107103620688
lag_car_wash,-0.00029694129451384165
lag_all_tinting,-0.0002921432327178397
lag_kitchen_and_bath,-0.0002781341272055426
lag_all_massage,-0.00027149576750019053
all_park,-0.0002671667318659421
lag_all_shop,-0.0002469879860474922
lag_all_law,-0.0002392721712192347
lag_osteopath,-0.00022761029388494448
lag_art_gallery,-0.0002236564460184498
lag_all_installation,-0.00021814784286240397
lag_all_education,-0.0002072347277308706
lag_all_contractor,-0.00020582647387686892
lag_all_course,-0.00020539157187542955
all_therapy,-0.00018204003832381077
lag_office_total_area,-0.00018009017163058693
lag_kids_recreation_and_party,-0.00017328337855191945
all_farm,-0.00017190284057672645
all_boarding,-0.00017157411093048913
lag_private_tutor,-0.0001627589338352886
lag_shutters,-0.00016264092939386466
lag_retail,-0.00015486568162878522
lag_naturopathic_holistic,-0.00014630615579939166
lag_all_trainer,-0.00014520564894394128
lag_kiosk,-0.00014059050343253053
lag_commercial_lsoa_area_ratio,-0.00013935806989313627
airline,-0.0001341477846149741
lag_all_facility,-0.0001327475028371383
lag_business_consulting,-0.00012929927115146734
lag_embassy,-0.00012711261070691982
lag_num_places,-0.0001245675949363978
lag_astrologer,-0.00012379636677755656
lag_theatre,-0.00012170571878390435
lag_all_organization,-0.00012031002915234845
bakery,-0.00011518190990399413
optometrist,-0.00010883563025739784
lag_rock_climbing_spot,-0.00010755387441189756
caterer,-0.00010621732240982951
all_bar,-9.779275848551539e-05
lag_airport_terminal,-9.68095758680676e-05
lag_all_total_area,-9.628305930278191e-05
courthouse,-9.462625558341875e-05
lag_movers,-9.320698727673937e-05
plumbing,-9.290571598618014e-05
lag_all_security,-9.172924497098389e-05
barber,-9.104529365995262e-05
lag_mosque,-8.756700710791931e-05
lag_all_designer,-8.73648983108044e-05
lag_furniture_assembly,-8.601813771990097e-05
lag_doctor,-8.443723453284702e-05
hearing_aids,-8.089182142670404e-05
lag_karaoke,-7.929934380426217e-05
automotive,-7.836151537791713e-05
lag_all_park,-7.81840156388769e-05
lag_eyewear_and_optician,-7.598211610685967e-05
all_camp,-7.471936063656037e-05
all_facility,-7.094026496308748e-05
all_hall,-6.799671268652995e-05
all_surgeon,-6.585510401819206e-05
all_dentist,-6.387785016421787e-05
lag_all_arena,-6.195889897100403e-05
lag_all_home,-6.0000007369581665e-05
lag_all_care,-5.831491627319996e-05
lag_casino,-5.663881217441435e-05
lag_metal_fabricator,-5.563265048004751e-05
lag_all_spa,-5.242537077052578e-05
lag_funeral_services_and_cemeteries,-5.158743586174963e-05
lag_all_estate,-4.94644319078974e-05
plasterer,-4.7961757879944054e-05
lag_all_institute,-4.728745143121049e-05
office_lsoa_area_ratio,-4.641320234032298e-05
lag_importers,-4.4634787346004014e-05
junkyard,-4.39693773355676e-05
lag_all_distribution,-4.366592196755614e-05
lag_atms,-4.358439069379605e-05
lag_pharmacy,-4.2485465865416126e-05
lag_all_brokers,-4.074862878321595e-05
lag_private_jet_charters,-4.018769686994772e-05
lag_winery,-4.003998741118342e-05
lag_chimney_sweep,-3.960311312506404e-05
lag_agriculture,-3.9596920277013006e-05
lag_all_testing,-3.935846577471369e-05
lag_videographer,-3.872666556443138e-05
lag_all_consultant,-3.869404190200987e-05
lag_automotive,-3.826457423113938e-05
all_laboratories,-3.7845534829777926e-05
