feature,mean_importance
lag_num_places,-0.003531816689232842
population,-0.0029454496977866394
lag_all_cafe,-0.0008539300388162863
lag_art_gallery,-0.0008037115354013524
lag_commercial_industrial,-0.0005117879980846562
lag_all_restaurant,-0.00046129466043387524
lag_warehouses,-0.00038878280024109426
lag_all_shop,-0.0003661177360237855
lag_kids_recreation_and_party,-0.00030451839832539295
lag_all_tinting,-0.0002985355238073306
airport_shuttles,-0.00029514807370168984
residential_total_area,-0.00028628675231150423
lag_pharmacy,-0.000278777475480918
lag_residential_lsoa_area_ratio,-0.0002764975487592469
lag_roofing,-0.0002758800557594032
lag_commercial_printer,-0.00027380113850458134
lag_all_department,-0.00026157693238997303
lag_currency_exchange,-0.00026060955523304896
lag_active_life,-0.0002604782235074099
lag_all_law,-0.000256912631698103
lag_all_care,-0.00023910411685950094
lag_laundromat,-0.00023595894076132716
lag_college_university,-0.00023241650683252234
all_dentist,-0.0002308253932395421
lag_all_transportation,-0.00021197794138115843
all_manufacturers,-0.00021008633474357553
lag_psychic,-0.0002035450818782869
lag_all_accommodation,-0.00020204314854285199
lag_office_total_area,-0.00020124172268006779
all_hall,-0.0001958504222407509
lag_trains,-0.00018434226161867517
spas,-0.0001807824010137238
lag_all_contractor,-0.0001715651919027339
plumbing,-0.00016576085889349334
lag_mosque,-0.0001528733098449697
lag_all_school,-0.00014939403106463135
all_removal,-0.00014235088010494668
lag_all_lounge,-0.00013701617817043487
all_organization,-0.00013617234408379585
lag_casino,-0.00013574152849514797
lag_delicatessen,-0.000134709908446351
all_park,-0.00013006258285337414
plasterer,-0.00012476938984047338
lag_all_production,-0.00012317521405553756
lag_all_dealer,-0.00012027641034798587
linen,-0.00012022041194285072
lag_psychic_medium,-0.0001174978554232542
lag_eyewear_and_optician,-0.00011444497135985055
lag_all_engineers,-0.00010930125527539581
barber,-0.00010851254684365318
lag_chimney_sweep,-0.00010351659105396482
lag_winery,-0.00010330527867667972
lag_supermarket,-9.777327830202686e-05
firework_retailer,-9.667096282284238e-05
lag_university_housing,-9.651641262413691e-05
lag_caterer,-9.292127402827921e-05
retail,-9.280045697405149e-05
lag_all_massage,-9.104103172761225e-05
lag_condominium,-9.05035349995864e-05
lag_airport_shuttles,-8.960828179449543e-05
lag_travel,-8.7288387922424e-05
lag_commercial_avg_building_area,-8.690705983661617e-05
lag_private_tutor,-8.175655453864782e-05
currency_exchange,-8.08805754576869e-05
lag_all_schools,-8.064799505822507e-05
lag_all_management,-8.030705526959058e-05
all_wholesaler,-7.737764745823217e-05
lag_funeral_services_and_cemeteries,-7.55681234673733e-05
lag_housing_authorities,-7.512846259692952e-05
lag_parking,-7.42007672399625e-05
lag_all_trainer,-7.385158667941872e-05
all_cleaning,-7.356117652189687e-05
lag_performing_arts,-6.966299992859915e-05
lag_library,-6.774557382411839e-05
lag_swimming_pool,-6.768593071553309e-05
residential_avg_building_area,-6.675759289991312e-05
lag_all_supplies,-6.65514186523053e-05
all_farm,-6.603593841620903e-05
lag_auto_detailing,-6.302940683889924e-05
all_care,-6.294283958017122e-05
lag_all_supplier,-6.112190714430144e-05
all_publisher,-5.7143363587708326e-05
lag_record_label,-5.678973732500259e-05
lag_all_goods,-5.622560768705487e-05
lag_all_provider,-5.6027782122103353e-05
